,Answer.NormalizedMatchedWikiEntityName,answer,question,Base_test
98,eso 3 6 m telescope,adonis,"The Greek goddess Aphrodite loved which beautiful youth, the son of Myrrha?",Aphrodite loved the son
99,buddy holly,buddy holly,Gary Busey played which pop star in a 1978 film?,I don't know. I
100,charlton heston,charlton heston,"""In the 1956 film """"The Ten Commandments"""", who played Moses?""","""The Ten Commandments"""
101,basketball,basketball,Pok ta Pok started in Mexico - what modern game/sport is it?,It's a game that's
102,ymca,ymca,"Founded in London in 1844 by George Williams, which organisation was established to provide low cost housing in a safe environment?",Yes.
103,cary grant,cary grant,British-born American film actor Archibald Alec Leach was better known by which stage name?,Alec Leach
104,bankside power station,bankside power station,What was the original use of the building which now houses the Tate Modern Art Gallery in London?,The Tate Modern Art Gallery was
105,margaret mitchell,margaret mitchell,The top American fiction bestseller in both 1936 and 1937 was the only novel published during the lifetime of its author. Who was she?,"The author was Mary McCarthy,"
106,canada,canada,The Gilles Villeneuve Formula One racing circuit is in which country?,France
107,george iii of united kingdom,george iii,"In the year 1800, who was King of Great Britain and King of Ireland?",James II
108,assassination of john f kennedy,jfk assassination,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",The Warren Commission was seated to
109,tittle,tittle,What is the name for the dot on the lower case letters I and J?,The dot is the letter I
110,vindaloo,vindaloo,"Taking its name from the Portuguese words for wine and garlic, which hot curry originated in Goa?","Yes, it is."
111,sweeney todd,sweeney todd,Mrs Lovett made meat pies from material supplied by whom?,Mrs Lovett made meat pies
112,dick turpin,dick turpin,Which famous English highwayman was hanged for horse-stealing in April 1739?,John Gresham.
113,alloway,alloway,In which Ayrshire village will you find the cottage birthplace of poet Robert Bums which is now a museum?,"B: Yes, it is a cottage"
114,washington,washington,"What was the 42nd state to join the Union on Nov 11, 1889?",New York.
115,kazz am,kent,In which UK County is Lydd Airport?,Lydd Airport is in the
116,black eyed peas,black eyed peas,Which group had a number one hit in 2009 with 'I Gotta Feeling'?,The group that had the most
117,bowie,bowie,What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,Angie.
118,red disambiguation,red,What colour is the heraldic colour gules?,The heraldic colour is g
119,umami,umami,"""What has been described as the """"fifth"""" taste, after sweet, sour, bitter, and salty?""","""The taste of the sweet"
120,annie leibovitz,annie leibovitz,"Who was the Vanity Fair photographer responsible for the cover featuring a naked, pregnant Demi Moore?",It was a very good cover
121,renzo piano,renzo piano,Which architect designed the new London building known as the 'Shard'?,The Shard is a skyscraper
122,zambezi,zambezi,On which river are the Victoria Falls?,The Victoria Falls is a river
123,joseph priestley,joseph priestley,Which English clergyman/chemist discovered oxygen?,The first Englishman to discover
124,perspiration,sweating,Hidrosis is the medical term for which bodily function?,Yes.
125,s l benfica,benfica,Jose Mourinho was appointed manager of which football club September to December 2000 - his first managerial post?,Manchester United
126,white,white,What colour are the berries of the mistletoe plant?,The berries are a bright red
127,tom stoppard,tom stoppard,Who wrote the plays 'The Real Inspector Hound' and 'Arcadia'?,The plays were written by the
128,thomas beecham,sir thomas beecham,Who founded the 'London Philharmonic Orchestra' in 1931?,The London Philharmonic Orchestra
129,south carolina,south carolina,Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?,Virginia
130,rio de janeiro,rio de janeiro,What city will host the 2016 Olympics?,The city of Rio de Janeiro
131,god bless america,god bless america,Which patriotic Irving Berlin song includes the line  From the mountains to the prairie to the oceans white with foam ?,"""From the mountains to the"
132,george blake,george blake,"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?",The first one was a British
133,nowhere boy,nowhere boy,Which 2009 film is a biopic of John Lennon?,The Beatles.
134,australia,australia,Robert Gordon Menzies was which country's longest-serving Prime Minister?,Australia
135,joseph marie jacquard,joseph marie jacquard,Which 19th century Frenchman invented a loom which enabled complex patterns to be woven; his name is remembered as one of these patterns?,The loom was invented by
136,arturo toscanini,arturo toscanini,For which conductor was the NBC Symphony orchestra created in 1937?,The NBC Symphony Orchestra was created
137,eye,eye,The nictitating membrane is found on which part of animal’s body?,The nictitating membrane is
138,antirrhinum,snapdragon,The antirrhinum plant is more commonly known as what?,The antirrhinum
139,muriel spark,muriel spark,'The Prime of Miss Jean Brodie' is a 1961 novel by which author?,Margaret Atwood
140,vienna,vienna,Which city was the setting for Shakespeare’s play Measure for Measure?,London.
141,natalie wood,natalie wood,"Born Natalia Zacharenko, under what name did she find fame?",She was born in the village
142,brighton,brighton,When Laurence Olivier became Baron Olivier where was he the Baron of,the day?
143,rajasthan,rajasthan,"With its capital at Jaipur, what is the largest state of India, by area?",The largest state of India is
144,crystal gayle,crystal gayle,"""Which American country singer, the younger sister of singer Loretta Lynn, had 18 #1 country hits during the 1970s and 1980s, and is best known for a series of country-pop crossover hits including """"Don't It Make My Brown Eyes Blue""""?""","""Loretta Lynn."
145,julian fellowes,julian fellowes,Who writes the scripts for the TV series Downton Abbey?,It's a very small team
146,narwhal,narwhal,The male of which species of white whale develops a long twisted tusk that projects through its upper lip ?,"Yes, the male of which"
