,question,answer,Base_test
24,"Who supposedly chopped down a cherry tree, but couldn't lie about it?",george washington,The guy who did it.
25,"""On what """"railroad"""" was Harriet Tubman a conductor?""",underground railroad,"""On what railroad was she"
26,What is the name of George Galloway's political party?,respect,The Nationalist Party.
27,What was the original use of the building which now houses the Tate Modern Art Gallery in London?,bankside power station,The Tate Modern Art Gallery was
28,"Who has children called Track, Bristol, Piper, Trig and Willow?",sarah palin,"Track, Bristol, Piper,"
29,Which post in England and Wales is held by Anne Owers?,chief inspector of prisons,The post of Master of the
30,"Edward Stanley served three terms as Prime Minister in the 19th century, he was known by what title?",earl of derby,Prime Minister
31,Who lead the enquiry into the Iraq war?,sir john chilcot,The Bush administration.
32,Which Aztec ruler was deposed by Cortez?,montezuma,"The Aztec ruler, Az"
33,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",queen victoria,Queen Elizabeth II
34,Libya was a colony of which country from 1911 to 1947?,italy,Libya was a colony of which
35,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,george iii,Charles I of England
36,Robert Gordon Menzies was which country's longest-serving Prime Minister?,australia,Australia
37,The revolutionary group the Sandinistas were active in which country?,nicaragua,Nicaragua.
38,"The Prime Minister of Greece, Alexis Tsipras, is the leader of which political party?",syriza,The New Democracy Party
39,The 1810 betrothal of Princess Theresa to Crown Prince Ludwig not only resulted in the meadow where the event took place to be named Theresienwiese but also started what?,octoberfest,Theresienwiese
40,"Which coral atoll, the largest island in the Chagos Archipelago, was forcibly depopulated in 1971 to make way for a joint UK/USA military base?",diego garcia,The Chagos Archipelago
41,"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?",george blake,The first one was a British
42,"An American aided coup in Chile in 1973, deposed which President?",salvador allende,Nixon.
43,Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?,south carolina,Virginia
44,When Laurence Olivier became Baron Olivier where was he the Baron of,brighton,the day?
45,What name is given to the Spanish method of execution by strangulation,garotte,?
46,"June 5, 2004 saw the death of what man, the 40th President of the United States?",ronald reagan,I think it was a very
47,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",jfk assassination,The Warren Commission was seated to
48,"What was the 42nd state to join the Union on Nov 11, 1889?",washington,New York.
49,Who succeeded Theodore Roosevelt as President?,william howard taft,Theodore Roosevelt.
50,From which country did Angola achieve independence in 1975?,portugal,From Angola.
51,Which was the first European country to abolish capital punishment?,norway,The Netherlands.
52,Which prince is Queen Elizabeth II's youngest son?,edward,Prince William.
53,Who became US Vice President when Spiro Agnew resigned?,gerald ford,It was a very close race
54,The US signed a treaty with which country to allow the construction of the Panama Canal?,columbia,The US signed a treaty with
55,Which Amendment to the Constitution brought in prohibition in 1920?,18th,The amendment that brought in prohibition
56,Which oil scandal hit the US in 1924?,teapot dome scandal,The oil scandal in the US
57,Where did Idi Amin rule from 1971-1979?,uganda,He was a member of the
58,What is the former name of the People's Republic of Venin?,dohomey,The People's Republic of Ven
59,Who was the Egyptian president who was assassinated in 1981?,sadat,The Egyptian president was Mubarak.
60,From which European country did Angola achieve independence in 1975?,portugal,From Angola.
61,Who was the woman sentenced to six years in jail after the murder of Stompei Seipi?,winnie mandela,The woman was a member of
62,In which country did General Jaruzelski impose marital law in 1981?,poland,In the Czech Republic.
63,Who was President Reagan's Secretary for Defense from 1987 to 1989?,frank carlucci,General William Westmoreland.
64,In which decade of the 20th century was the FBI set up?,1900s,The FBI was set up in
65,Richard Nixon was Vice President to which US state?,dwight eisenhower,California
66,Thomas Marshal was Vice President to which US President?,woodrow wilson,Yes.
67,Who preceded Hosni Mubarak as President of Egypt?,anwar el sadat,Mubarak was the first president of
68,Which South African President repealed key parts of apartheid law in 1991?,fw de klerk,Nelson Mandela.
69,Which general introduced martial law in Poland in 1981?,jaruzelski,The General Inspectorate of the
70,In what decade were Zebra crossings introduced into law in the UK ?,1950 s,In the late 1960s.
71,"In March 2010, which country passed a law banning all strip clubs and made it illegal for any business to profit from the nudity of employees such as topless waitresses?",iceland,"In the United States, the"
72,Raines Law of 1896 related to the sale of what in New York State?,liquor,The sale of what in New
73,Under which Puritan leader did the English parliament pass a law banning Christmas in 1647?,oliver cromwell,The English parliament passed a law
74,"In relation to spiritual diety Pachamama, in 2011 Bolivia announced an new unusual Law of what?",mother earth,The new Law of Pach
75,What country announced a sales ban on the yeast extract Marmite in 2011 due to its law forbidding vitamin additives?,denmark,The UK.
76,"Upon the change to British regal succession law removing gender inequality, the Princess Royal (Anne) advances how many positions closer to the Crown?",six,The Princess Royal (Anne)
77,What significant law relating to literary and artistic works was first introduced in 1709?,copyright,The first law relating to literary
78,Which law enforcement agency was established in 1908 as a branch of the U S Department of Justice?,f b i,The Bureau of Narcotics and
79,What is the name of the English law that prevents anyone building so as to completely cut out light from a window that had provided light for at least 20 years?,ancient lights,The law is the law.
80,When was English law changed to enable a child to be made legitimate by the later marriage of its parents?,1926,In the case of a child
81,"""What is the name given to the code of Roman law that was """"published"""" with the approval of the Roman Republic in 450 BC?""",twelve tables,"""The code of Roman law"
82,"What is prohibited by an unusual law that has been passed in Lanjarn, Spain, in three settlements in southern France: (Cugnaux, Le Lavandou & Sarpourenx), and has been proposed for Biritiba-Mirim, Brazil?",death,The law is a law that
83,"In which country do these laws apply: the 1975 State Protection Act (Article 10 b), which grants the government the power to imprison persons for up to five years without a trial, and the Law to Safeguard the State Against the Dangers of Those Desiring to Cause Subversive Acts (Article 10 a)?",myanmar,The 1975 State Protection Act (
84,"The Volstead Act, that became law in the USA on 28 October 1919, concerned what?",prohibition of alcohol,"The Volstead Act, that"
85,"""The """"Support Our Law Enforcement and Safe Neighborhoods Act"""" signed into law in the US state of Arizona on 23 April 2010 to take effect on 28 July 2010, concerns what?""",illegal immigration,"Q: ""The """"Support Our Law"
86,"What was the name of the English law court, subsequently abolished in 1641, that had a mandate from Henry VII to deal with nobles who were too powerful to be punished by ordinary courts?",star chamber,The English law court was abolished
87,"""Who wrote, in 1894: """"In its majestic equality, the law forbids rich and poor alike to sleep under bridges, beg in the streets and steal a loaf of bread""""?""",anatole france,"""The law forbids rich and"
88,What is the name for a system of law based on Islamic texts?,sharia,The Islamic legal system is based
89,What exam must be passed to practice law in the United States?,bar exam,The bar exam is the most
90,"""Who said """"A week in politics is a long time""""?""",harold wilson,"""I don't know."
91,"The Guardian cartoonist, Steve Bell, always portrayed which politician with his Y-fronts outside his trousers?",john major,I don't know. I
92,Which politician was portrayed as a bulldog by cartoonist Steve Bell?,john prescott,I think it was the cartoon
93,"""Paula Dobriansky, the U.S. Under Secretary of State for Global Affairs, coined the phrase """"Cedar Revolution"""" to describe events in 2005 in which country?""",lebanon,"Q: ""What is the Cedar Revolution"
94,To which political party does Australian Prime Minister Kevin Rudd belong?,labour party,The Liberal Party.
95,In which country did General Jaruzelski impose martial law in 1981?,poland,In Poland.
96,What was the subject of French sociologist √âmile Durkheim's 1897 work that studied Catholic and Protestant populations and that resulted in sociology getting established on its own?,suicide,Durkheim's work was
97,"In American politics, what is the symbol of the Republican Party?",elephant,The Republican Party is the party
98,What is the symbol of the democratic Party in American politics?,donkey,The Democratic Party is the party
99,"""Politics. Who in his speech to the House of Commons on the 4th April 1940 said, """"Hitler has missed the bus""""?""",neville chamberlain,"Q: ""Who in his speech to"
100,"In UK politics, who first challenged Margaret Thatcher for leadership of the Conservative Party in 1990?",michael heseltine,"The late Lord Ashcroft,"
101,Which political commentator has presented both Weekend World and A Week in Politics?,peter jay,I think itâ€™s
102,"In the world of politics, what was broadcast live on British television for the first time on 20th March 1990?",budget,The first live broadcast of the
103,"In British politics, who succeeded Jeremy Thorpe as acting leader of the Liberal Party in 1976?",jo grimond,The Liberal Party was founded in
104,"In UK politics, what position did Labour politician Manny Shinwell hold from 1950-51?",minister of defence,He was a member of the
105,"In politics, psephology is the study of what?",elections,The study of what?
106,"In UK politics, who defeated Ted Heath in the Tory leadership campaign of 1975?",margaret thatcher,The Labour Party.
107,"In British politics, what is the only one of the 'Four Great Offices of State' never (at at Feb 2011) held by a woman?",chancellor of exchequer,The only woman in the Cabinet
108,"In UK politics, what flower is the emblem of the Labour Party?",rose,The rose.
109,In US politics who replaced Spiro Agnew as Richard Nixon's vice-president in 1973?,gerald ford,Richard Nixon.
110,Bernard and Phyllis Coard and Maurice Bishop were involved with the politics of which country in 1983?,grenada,Yes.
111,What career did Adolf Hitler pursue before getting into politics?,painting,He was a lawyer.
112,"Which board game is based around European power politics leading up,to the First World War?",diplomacy,The game is based on the
113,In German politics who was known as the Iron Chancellor?,bismarck,The Iron Chancellor was the leader
114,"According to von Clausewitz, War is the continuation of what, by other means?",politics,War is the continuation of what
115,Sir William Vernon Harcourt was Home Secretary in which British Prime Minister‚Äôs government?,william gladstone,Yes.
116,Juan Velasco Alvarado became President of the Revolutionary Government in October 1968 in which south American country?,peru,Venezuela.
117,Who was deported from the US aged 89 to face a war crime trial in Germany?,john demjanjuk,The US government has been trying
118,What is a legal defence for being somewhere other than at the scene of a crime?,alibi,A legal defence is a defence
119,"Possession of what was made illegal in California, the first part of the USA to do so, on 6 October 1966?",lsd,Yes.
120,"Prior to the Law Resform Act (1996), the charge of murder could apply only if the victim died within what period from the time of the offence?",year and day,Yes.
121,The establishment of which law officers dates from 1194?,coroners,The law of the king of
122,Prohibition in the USA was enacted into law by the 'National Prohibition Act'. By what name was this popularly known?,volstead act,The National Prohibition Act was passed
123,In law what name is given to a written voluntary statement given under oath?,affidavit,A written voluntary statement given under
124,Which European country recently passed a law legalizing divorce?,malta,The Netherlands.
125,What type of law court has replaced the Assize Court?,crown court,The Assize Court was abolished
126,"What is the legal term, used in law to describe the state of those related through marriage?",affinity,The term â€œmarriage
127,A formal agreement enforceable by law is what?,contract,A formal agreement enforceable by
128,"Public Law 62-5, which was passed on August 8, 1911 set the membership of the House of Representatives to what number?",435,One hundred and twenty-five
129,How long does a US president have to consider a bill before he must either sign it into law or return it to Congress as a veto?,10 days,The president has to consider a
130,"September 22, 1961 saw the passage of Public Law 87-293, which declares ""To promote world peace and friendship through a [blank], which shall make available to interested countries and areas men and women of the United States qualified for service abroad and willing to serve, under conditions of hardship if necessary, to help the peoples of such countries and areas in meeting their needs for trained manpower.""",peace corps,The bill was sponsored by Senator John Sherman
131,What degree does a US law school graduate get?,jd,A law school graduate gets a
132,For what profession did Mahatma Ghandi train?,lawyer,He trained as a lawyer.
133,"The 1974 book Helter Skelter, co-written by lawyer Vincent Bugliosi, recounts whose famous crime?",charles manson,The murder of a young woman
134,"Who was the Government Chief Whip who resigned in October 2012, following accusation that he swore at police officers and called them 'plebs'?",andrew mitchell,The Government Chief Whip resigned in
135,In what year did Britain have a Labour government for the first time?,1924,In the year of the Great
136,"Which country was the first to experience civil uprisings in 'The Arab Spring', the then existing government being overthrown in January 2011 after 23 years in power?",tunisia,The first country to experience civil
137,Who became Leader of the Opposition when the coalition government was formed in May 2010?,harriet harman,I was the leader of the
138,Who is Secretary of State for the Depsrtment of Communities and Local Government?,eric pickles,The Secretary of State for the
139,"Currently held by John Kerry, what American governmental role is equivalent to that of Foreign Secretary in the UK?",secretary of state,The UK is a member of
140,"Which government agency has its headquarters at Explorer House, Southampton?",ordnance survey,The Department of Health and Social
141,Labour Party politician Aneurin Bevan is known for his role in establishing what seminal institution in Great Britain?,national health service,The National Health Service.
142,British politician Norman Tebbit created controversy in 1990 commenting on the perceived lack of loyalty of South Asian and Caribbean immigrants towards the English team playing which game?,cricket,The South Asian and Caribbean immigrants
143,Name the Russian politician shot and killed near the Kremlin on 27th February 2015?,boris nemtsov,Vladimir Putin.
144,"Which Chancellor, executed in 1535, became the patron saint of politicians?",sir thomas more,Henry VIII.
145,"The son-in-law of a British Prime Minister and the father of a former Minister of Defence, which Conservative politician served as the last Governor of Southern Rhodesia?",christopher soames,Sir John Simon.
146,Which Soviet politician and diplomat was the principal Soviet signatory of the Nazi-Soviet Non-Aggression Pact of 1939?,vyacheslav molotov,Leonid Brezhnev
147,"October 11, 1950 saw the birth of what US politician, known as ""a mom in tennis shoes"", who is currently facing off against Dino Rossi?",patty murray,"Yes, it was the birth"
