,Question,answer,Base_test,comparison
93,"""Paula Dobriansky, the U.S. Under Secretary of State for Global Affairs, coined the phrase """"Cedar Revolution"""" to describe events in 2005 in which country?""",lebanon,"A: Yes, ""Paula Dobriansky coined the phrase """"Cedar Revolution"""" to describe events in 2005 in which country?""",F
94,To which political party does Australian Prime Minister Kevin Rudd belong?,labour party,A: The Australian Labor Party,F
95,In which country did General Jaruzelski impose martial law in 1981?,poland,A: In which country did General Jaruzelski impose martial law in 1981?,F
96,What was the subject of French sociologist Émile Durkheim's 1897 work that studied Catholic and Protestant populations and that resulted in sociology getting established on its own?,suicide,A: The subject of Durkheim's work was the Catholic and Protestant populations,F
97,"In American politics, what is the symbol of the Republican Party?",elephant,A: The Republican Party is the party of Lincoln,F
98,What is the symbol of the democratic Party in American politics?,donkey,A: The symbol of the democratic Party is a red flag,F
99,"""Politics. Who in his speech to the House of Commons on the 4th April 1940 said, """"Hitler has missed the bus""""?""",neville chamberlain,A: Hitler missed the bus,F
100,"In UK politics, who first challenged Margaret Thatcher for leadership of the Conservative Party in 1990?",michael heseltine,A: No one challenged Margaret Thatcher for leadership of the Conservative Party in 1990,F
101,Which political commentator has presented both Weekend World and A Week in Politics?,peter jay,A: The political commentator who presented both Weekend World and A Week in Politics is the same person,F
102,"In the world of politics, what was broadcast live on British television for the first time on 20th March 1990?",budget,A: The news was broadcast live on British television for the first time on 20th March 1990,F
103,"In British politics, who succeeded Jeremy Thorpe as acting leader of the Liberal Party in 1976?",jo grimond,"A: No, Jeremy Thorpe was not the acting leader of the Liberal Party in 1976",F
104,"In UK politics, what position did Labour politician Manny Shinwell hold from 1950-51?",minister of defence,A: He was a member of the House of Commons,F
105,"In politics, psephology is the study of what?",elections,A: Political parties,F
106,"In UK politics, who defeated Ted Heath in the Tory leadership campaign of 1975?",margaret thatcher,A: No one defeated Ted Heath in the Tory leadership campaign of 1975,F
107,"In British politics, what is the only one of the 'Four Great Offices of State' never (at at Feb 2011) held by a woman?",chancellor of exchequer,A: The only one of the 'Four Great Offices of State' never (at at Feb 2011) held by a woman is the Ministry of Defence,F
108,"In UK politics, what flower is the emblem of the Labour Party?",rose,A: The flower is the rose,T
109,In US politics who replaced Spiro Agnew as Richard Nixon's vice-president in 1973?,gerald ford,A: The people who replaced Spiro Agnew as Richard Nixon's vice-president in 1973 were the people who replaced Spiro Agnew as Richard Nixon's vice-president in 1973,F
110,Bernard and Phyllis Coard and Maurice Bishop were involved with the politics of which country in 1983?,grenada,A: Bernard and Phyllis Coard and Maurice Bishop were involved with the politics of which country in 1983,F
111,What career did Adolf Hitler pursue before getting into politics?,painting,A: He was a Nazi,F
112,"Which board game is based around European power politics leading up,to the First World War?",diplomacy,A: The game is based on the game of chess,F
113,In German politics who was known as the Iron Chancellor?,bismarck,A: The Iron Chancellor was a German politician who was the leader of the German Social Democratic Party,F
114,"According to von Clausewitz, War is the continuation of what, by other means?",politics,A: War is the continuation of the old order,F
115,Sir William Vernon Harcourt was Home Secretary in which British Prime Minister’s government?,william gladstone,A: Home Secretary Harcourt was Home Secretary in which British Prime Minister’s government,F
116,Juan Velasco Alvarado became President of the Revolutionary Government in October 1968 in which south American country?,peru,A: Juan Velasco Alvarado became President of the Revolutionary Government in October 1968 in which south American country,F
117,Who was deported from the US aged 89 to face a war crime trial in Germany?,john demjanjuk,A: The person was deported from the US aged 89 to face a war crime trial in Germany,F
118,What is a legal defence for being somewhere other than at the scene of a crime?,alibi,A: You are not guilty of the crime if you are not at the scene of the crime,F
119,"Possession of what was made illegal in California, the first part of the USA to do so, on 6 October 1966?",lsd,"A: Possession of what was made illegal in California, the first part of the USA to do so, on 6 October 1966",F
120,"Prior to the Law Resform Act (1996), the charge of murder could apply only if the victim died within what period from the time of the offence?",year and day,A: The charge of murder could apply only if the victim died within the period of the offence,F
121,The establishment of which law officers dates from 1194?,coroners,A: The establishment of which law officers dates from 1194,F
122,Prohibition in the USA was enacted into law by the 'National Prohibition Act'. By what name was this popularly known?,volstead act,A: Prohibition was popularly known as the National Prohibition Act,F
123,In law what name is given to a written voluntary statement given under oath?,affidavit,A: A written voluntary statement given under oath is called a statement of fact,F
124,Which European country recently passed a law legalizing divorce?,malta,A: The Netherlands,F
125,What type of law court has replaced the Assize Court?,crown court,A: The Supreme Court of the United States,F
126,"What is the legal term, used in law to describe the state of those related through marriage?",affinity,"A: The legal term used in law to describe the state of those related through marriage is ""married""",F
127,A formal agreement enforceable by law is what?,contract,A: A formal agreement enforceable by law is a contract,T
128,"Public Law 62-5, which was passed on August 8, 1911 set the membership of the House of Representatives to what number?",435,A: One hundred and five,F
129,How long does a US president have to consider a bill before he must either sign it into law or return it to Congress as a veto?,10 days,A: A president has to consider a bill before he must sign it into law or return it to Congress as a veto,F
130,"September 22, 1961 saw the passage of Public Law 87-293, which declares ""To promote world peace and friendship through a [blank], which shall make available to interested countries and areas men and women of the United States qualified for service abroad and willing to serve, under conditions of hardship if necessary, to help the peoples of such countries and areas in meeting their needs for trained manpower.""",peace corps,"A: September 22, 1961 saw the passage of Public Law 87-293, which declared ""To promote world peace and friendship through a [blank], which shall make available to interested countries and areas men and women of the United States qualified for",F
131,What degree does a US law school graduate get?,jd,A: A law school graduate gets a law degree,F
132,For what profession did Mahatma Ghandi train?,lawyer,A: He trained as a doctor,F
133,"The 1974 book Helter Skelter, co-written by lawyer Vincent Bugliosi, recounts whose famous crime?",charles manson,A: The crime was the murder of a man named John Dillinger,F
134,"Who was the Government Chief Whip who resigned in October 2012, following accusation that he swore at police officers and called them 'plebs'?",andrew mitchell,A: The Government Chief Whip resigned after the police officers and the Government Chief Whip called each other 'plebs',F
135,In what year did Britain have a Labour government for the first time?,1924,A: In the year of the first Labour government,F
136,"Which country was the first to experience civil uprisings in 'The Arab Spring', the then existing government being overthrown in January 2011 after 23 years in power?",tunisia,"A: The first country to experience civil uprisings in 'The Arab Spring', the then existing government being overthrown in January 2011 after 23 years in power",F
137,Who became Leader of the Opposition when the coalition government was formed in May 2010?,harriet harman,A: The leader of the opposition was the leader of the opposition,F
138,Who is Secretary of State for the Depsrtment of Communities and Local Government?,eric pickles,A: The Secretary of State for the Depsrtment of Communities and Local Government is a member of the Cabinet,F
139,"Currently held by John Kerry, what American governmental role is equivalent to that of Foreign Secretary in the UK?",secretary of state,A: The British government is equivalent to that of Foreign Secretary in the UK,F
140,"Which government agency has its headquarters at Explorer House, Southampton?",ordnance survey,A: The U.S. Department of Energy,F
141,Labour Party politician Aneurin Bevan is known for his role in establishing what seminal institution in Great Britain?,national health service,A: The Labour Party was founded by Aneurin Bevan,F
142,British politician Norman Tebbit created controversy in 1990 commenting on the perceived lack of loyalty of South Asian and Caribbean immigrants towards the English team playing which game?,cricket,A: I am not sure what he said,F
143,Name the Russian politician shot and killed near the Kremlin on 27th February 2015?,boris nemtsov,A: Vladimir Putin,F
144,"Which Chancellor, executed in 1535, became the patron saint of politicians?",sir thomas more,"A: The Chancellor of the United States, John Adams",F
145,"The son-in-law of a British Prime Minister and the father of a former Minister of Defence, which Conservative politician served as the last Governor of Southern Rhodesia?",christopher soames,"A: The son-in-law of a British Prime Minister and the father of a former Minister of Defence, who served as the last Governor of Southern Rhodesia",F
146,Which Soviet politician and diplomat was the principal Soviet signatory of the Nazi-Soviet Non-Aggression Pact of 1939?,vyacheslav molotov,A: Leonid Brezhnev,F
147,"October 11, 1950 saw the birth of what US politician, known as ""a mom in tennis shoes"", who is currently facing off against Dino Rossi?",patty murray,"A: The birth of what US politician, known as ""a mom in tennis shoes"", who is currently facing off against Dino Rossi?",F
