,dataset,question,answer,Base_test,comparison
45,triviaQA_un,In which of Grimm's fairy tales does the wicked witch end up in the oven?,hansel and gretel,In which of Grimm's fairy tales does the wicked witch end up in the oven?,F
46,triviaQA_un,What is the only non-fictional country visited by Gulliver in his travels?,japan,The only non-fictional country visited by Gulliver in his travels is the United States,F
47,triviaQA_un,"John Jarndyce and Honoria, Lady Dedlock are major characters in which Dickens novel?",bleak house,"John Jarndyce and Honoria, Lady Dedlock are major characters in which Dickens novel",F
48,triviaQA_un,Who was the Roman god of sleep?,somnus,The Roman god of sleep was the god of sleep,F
49,triviaQA_un,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,sinclair lewis,Sinclair won the Nobel Prize for Literature in 1930,F
50,triviaQA_un,Which William wrote the novel Lord Of The Flies?,golding,William wrote the novel Lord Of The Flies,F
51,triviaQA_un,When did the founder of Jehovah's Witnesses say the world would end?,1914,In the year 2000,F
52,triviaQA_un,Who wrote the novel Evening Class?,maeve binchy,The novel Evening Class was written by a man named John Updike,F
53,triviaQA_un,Which series had the characters Felix Unger and Oscar Madison?,odd couple,"Felix Unger and Oscar Madison were the characters in the series ""Felix Unger and Oscar Madison""",F
54,triviaQA_un,Who had the noels Spy Hook and Spy Line published in the 80s?,len deighton,The noels Spy Hook and Spy Line was published by the British government,F
55,triviaQA_un,Who wrote The Turn Of The Screw in the 19th century and The Ambassadors in the 20th?,henry james,The Turn Of The Screw was written by William Shakespeare,F
56,triviaQA_un,What was John Glenn/'s first spacecraft called?,friendship 7,"The first spacecraft was named ""John Glenn""",F
57,triviaQA_un,"Who wrote the novel Cry, the Beloved Country about South Africa?",alan paton,"The novel Cry, the Beloved Country was written by a South African",F
58,triviaQA_un,Who wrote the novel The Go Between?,l p hartley,The novel was written by a man named John Galt,F
59,triviaQA_un,Which American wrote The Game of Chess in 1959?,bobby fischer,The game of chess was written by a German immigrant named Fritz Pfeffer,F
60,triviaQA_un,"""""""Last night I dreamt I went to Manderley again,"""" was the first line of what Daphne du Maurier novel?""",rebecca,The first line of the novel is the first line of the novel,F
61,triviaQA_un,"How many husbands did the Wife of Bath have, as reported in Chaucer's Canterbury Tales?",five,One,F
62,triviaQA_un,"""What words did Lewis Carroll combine to come up with the term """"chortle"""" in Through a Looking-Glass?""",chuckle and snort,"""Chortle"" is a combination of ""chortle"" and ""chortle""",F
63,triviaQA_un,"""Shakespeare wrote that """"brevity is the soul of wit."""" What did noted wit Dorothy Parker say it was?""",soul of lingerie,"""Shakespeare wrote that """"brevity is the soul of wit""""",F
64,triviaQA_un,What is the native country of Agatha Chrisitie's detective Hercule Poirot?,belgium,The native country of Agatha Chrisitie's detective Hercule Poirot is the United Kingdom,F
65,triviaQA_un,"In the Robin Hood stories, what was the real name of Little John?",john little,Little John was the name of a character in the Robin Hood stories,F
66,triviaQA_un,The Last Of The Really Great Whangdoodles and Mandy are children's books written by what well-known Oscar-winning actress?,julie andrews,The Last Of The Really Great Whangdoodles and Mandy are children's books written by what well-known Oscar-winning actress,F
67,triviaQA_un,By what pseudonym is writer Frederick Dannay Manfred Bennington Lee better known?,ellery queen,Frederick Dannay Manfred Bennington Lee is better known as Frederick Dannay Manfred Bennington Lee,F
68,triviaQA_un,How many times did Ernest Hemingway revise the last page of A Farewell To Arms?,39 times,Hemingway revised the last page of A Farewell To Arms more than once,F
69,triviaQA_un,"""What famous book begins: """"Chug, chug, chug. Puff, puff, puff""""?""",little engine that could,"The famous book begins: """"Chug, chug, chug. Puff, puff, puff""""",F
70,triviaQA_un,"To whom did Herman Melville dedicate his novel, Moby Dick?",nathanial hawthorne,To Herman Melville,F
71,triviaQA_un,How many years did Robinson Crusoe spend shipwrecked on his island?,24,Robinson Crusoe spent about ten years on his island,F
72,triviaQA_un,What was the name of the pig leader in George Orwell's Animal Farm?,napoleon,"The name of the pig leader in George Orwell's Animal Farm was ""Piggy""",F
73,triviaQA_un,"In the Little Orphan Annie comic strip, what was the name of Daddy Warbucks's Giant bodyguard who wore a turban?",punjab,"The name of the Giant bodyguard was ""Giant""",F
74,triviaQA_un,The Terror of the Monster was an early title for a best-selling novel which inspired one of the highest-grossing movies of the mid-70's. Under what name did it eventually terrify the reading and film going public?,jaws,The Terror of the Monster was an early title for a best-selling novel which inspired one of the highest-grossing movies of the mid-70's,F
75,triviaQA_un,Who wrote the story upon which Alfred Hitchcock based his 1963 suspense film The Birds?,daphne du maurier best known for rebecca,Alfred Hitchcock wrote the story upon which Hitchcock based his 1963 suspense film The Birds,F
76,triviaQA_un,The diet of what mythical monster periodically included seven youths and seven maidens?,minotaur s,The diet of what mythical monster periodically included seven youths and seven maidens?,F
77,triviaQA_un,"In Greek mythology, who was the goddess of the rainbow?",iris,"The goddess of the rainbow was called ""the goddess of the rainbow""",F
78,triviaQA_un,"In ancient Athens, what tree was considered sacred -- with all its fruit belonging to the state, and death the penalty for anyone caught cutting one down?",olive tree,The tree was considered sacred because it was the only tree that was not cut down,F
79,triviaQA_un,"What legendary fire-breathing female monster had a lion's head, a goat's body and a dragon's tail?",chimera,"The legendary fire-breathing female monster had a lion's head, a goat's body and a dragon's tail",F
80,triviaQA_un,"According to legend, who fired the arrow that hit Achilles in the heel, his only vulnerable spot?",paris,Achilles was not the only vulnerable spot in the story,F
81,triviaQA_un,"In Greek mythology, who was the queen of the underworld and wife of Hades?",persephone,"Persephone, the daughter of Zeus and Demeter",T
82,triviaQA_un,Who wrote the novel Delta Connection?,hammond innes,No one person wrote the novel Delta Connection,F
83,triviaQA_un,Who is the clown in Shakespeare's 'Twelfth Night'?,feste,The clown is a character in the play,F
84,triviaQA_un,"""Who wrote the book """"The Brothers Karamazov""""?""",dostoyevsky,The book was written by Ivan Karamazov,F
85,triviaQA_un,"In mythology, which winged horse did Bellerophon ride?",pegasus,Bellerophon rode on the winged horse of the sun,F
86,triviaQA_un,"In children's literature, which car did Commander Caractacus Potts drive?",chitty chitty bang bang,The car that Commander Caractacus Potts drove,F
87,triviaQA_un,"""Whose ghost was at the dinner table in """"Macbeth""""?""",banquo s,"The ghost at the dinner table in """"Macbeth"""" is the ghost of the ghost of the ghost of the ghost of the ghost of the ghost of the ghost of the ghost of the ghost of the ghost of the ghost of the",F
88,triviaQA_un,"""Who wrote the novel """"Mansfield Park""""?""",jane austen,"""Who wrote the novel """"Mansfield Park""""?""",F
89,triviaQA_un,"Which French writer published the collection of fairy tales `Contes de ma mere l'Oye', better known as Mother Goose?",charles perrault,"The author of the collection of fairy tales `Contes de ma mere l'Oye', better known as Mother Goose, was a French writer",F
90,triviaQA_un,The operas 'La Cenerentola' by Rossini and 'Cendrillon' by Massenet are based on the fairy tale Cinderella by whom?,charles perrault,The operas 'La Cenerentola' by Rossini and 'Cendrillon' by Massenet are based on the fairy tale Cinderella by whom?,F
91,triviaQA_un,Who wrote the fairy tale The Princess and the Pea?,hans christian anderson,The Princess and the Pea was written by a German,F
92,triviaQA_un,Rose-Red is whose sister in the German fairy tale?,snow white,"Rose-Red is the sister of the German fairy tale ""Rose-Red""",F
93,triviaQA_un,Which classic fairy tale was first published in written form by Poet Laureate Robert Southey in 1837?,goldilocks,"The first published fairy tale was ""The Three Little Pigs"" by Robert Southey",F
94,triviaQA_un,"In 1954 the British genius Alan Turing was found dead with a half-eaten apple next to his body. Although the apple was not tested for cyanide, the cause of his death was established as cyanide poisoning. It was suggested that Turing was re-enacting a scene from which 1937 film that was based on his favorite (and universally loved) fairy tale?",snow white,Turing was not re-enacting a scene from which 1937 film that was based on his favorite (and universally loved) fairy tale,F
95,triviaQA_un,Which Norwegian fairy tale is about three goats who want to cross a bridge under which lurks a fearsome troll?,three billy goats gruff,The story is about three goats who want to cross a bridge under which lurks a fearsome troll,F
96,triviaQA_un,In which Grimm's fairy tale does a prince climb up a maiden's hair?,rapunzel,In which Grimm's fairy tale does a prince climb up a maiden's hair?,F
97,triviaQA_un,"In the fairy tale 'Snow White...', how many dwarfs were there?",7,"There were three dwarfs in the fairy tale 'Snow White...', but only one of them was a dwarf",F
98,triviaQA_un,"According to the fairy tale Goldilocks, whose bed was too hard?",papa bear,Goldilocks was a girl who was too hard,F
99,triviaQA_un,"According to the fairy tale Cinderella, what vegetable gets turned into the carriage?",pumpkin,The vegetable that gets turned into the carriage is the carrot,F
100,triviaQA_un,German Brothers Wilhelm and Jacob wrote which book in 1812?,grimms fairy tales,The book was written by Wilhelm and Jacob,F
101,triviaQA,What fairy tale features a wolf who tries to ‚Äúhuff and puff and blow your house in‚Äù?,three little pigs,The wolf who tries to ‚Äúhuff and puff and blow your house in‚Äù is a wolf who tries to ‚Äúhuff and puff and blow your house in‚,F
102,triviaQA,At what Bikini Bottom restaurant does SpongeBob Squarepants earn a living as a fry cook?,krusty krab,At what Bikini Bottom restaurant does SpongeBob Squarepants earn a living as a fry cook?,F
103,triviaQA,"What Family Guy character moved from Quahog, Rhode Island to Stoolbend, Virginia to spin off his own show?",cleveland brown,"The character of ""The Family Guy"" character moved from Quahog, Rhode Island to Stoolbend, Virginia to spin off his own show",F
104,triviaQA,"In Greek mythology, where do righteous souls go after death?",elysian fields,To Hades,F
105,triviaQA,Another name for the Holy Wars between the  Christian states of Europe against the Saracens,crusades,: The Holy Wars between the Christian states of Europe against the Saracens,F
106,triviaQA,Who did Simple Simon meet on his way to the fair?,pie man,"Simon was a friend of the fair's founder, the fair's founder's son, and the fair's founder's son's son",F
107,triviaQA,Who wrote the 1963 novel ‚ÄòThe Spy Who Came in From the Cold‚Äô?,john le carre,It was written by a man named John Le CarrÃ©,F
108,triviaQA,Which British playwright was killed with a hammer by his lover Keith Haliwell in 1967?,joe orton,Kenneth Branagh,F
109,triviaQA,"In Greek mythology, who was the first wife of Aegeus?",meta,The first wife of Aegeus was the daughter of the king of Athens,F
110,triviaQA,Who composed the ballet ‚ÄòSwan Lake‚Äô?,pyotr tchaikovsky,The ballet ‚ÄòSwan Lake‚Äô was composed by the Russian composer Mikhail Glinka,F
111,triviaQA,In which London street does fictional character Sweeney Todd have his barber shop?,fleet street,In which London street does fictional character Sweeney Todd have his barber shop?,F
112,triviaQA,"Nani, Cobra Bubbles and Captain Gantu are all characters in which Disney film?",lilo and stitch,"Nani is a character in the Disney film ""The Little Mermaid""",F
113,triviaQA,Which fictional UK television doctor lives in Tannochbrae?,dr finlay,Dr. John Smith,F
114,triviaQA,"Emelius Browne, Mr Jelk and Colonel Heller are all characters in which Disney film?",bedknobs and broomsticks,The characters in the Disney film are all fictional,F
115,triviaQA,Which ‚ÄòP‚Äô shot the arrow that killed Achilles by striking him on his heel?,paris,"The arrow that killed Achilles by striking him on his heel was a ""P"" shot",F
116,triviaQA,Which cartoon title character has a friend called Captain Haddock?,tin tin,Captain Haddock has a friend called Captain Haddock,F
117,triviaQA,"The Greek goddess Aphrodite loved which beautiful youth, the son of Myrrha?",adonis,Aphrodite loved the son of Myrrha,F
118,triviaQA,The Analects are the writings of which Eastern philosopher?,confucius,The Analects are the writings of which Eastern philosopher?,F
119,triviaQA,Who writes the scripts for the TV series Downton Abbey?,julian fellowes,The writers of the TV series Downton Abbey are based on the characters of the show,F
120,triviaQA,"Which film of 2005, directed by Sam Mendes, is based on former marine and author Anthony Swafford and his pre Desert Storm experiences in Saudi Arabia and fighting in Kuwait?",jarhead,"The film is based on the book ""The Desert Storm Trilogy"" by Anthony Swafford",F
121,triviaQA,"In the fairy tale Thumbelina, what creature wants the miniature girl to marry her son ?",toad,The creature wants the miniature girl to marry her son,F
122,triviaQA,Who wrote the 1961 novel The Prime of Miss Jean Brodie ?,muriel spark,The novel was written by a woman named Jean Brodie,F
123,triviaQA,Which sidekick rode a horse called Scout ?,tonto,The sidekick rode a horse called Scout,F
124,triviaQA,"Which Scottish actor played the butler Hudson in the original series of ITV's Upstairs, Downstairs ?",gordon jackson,The butler Hudson played by John Gielgud,F
125,triviaQA,Which mime artist is associated with the character Bip?,marcel marceau,Bip is associated with the character Bip,F
126,triviaQA,"""In the 1956 film """"The Ten Commandments"""", who played Moses?""",charlton heston,Moses was played by John Wayne,F
127,triviaQA,Mrs Lovett made meat pies from material supplied by whom?,sweeney todd,Mrs Lovett made meat pies from material supplied by whom,F
128,triviaQA,"""How many films were made by director Sir Peter Jackson from Tolkien's short book, """"The Hobbit""""?""",3,"""How many films were made by director Sir Peter Jackson from Tolkien's short book, """"The Hobbit""""?""",F
129,triviaQA,What is the only book written by Emily Bronte?,wuthering heights,"The only book written by Emily Bronte is ""Wuthering Heights""",T
130,triviaQA,Who was the wife of Zeus and the mother of Ares?,hera,The wife of Zeus and the mother of Ares was the goddess Aphrodite,F
131,triviaQA,"""What movie series features """"minions"""" that resemble Twinkies?""",despicable me,"""Minions"" is a movie series that features ""minions"" that resemble Twinkies",F
132,triviaQA,Which Greek God gave Cassandra the give of prophecy?,apollo,The Greek God gave Cassandra the give of prophecy,F
133,triviaQA,Who wrote the Thursday Next books?,jasper fforde,No one wrote the Thursday Next books,F
134,triviaQA,Which tree has the Lath name Taxus?,yew,The tree has the Lath name Taxus,F
135,triviaQA,In Greek mythology who was the god of the north winds?,boreas,"The god of the north winds was called ""the god of the north""",F
136,triviaQA,Which literary character is the best known creation of the writer Earl Derr Biggers?,charlie chan,The best known creation of the writer Earl Derr Biggers is the character of the character of the character of the character of the character of the character of the character of the character of the character of the character of the character of the,F
137,triviaQA,'The Prime of Miss Jean Brodie' is a 1961 novel by which author?,muriel spark,The Prime of Miss Jean Brodie is a novel by which author,F
138,triviaQA,Who wrote the operas Oedipus Rex and The Rake's Progress?,igor stravinsky,Oedipus Rex was written by a man named Oedipus,F
139,triviaQA,Who wrote the 1911 opera ‚ÄòDer Rosenkavalier‚Äô?,richard strauss,The opera was written by the German composer Richard Wagner,F
140,triviaQA,The top American fiction bestseller in both 1936 and 1937 was the only novel published during the lifetime of its author. Who was she?,margaret mitchell,The top American fiction bestseller in both 1936 and 1937 was the only novel published during the lifetime of its author,F
141,triviaQA,"""""""At night they fly, you better run, these winged things are not much fun."""" """"In the jungle you must wait, until the dice read five or eight."""" """"A tiny bite can make you itch, make you sneeze, make you twitch."""" """"This will not be an easy mission, monkeys slow the expedition."""" Clues from what 1995 movie game?""",jumanji,"he game is a game, the game is a game, the game is a game, the game is a game, the game is a game, the game is a game, the game is a game, the game is a game, the",F
142,triviaQA,Who wrote the plays 'The Real Inspector Hound' and 'Arcadia'?,tom stoppard,The plays 'The Real Inspector Hound' and 'Arcadia' were written by the same person,F
143,triviaQA,"In Shakespeare's 'Hamlet', what was the name of 'Hamlet's' mother?",gertrude,"""Hamlet's mother"" is a play by William Shakespeare",F
144,triviaQA,"""Which work of literature starts with the lines: """"The past is a foreign country: they do things differently there""""?""",go between,"""The past is a foreign country: they do things differently there""",F
145,triviaQA,What was the name of Sebastian's teddy bear in Brideshead Revisited,aloysius,: Sebastian's teddy bear was named after Sebastian Brideshead,F
146,triviaQA,Who in verse sailed to the land where the bong tree grows,owl and pussycat,: The poet William Blake,F
147,triviaQA,"Martin, Mandy and Mathew were flatmates in which comedy series",game on,": Martin, Mandy and Mathew were flatmates in which comedy series",F
148,triviaQA,What was the name of the TV comedy series starring Windsor Davies and Donald Sinden as Antique dealers?,never twain,"The name of the TV comedy series starring Windsor Davies and Donald Sinden as Antique dealers was ""Antique Detectives""",F
149,triviaQA,The Sharks face off against what gang in Leonard Bernsteins musical West Side Story?,jets,The Sharks face off against what gang in Leonard Bernsteins musical West Side Story,F
150,aqa,The parents in __ are named Black Jumbo and Black Mumbo,Little Black Sambo,"hat is Black Jumbo's name?
A: Black Jumbo is the name of the father of Black Mumbo",F
151,aqa,What book had even more complaints?,Little Black Sambo,The book that had more complaints was the book that was banned,F
152,aqa,Which calendar day is Apollo celebrated in Greek mythology?,seventh day of the month,The day of Apollo's birthday is the day of the equinox,F
153,aqa,How does Apollo protect public places and houses?,wards off evil,Apollo protects public places and houses,F
154,aqa,How is the protector god displayed in Troy?,tapered stone or column,The protector god is displayed in the form of a shield,F
155,aqa,Who developed the story of the Trojan horse during the time of Apollo?,Homer,The Trojan horse was developed during the time of Apollo,F
156,aqa,What is the objective of the god Apollo?,protector,To be the best,F
157,aqa,How did the Romans call the Light of the Sun?,"Apollo was called Sol (/\u02c8s\u0252l/ SOL, literally \""sun\"" in Latin)","The word ""sun"" comes from the Latin sun, ""sun""",F
158,aqa,Who had an epithet that became associated with the patron goddess of Lycia?,Apollo,"The epithet ""Lycia"" was originally associated with the patron goddess of Lycia",F
159,aqa,What celestial body did Apollo become associated with?,sun,The moon,F
160,aqa,In what way was the Light of the Sun's mother associated as a goddess?,was the patron goddess of Lycia,The Light of the Sun's mother was associated with the goddess of the dawn,F
161,aqa,What kind of being was Apollo said to be?,sun-god,Apollo was a Greek god,F
162,aqa,Who was the one who had a mother that was born of a wolf?,Apollo,The one who had a mother that was born of a wolf was the one who had a mother that was born of a wolf,F
163,aqa,What was the role of the person associated with one of Apollo's names?,patron goddess of Lycia,The person associated with one of Apollo's names was a scientist,F
164,aqa,The one whose mother is Leto may not be?,Greek,The one whose mother is Leto may not be,F
165,aqa,Apellon was culturally?,Doric,Apellon was culturally,F
166,aqa,What's popular in Sparta?,assembly,The Spartans were the first people to use the Internet,F
167,aqa,What superseded all other forms by the beginning of the common era?,Apellon,The common era began with the year AD 776,F
168,aqa,Why did Zephyrus change the discus' course?,jealous,Zephyrus changed the discus' course because he wanted to make sure that the discus would not be thrown,F
169,aqa,Who threw the object that killed Hyacinthus?,Apollo,The object that killed Hyacinthus was thrown by a student at San Rafael High School,F
170,aqa,How was not an adjective to describe Hyacinthus: jealous or athletic?,jealous,Not an adjective to describe Hyacinthus: jealous or athletic,T
171,aqa,Where was Hyacinthus from?,Sparta,Hyacinthus was a genus of flowering plants in the family Asteraceae,F
172,aqa,Whose lover was Apollo?,Hyacinthus,The name of the man who was Apollo,F
173,aqa,Who was Hyacinthus other than a lover of Apollo?,Spartan prince,Hyacinthus was a lover of Apollo,F
174,aqa,How was the hyacinth flower made?,out of Hyacinthus' blood,The hyacinth flower was made by a woman named Mary,F
175,aqa,What type of body did Hyacinthus have?,athletic,Hyacinthus was a type of body,F
176,aqa,Who will be the god of healing?,god of the plague,The god of healing is a person who is a member of the pantheon of gods,F
177,aqa,Who else was given the title Aplu was given?,title that was given to the god Nergal,The title Aplu was given to a student at San Rafael High School,F
178,aqa,Apollo is parallel to what other god?,"Shamash, Babylonian god of the sun",Apollo is a Greek god,F
179,aqa,"Which of the following is not a god: Aplu, Chryses or Apollo?",Chryses,"Aplu is a god of agriculture, and Chryses is a god of war",T
180,aqa,Who appeared at the duel other than Apollo and PanMidas?,Midas,The duel was between Apollo and PanMidas,T
181,aqa,What weapon did Apollo obtain?,bow and arrows,The weapon was a rocket,F
182,aqa,Name a characteristic of All Quiet on the Western Front?,serious,The characteristic of All Quiet on the Western Front is that the Germans were so quiet,F
183,aqa,What people were the source of the original concept of One Thousand and One Nights?,Indian,"The original concept of One Thousand and One Nights was created by a man named ""A.N.""",F
184,aqa,What exactly does Arabian Nights come from originally?,"a compilation of folk tales from Sanskrit, Persian, and later Arabian fables","The whole story of Arabian Nights comes from the Arabic word ""naskh""",F
185,aqa,What type of book is One Thousand and One Nights?,a compilation,"The book One Thousand and One Nights is a collection of stories about the adventures of the legendary king of the Persians, Darius the Great",F
186,aqa,What from One Thousand and One Nights have been popular on their own?,Various characters,"The story of the ""Butterfly""",F
187,aqa,What studies lead people such as Dawkins to conclude that the idea of God is myth?,"cosmology, evolutionary biology and neuroscience",The study of the mind leads people such as Dawkins to conclude that the idea of God is myth,F
188,aqa,What was presented as stories using historical content and myths?,"Tragedy, as a dramatic genre",The stories were presented as historical content and myths,F
189,aqa,What kind of text is the account of Kathmandu?,myths and legends,The account of Kathmandu is a text of a conversation between a man and a woman,F
190,aqa,What is the basis of the legend of Argos?,The myth of Danaus,Argos was a city in the Peloponnese,F
191,aqa,What could not be blindly believed?,myths,The whole world is a lie,F
192,aqa,What was one of the Greeks' religious practices the Romans picked up?,the cult of Apollo,The Romans picked up the practice of praying to the gods,F
193,aqa,__ culture was influenced by Ancient Greek culture,Etruscan,": No, Ancient Greek culture was influenced by Ancient Greek culture",F
194,aqa,How does the pigment relate to mythology?,it was the color of Venus,The pigment relates to mythology,F
195,aqa,Rex Stout's fictional detective hero is in?,New York,The fictional detective hero is in,F
196,aqa,Who from the cartoon adaptation of the comic from the Land of the Rising Sun that blended elements of Black American culture with warrior culture from the Land of the Rising Sun was vocally portrayed by one of the stars of Pulp Fiction?,Afro,The actor who played the character of the Black Panther was voiced by one of the stars of Pulp Fiction,F
197,aqa,On what venue in the land formerly known as the New World was the cartoon adaptation of the comic from the Land of the Rising Sun that blended elements of Black American culture with warrior culture from the Land of the Rising Sun first aired?,Spike TV,"The cartoon adaptation of the comic from the Land of the Rising Sun was first aired on the NBC television network in the United States on November 1, 1966",F
198,aqa,How were the relations between Chopin and George Sand portrayed?,fictionalized,Chopin was not a great friend of George Sand,F
199,aqa,Superman is a popular pop fiction character that first appeared under which medium?,comics,The first Superman comic book was published in 1939,F
200,aqa,A text or narrative telling a fictional story about a character that can be read by a person is called a?,novel,"A text or narrative telling a fictional story about a character that can be read by a person is called a ""text"" or ""narrative""",F
201,aqa,"Which of the following is not a fictional character: Link, Midna or chime?",chime,"Link, Midna or chime",T
202,aqa,What was the name of the story type book?,Hayy ibn Yaqdhan,"The name of the story type book is ""The Story of the World""",F
203,aqa,who wrote the story that claims John attempted conversion to Islam in exchange for military aide from the Almohad ruler?,Roger of Wendover and Matthew Paris,The story is a fictionalized version of the story of John the Baptist,F
204,aqa,who wrote the story that is considered to be untrue by modern historians?,Roger of Wendover and Matthew Paris,The story is not considered to be untrue by modern historians,F
