,Answer.NormalizedMatchedWikiEntityName,answer,question,Base_test,comparison
108,assassination of john f kennedy,jfk assassination,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",A: The Warren Commission was seated to investigate the assassination of President John F. Kennedy,F
109,tittle,tittle,What is the name for the dot on the lower case letters I and J?,"A: The name for the dot on the lower case letters I and J is the ""I""",F
110,vindaloo,vindaloo,"Taking its name from the Portuguese words for wine and garlic, which hot curry originated in Goa?","A: Taking its name from the Portuguese words for wine and garlic, which hot curry originated in Goa",F
111,sweeney todd,sweeney todd,Mrs Lovett made meat pies from material supplied by whom?,A: Mrs Lovett made meat pies from material supplied by whom,F
112,dick turpin,dick turpin,Which famous English highwayman was hanged for horse-stealing in April 1739?,A: John Ford,F
113,alloway,alloway,In which Ayrshire village will you find the cottage birthplace of poet Robert Bums which is now a museum?,A: In which Ayrshire village will you find the cottage birthplace of poet Robert Bums which is now a museum?,F
114,washington,washington,"What was the 42nd state to join the Union on Nov 11, 1889?",A: The 42nd state to join the Union was New York,F
115,kazz am,kent,In which UK County is Lydd Airport?,A: Lydd Airport is in the North East of England,F
116,black eyed peas,black eyed peas,Which group had a number one hit in 2009 with 'I Gotta Feeling'?,"A: The group that had a number one hit in 2009 with ""I Gotta Feeling""",F
117,bowie,bowie,What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,"A: The name of the woman who was the inspiration behind the Rolling Stones song Angie is ""Angie""",F
118,red disambiguation,red,What colour is the heraldic colour gules?,A: The heraldic colour gules is the colour of the flag of the United Kingdom,F
119,umami,umami,"""What has been described as the """"fifth"""" taste, after sweet, sour, bitter, and salty?""","A: The """"fifth"""" taste is sweet",F
120,annie leibovitz,annie leibovitz,"Who was the Vanity Fair photographer responsible for the cover featuring a naked, pregnant Demi Moore?",A: The photographer responsible for the cover of Vanity Fair was a woman named Elizabeth Taylor,F
121,renzo piano,renzo piano,Which architect designed the new London building known as the 'Shard'?,A: The architect of the new London building known as the 'Shard' is the same architect who designed the new London building known as the 'Shard',F
122,zambezi,zambezi,On which river are the Victoria Falls?,A: The Victoria Falls are located on the River Victoria,F
123,joseph priestley,joseph priestley,Which English clergyman/chemist discovered oxygen?,"A: The word ""oxygen"" is not an acronym",F
124,perspiration,sweating,Hidrosis is the medical term for which bodily function?,A: Hidrosis is the medical term for which bodily function,F
125,s l benfica,benfica,Jose Mourinho was appointed manager of which football club September to December 2000 - his first managerial post?,A: The first manager appointed by Jose Mourinho was Jose Mourinho,F
126,white,white,What colour are the berries of the mistletoe plant?,A: The berries of the mistletoe plant are green,F
127,tom stoppard,tom stoppard,Who wrote the plays 'The Real Inspector Hound' and 'Arcadia'?,A: The plays 'The Real Inspector Hound' and 'Arcadia' were written by the same author,F
128,thomas beecham,sir thomas beecham,Who founded the 'London Philharmonic Orchestra' in 1931?,A: The London Philharmonic Orchestra was founded by the composer Sir Thomas Beecham,T
129,south carolina,south carolina,Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?,A: The first action of the Civil War took place in that state in April the following year,F
130,rio de janeiro,rio de janeiro,What city will host the 2016 Olympics?,A: The city that will host the 2016 Olympics is Los Angeles,F
131,god bless america,god bless america,Which patriotic Irving Berlin song includes the line  From the mountains to the prairie to the oceans white with foam ?,A: From the mountains to the prairie to the oceans white with foam,F
132,george blake,george blake,"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?","A: John Hinckley Jr.
A: John Hinckley Jr. was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966",F
133,nowhere boy,nowhere boy,Which 2009 film is a biopic of John Lennon?,A: The biopic of John Lennon is a biopic of John Lennon,F
134,australia,australia,Robert Gordon Menzies was which country's longest-serving Prime Minister?,A: The United Kingdom,F
135,joseph marie jacquard,joseph marie jacquard,Which 19th century Frenchman invented a loom which enabled complex patterns to be woven; his name is remembered as one of these patterns?,"A: The word ""loom"" is a corruption of the word ""loom""",F
136,arturo toscanini,arturo toscanini,For which conductor was the NBC Symphony orchestra created in 1937?,A: The NBC Symphony orchestra was created in 1937,F
137,eye,eye,The nictitating membrane is found on which part of animal’s body?,A: The nictitating membrane is found on the part of the animalâ€™s body that is closest to the eye,T
138,antirrhinum,snapdragon,The antirrhinum plant is more commonly known as what?,A: The antirrhinum plant is more commonly known as antirrhinum,F
139,muriel spark,muriel spark,'The Prime of Miss Jean Brodie' is a 1961 novel by which author?,A: The Prime of Miss Jean Brodie is a 1961 novel by which author,F
140,vienna,vienna,Which city was the setting for Shakespeare’s play Measure for Measure?,A: The setting for Measure for Measure was the city of Stratford-upon-Avon,F
141,natalie wood,natalie wood,"Born Natalia Zacharenko, under what name did she find fame?","A: Born Natalia Zacharenko, under what name did she find fame?
A: Natalia Zacharenko, born in Russia, was the first person to find fame",F
142,brighton,brighton,When Laurence Olivier became Baron Olivier where was he the Baron of, He was the Baron of the Royal Opera House,F
143,rajasthan,rajasthan,"With its capital at Jaipur, what is the largest state of India, by area?","A: Jaipur, India's largest state by area",F
144,crystal gayle,crystal gayle,"""Which American country singer, the younger sister of singer Loretta Lynn, had 18 #1 country hits during the 1970s and 1980s, and is best known for a series of country-pop crossover hits including """"Don't It Make My Brown Eyes Blue""""?""","A: Loretta Lynn had 18 #1 country hits during the 1970s and 1980s, and is best known for a series of country-pop crossover hits including """"Don't It Make My Brown Eyes Blue""""",F
145,julian fellowes,julian fellowes,Who writes the scripts for the TV series Downton Abbey?,A: The scriptwriters are the same people who wrote the scripts for the TV series Downton Abbey,F
146,narwhal,narwhal,The male of which species of white whale develops a long twisted tusk that projects through its upper lip ?,A: The male of which species of white whale develops a long twisted tusk that projects through its upper lip,F
