,dataset,Question,answer,Base_test,comparison
60,triviaQA_un,"""""""Last night I dreamt I went to Manderley again,"""" was the first line of what Daphne du Maurier novel?""",rebecca,"A: ""Rebecca"" was the first line of Daphne du Maurier's ""Rebecca""",T
61,triviaQA_un,"How many husbands did the Wife of Bath have, as reported in Chaucer's Canterbury Tales?",five,A: The Wife of Bath had seven husbands,F
62,triviaQA_un,"""What words did Lewis Carroll combine to come up with the term """"chortle"""" in Through a Looking-Glass?""",chuckle and snort,"A: ""Chortle"" was a word that Lewis Carroll combined to come up with the term ""chortle"" in Through a Looking",F
63,triviaQA_un,"""Shakespeare wrote that """"brevity is the soul of wit."""" What did noted wit Dorothy Parker say it was?""",soul of lingerie,"A: ""Shakespeare wrote that """"brevity is the soul of wit."""" Dorothy Parker said it was """"the soul of wit is brevity",F
64,triviaQA_un,What is the native country of Agatha Chrisitie's detective Hercule Poirot?,belgium,A: Agatha Christie's detective Hercule Poirot is from Belgium,T
65,triviaQA_un,"In the Robin Hood stories, what was the real name of Little John?",john little,A: Little John was not called Little John in the Robin Hood stories,F
66,triviaQA_un,The Last Of The Really Great Whangdoodles and Mandy are children's books written by what well-known Oscar-winning actress?,julie andrews,A: The Last Of The Really Great Whangdoodles and Mandy are children's books written by Meryl Streep,F
67,triviaQA_un,By what pseudonym is writer Frederick Dannay Manfred Bennington Lee better known?,ellery queen,"A: Frederick Dannay Manfred Bennington Lee is better known by his pen name, Manfred Lee",F
68,triviaQA_un,How many times did Ernest Hemingway revise the last page of A Farewell To Arms?,39 times,A: Hemingway revised the last page of A Farewell To Arms at least six times,F
69,triviaQA_un,"""What famous book begins: """"Chug, chug, chug. Puff, puff, puff""""?""",little engine that could,"A: ""Chug, chug, chug. Puff, puff, puff"" is the opening line of ""The Cat in the",F
70,triviaQA_un,"To whom did Herman Melville dedicate his novel, Moby Dick?",nathanial hawthorne,"A: Herman Melville dedicated his novel, Moby Dick, to his wife",F
71,triviaQA_un,How many years did Robinson Crusoe spend shipwrecked on his island?,24,A: Robinson Crusoe spent three years shipwrecked on his island,F
72,triviaQA_un,What was the name of the pig leader in George Orwell's Animal Farm?,napoleon,A: The name of the pig leader in George Orwell's Animal Farm was Napoleon,T
73,triviaQA_un,"In the Little Orphan Annie comic strip, what was the name of Daddy Warbucks's Giant bodyguard who wore a turban?",punjab,"A: The name of Daddy Warbucks's Giant bodyguard was ""Buddha""",F
74,triviaQA_un,The Terror of the Monster was an early title for a best-selling novel which inspired one of the highest-grossing movies of the mid-70's. Under what name did it eventually terrify the reading and film going public?,jaws,"A: The Terror of the Monster was originally titled ""The Monster""",F
75,triviaQA_un,Who wrote the story upon which Alfred Hitchcock based his 1963 suspense film The Birds?,daphne du maurier best known for rebecca,A: Daphne du Maurier wrote the story upon which Alfred Hitchcock based his 1963 suspense film The Birds,F
76,triviaQA_un,The diet of what mythical monster periodically included seven youths and seven maidens?,minotaur s,A: The diet of the Hydra included seven youths and seven maidens,F
77,triviaQA_un,"In Greek mythology, who was the goddess of the rainbow?",iris,A: The goddess of the rainbow was Iris,T
78,triviaQA_un,"In ancient Athens, what tree was considered sacred -- with all its fruit belonging to the state, and death the penalty for anyone caught cutting one down?",olive tree,A: The olive tree was considered sacred in ancient Athens,T
79,triviaQA_un,"What legendary fire-breathing female monster had a lion's head, a goat's body and a dragon's tail?",chimera,"A: Medusa was a legendary fire-breathing female monster with a lion's head, a goat's body and a dragon's tail",F
80,triviaQA_un,"According to legend, who fired the arrow that hit Achilles in the heel, his only vulnerable spot?",paris,"A: Paris is thought to have fired the arrow that hit Achilles in the heel, his only vulnerable spot",T
81,triviaQA_un,"In Greek mythology, who was the queen of the underworld and wife of Hades?",persephone,A: Persephone was the queen of the underworld and wife of Hades,T
82,triviaQA_un,Who wrote the novel Delta Connection?,hammond innes,A: The author of Delta Connection was a pseudonym,F
83,triviaQA_un,Who is the clown in Shakespeare's 'Twelfth Night'?,feste,A: The clown in Shakespeare's 'Twelfth Night' is Malvolio,F
84,triviaQA_un,"""Who wrote the book """"The Brothers Karamazov""""?""",dostoyevsky,"A: Fyodor Dostoyevsky wrote the book """"The Brothers Karamazov""""",T
85,triviaQA_un,"In mythology, which winged horse did Bellerophon ride?",pegasus,A: Bellerophon rode Pegasus,T
86,triviaQA_un,"In children's literature, which car did Commander Caractacus Potts drive?",chitty chitty bang bang,A: Commander Caractacus Potts drove a Rolls-Royce,F
87,triviaQA_un,"""Whose ghost was at the dinner table in """"Macbeth""""?""",banquo s,"A: ""Macbeth"" is a play, not a movie",F
88,triviaQA_un,"""Who wrote the novel """"Mansfield Park""""?""",jane austen,"A: Jane Austen wrote the novel ""Mansfield Park""",T
89,triviaQA_un,"Which French writer published the collection of fairy tales `Contes de ma mere l'Oye', better known as Mother Goose?",charles perrault,"A: Charles Perrault is credited with publishing the collection of fairy tales `Contes de ma mere l'Oye', better known as",T
90,triviaQA_un,The operas 'La Cenerentola' by Rossini and 'Cendrillon' by Massenet are based on the fairy tale Cinderella by whom?,charles perrault,A: The operas 'La Cenerentola' by Rossini and 'Cendrillon' by Massenet are based on,F
91,triviaQA_un,Who wrote the fairy tale The Princess and the Pea?,hans christian anderson,A: The Princess and the Pea was written by Hans Christian Andersen,F
92,triviaQA_un,Rose-Red is whose sister in the German fairy tale?,snow white,A: Rose-Red is the sister of the Rose-Red Fairy,F
93,triviaQA_un,Which classic fairy tale was first published in written form by Poet Laureate Robert Southey in 1837?,goldilocks,"A: The first classic fairy tale to be published in written form was ""The Three Little Pigs""",F
94,triviaQA_un,"In 1954 the British genius Alan Turing was found dead with a half-eaten apple next to his body. Although the apple was not tested for cyanide, the cause of his death was established as cyanide poisoning. It was suggested that Turing was re-enacting a scene from which 1937 film that was based on his favorite (and universally loved) fairy tale?",snow white,"A: The apple was not tested for cyanide, but the cause of his death was established as cyanide poisoning",F
95,triviaQA_un,Which Norwegian fairy tale is about three goats who want to cross a bridge under which lurks a fearsome troll?,three billy goats gruff,"A: The troll in the Norwegian fairy tale is named ""Krumpen""",F
96,triviaQA_un,In which Grimm's fairy tale does a prince climb up a maiden's hair?,rapunzel,"A: In ""The Goose Girl"", a prince climbs up a maiden's hair",F
97,triviaQA_un,"In the fairy tale 'Snow White...', how many dwarfs were there?",7,A: There were seven dwarfs in the fairy tale 'Snow White...',F
98,triviaQA_un,"According to the fairy tale Goldilocks, whose bed was too hard?",papa bear,A: Goldilocks' bed was too hard,F
99,triviaQA_un,"According to the fairy tale Cinderella, what vegetable gets turned into the carriage?",pumpkin,A: The pumpkin gets turned into the carriage,T
100,triviaQA_un,German Brothers Wilhelm and Jacob wrote which book in 1812?,grimms fairy tales,"A: Wilhelm and Jacob wrote ""The Brothers Grimm""",F
101,triviaQA,What fairy tale features a wolf who tries to ‚Äúhuff and puff and blow your house in‚Äù?,three little pigs,A: The Three Little Pigs,T
102,triviaQA,At what Bikini Bottom restaurant does SpongeBob Squarepants earn a living as a fry cook?,krusty krab,A: SpongeBob Squarepants earns a living as a fry cook at the Krusty Krab,T
103,triviaQA,"What Family Guy character moved from Quahog, Rhode Island to Stoolbend, Virginia to spin off his own show?",cleveland brown,"A: Peter Griffin moved from Quahog, Rhode Island to Stoolbend, Virginia to spin off his own show",F
104,triviaQA,"In Greek mythology, where do righteous souls go after death?",elysian fields,A: The righteous souls of the dead go to Elysium,F
105,triviaQA,Another name for the Holy Wars between the  Christian states of Europe against the Saracens,crusades, The Crusades,T
106,triviaQA,Who did Simple Simon meet on his way to the fair?,pie man,A: Simple Simon met a man who was going to the fair,F
107,triviaQA,Who wrote the 1963 novel ‚ÄòThe Spy Who Came in From the Cold‚Äô?,john le carre,A: John le Carré wrote the 1963 novel ‚ÄòThe Spy Who Came in From the Cold‚Äô,F
108,triviaQA,Which British playwright was killed with a hammer by his lover Keith Haliwell in 1967?,joe orton,A: John Webster was killed with a hammer by his lover Keith Haliwell in 1967,F
109,triviaQA,"In Greek mythology, who was the first wife of Aegeus?",meta,"A: In Greek mythology, the first wife of Aegeus was named Penelope",F
110,triviaQA,Who composed the ballet ‚ÄòSwan Lake‚Äô?,pyotr tchaikovsky,A: Pyotr Ilyich Tchaikovsky composed the ballet ‚ÄòSwan Lake‚Äô,F
111,triviaQA,In which London street does fictional character Sweeney Todd have his barber shop?,fleet street,A: Sweeney Todd has his barber shop in Fleet Street,T
112,triviaQA,"Nani, Cobra Bubbles and Captain Gantu are all characters in which Disney film?",lilo and stitch,"A: Nani, Cobra Bubbles and Captain Gantu are all characters in ""The Lion King""",F
113,triviaQA,Which fictional UK television doctor lives in Tannochbrae?,dr finlay,A: Dr. Who lives in Tannochbrae,F
114,triviaQA,"Emelius Browne, Mr Jelk and Colonel Heller are all characters in which Disney film?",bedknobs and broomsticks,"A: Emelius Browne, Mr Jelk and Colonel Heller are all characters in ""The Rescuers""",F
115,triviaQA,Which ‚ÄòP‚Äô shot the arrow that killed Achilles by striking him on his heel?,paris,A: The ‚ÄòP‚Äô shot the arrow that killed Achilles by striking him on his heel,F
116,triviaQA,Which cartoon title character has a friend called Captain Haddock?,tin tin,"A: The title character of ""The Adventures of Tintin"" has a friend called Captain Haddock",F
117,triviaQA,"The Greek goddess Aphrodite loved which beautiful youth, the son of Myrrha?",adonis,A: Aphrodite loved Adonis,T
118,triviaQA,The Analects are the writings of which Eastern philosopher?,confucius,A: Confucius is the name of the Eastern philosopher,T
119,triviaQA,Who writes the scripts for the TV series Downton Abbey?,julian fellowes,A: Julian Fellowes writes the scripts for the TV series Downton Abbey,T
120,triviaQA,"Which film of 2005, directed by Sam Mendes, is based on former marine and author Anthony Swafford and his pre Desert Storm experiences in Saudi Arabia and fighting in Kuwait?",jarhead,"A: ""Jarhead"" is based on former marine and author Anthony Swafford and his pre Desert Storm experiences in Saudi Arabia and fighting in",T
121,triviaQA,"In the fairy tale Thumbelina, what creature wants the miniature girl to marry her son ?",toad,A: The creature in the fairy tale Thumbelina wants the miniature girl to marry her son,F
122,triviaQA,Who wrote the 1961 novel The Prime of Miss Jean Brodie ?,muriel spark,A: Muriel Spark wrote the 1961 novel The Prime of Miss Jean Brodie,T
123,triviaQA,Which sidekick rode a horse called Scout ?,tonto,A: Robin Hood rode a horse called Scout,F
124,triviaQA,"Which Scottish actor played the butler Hudson in the original series of ITV's Upstairs, Downstairs ?",gordon jackson,"A: Ian Carmichael played the butler Hudson in the original series of ITV's Upstairs, Downstairs",F
125,triviaQA,Which mime artist is associated with the character Bip?,marcel marceau,A: Marcel Marceau is associated with the character Bip,T
126,triviaQA,"""In the 1956 film """"The Ten Commandments"""", who played Moses?""",charlton heston,"A: Charlton Heston played Moses in the 1956 film ""The Ten Commandments""",T
127,triviaQA,Mrs Lovett made meat pies from material supplied by whom?,sweeney todd,A: Mrs Lovett made meat pies from material supplied by the butcher,F
128,triviaQA,"""How many films were made by director Sir Peter Jackson from Tolkien's short book, """"The Hobbit""""?""",3,"A: ""The Hobbit"" was made into three films",F
129,triviaQA,What is the only book written by Emily Bronte?,wuthering heights,"A: The only book written by Emily Bronte is ""Wuthering Heights""",T
130,triviaQA,Who was the wife of Zeus and the mother of Ares?,hera,A: Hera was the wife of Zeus and the mother of Ares,T
131,triviaQA,"""What movie series features """"minions"""" that resemble Twinkies?""",despicable me,"A: ""Despicable Me"" features minions that resemble Twinkies",T
132,triviaQA,Which Greek God gave Cassandra the give of prophecy?,apollo,A: Apollo gave Cassandra the gift of prophecy,T
133,triviaQA,Who wrote the Thursday Next books?,jasper fforde,A: Jasper Fforde wrote the Thursday Next books,T
134,triviaQA,Which tree has the Lath name Taxus?,yew,A: The Lath name Taxus is the European Yew,T
135,triviaQA,In Greek mythology who was the god of the north winds?,boreas,A: Boreas was the god of the north winds,T
136,triviaQA,Which literary character is the best known creation of the writer Earl Derr Biggers?,charlie chan,A: Charlie Chan is the best known creation of the writer Earl Derr Biggers,T
137,triviaQA,'The Prime of Miss Jean Brodie' is a 1961 novel by which author?,muriel spark,A: Muriel Spark wrote 'The Prime of Miss Jean Brodie',T
138,triviaQA,Who wrote the operas Oedipus Rex and The Rake's Progress?,igor stravinsky,A: The operas Oedipus Rex and The Rake's Progress were written by the German composer Carl Maria von Weber,F
139,triviaQA,Who wrote the 1911 opera ‚ÄòDer Rosenkavalier‚Äô?,richard strauss,A: Richard Strauss wrote the opera ‚ÄòDer Rosenkavalier‚Äô,T
140,triviaQA,The top American fiction bestseller in both 1936 and 1937 was the only novel published during the lifetime of its author. Who was she?,margaret mitchell,"A: The top American fiction bestseller in both 1936 and 1937 was ""Gone with the Wind"" by Margaret Mitchell",T
141,triviaQA,"""""""At night they fly, you better run, these winged things are not much fun."""" """"In the jungle you must wait, until the dice read five or eight."""" """"A tiny bite can make you itch, make you sneeze, make you twitch."""" """"This will not be an easy mission, monkeys slow the expedition."""" Clues from what 1995 movie game?""",jumanji, The most common name in the world is Mohammed,F
142,triviaQA,Who wrote the plays 'The Real Inspector Hound' and 'Arcadia'?,tom stoppard,A: William Shakespeare wrote the plays 'The Real Inspector Hound' and 'Arcadia',F
143,triviaQA,"In Shakespeare's 'Hamlet', what was the name of 'Hamlet's' mother?",gertrude,A: Gertrude was the name of 'Hamlet's' mother,T
144,triviaQA,"""Which work of literature starts with the lines: """"The past is a foreign country: they do things differently there""""?""",go between,"A: ""The Great Gatsby""",F
145,triviaQA,What was the name of Sebastian's teddy bear in Brideshead Revisited,aloysius," Sebastian's teddy bear was named ""Buster""",F
146,triviaQA,Who in verse sailed to the land where the bong tree grows,owl and pussycat, The person in verse sailed to the land where the bong tree grows,F
147,triviaQA,"Martin, Mandy and Mathew were flatmates in which comedy series",game on," Martin, Mandy and Mathew were flatmates in the sitcom ""Three's Company""",F
148,triviaQA,What was the name of the TV comedy series starring Windsor Davies and Donald Sinden as Antique dealers?,never twain,"A: The name of the TV comedy series was ""The Good Life""",F
149,triviaQA,The Sharks face off against what gang in Leonard Bernsteins musical West Side Story?,jets,A: The Sharks face off against the Sharks,F
150,aqa,The parents in __ are named Black Jumbo and Black Mumbo,Little Black Sambo," The parents in ""The Parent Trap"" are named Black Jumbo and Black Mumbo.",F
151,aqa,What book had even more complaints?,Little Black Sambo,A: The Bible had more complaints than any other book,F
152,aqa,Which calendar day is Apollo celebrated in Greek mythology?,seventh day of the month,A: Apollo is celebrated on the day of the summer solstice,F
153,aqa,How does Apollo protect public places and houses?,wards off evil,A: Apollo protects public places and houses by using a force field,F
154,aqa,How is the protector god displayed in Troy?,tapered stone or column,A: The protector god is displayed in Troy by a statue,F
155,aqa,Who developed the story of the Trojan horse during the time of Apollo?,Homer,A: The story of the Trojan horse was developed by Homer,T
156,aqa,What is the objective of the god Apollo?,protector,A: The objective of the god Apollo is to make people happy,F
157,aqa,How did the Romans call the Light of the Sun?,"Apollo was called Sol (/\u02c8s\u0252l/ SOL, literally \""sun\"" in Latin)","A: The Romans called the Light of the Sun the ""Aurora Borealis""",F
158,aqa,Who had an epithet that became associated with the patron goddess of Lycia?,Apollo,"A: Artemis was known as the ""Queen of the Hunt""",F
159,aqa,What celestial body did Apollo become associated with?,sun,A: Apollo became associated with the sun,T
160,aqa,In what way was the Light of the Sun's mother associated as a goddess?,was the patron goddess of Lycia,A: The Light of the Sun's mother was associated as a goddess,F
161,aqa,What kind of being was Apollo said to be?,sun-god,A: Apollo was said to be a god,F
162,aqa,Who was the one who had a mother that was born of a wolf?,Apollo,A: There was no one who had a mother that was born of a wolf,F
163,aqa,What was the role of the person associated with one of Apollo's names?,patron goddess of Lycia,A: The role of the person associated with one of Apollo's names was to be a messenger,F
164,aqa,The one whose mother is Leto may not be?,Greek,A: The one whose mother is Leto may not be,F
165,aqa,Apellon was culturally?,Doric,A: Apellon was not culturally,F
166,aqa,What's popular in Sparta?,assembly,A: The Spartans were known for their love of war,F
167,aqa,What superseded all other forms by the beginning of the common era?,Apellon,A: The written word superseded all other forms by the beginning of the common era,F
168,aqa,Why did Zephyrus change the discus' course?,jealous,A: Zephyrus changed the discus' course because he was jealous of the discus,T
169,aqa,Who threw the object that killed Hyacinthus?,Apollo,A: Apollo killed Hyacinthus with a discus,T
170,aqa,How was not an adjective to describe Hyacinthus: jealous or athletic?,jealous,A: Hyacinthus was not an adjective to describe him,F
171,aqa,Where was Hyacinthus from?,Sparta,A: Hyacinthus was from Sparta,T
172,aqa,Whose lover was Apollo?,Hyacinthus,A: Apollo's lover was Daphne,F
173,aqa,Who was Hyacinthus other than a lover of Apollo?,Spartan prince,A: Hyacinthus was a Greek youth who was killed by Apollo,F
174,aqa,How was the hyacinth flower made?,out of Hyacinthus' blood,A: The hyacinth flower was made by the Greek god Apollo,F
175,aqa,What type of body did Hyacinthus have?,athletic,A: Hyacinthus had a beautiful body,F
176,aqa,Who will be the god of healing?,god of the plague,A: The god of healing will be the god of medicine,F
177,aqa,Who else was given the title Aplu was given?,title that was given to the god Nergal,"A: Aplu was given the title ""Aplu""",F
178,aqa,Apollo is parallel to what other god?,"Shamash, Babylonian god of the sun",A: Apollo is parallel to Zeus,F
179,aqa,"Which of the following is not a god: Aplu, Chryses or Apollo?",Chryses,A: Apollo is not a god,F
180,aqa,Who appeared at the duel other than Apollo and PanMidas?,Midas,A: The duel was between Apollo and PanMidas,T
181,aqa,What weapon did Apollo obtain?,bow and arrows,A: Apollo obtained the bow and arrow,F
182,aqa,Name a characteristic of All Quiet on the Western Front?,serious,A: All Quiet on the Western Front is a novel about World War I,F
183,aqa,What people were the source of the original concept of One Thousand and One Nights?,Indian,A: The original source of the One Thousand and One Nights was the ancient Greeks,F
184,aqa,What exactly does Arabian Nights come from originally?,"a compilation of folk tales from Sanskrit, Persian, and later Arabian fables",A: The original Arabian Nights was a collection of stories from the Middle East,F
185,aqa,What type of book is One Thousand and One Nights?,a compilation,A: One Thousand and One Nights is a collection of folktales,F
186,aqa,What from One Thousand and One Nights have been popular on their own?,Various characters,A: The story of Aladdin and the magic lamp,F
187,aqa,What studies lead people such as Dawkins to conclude that the idea of God is myth?,"cosmology, evolutionary biology and neuroscience",A: The studies of Dawkins lead people such as Dawkins to conclude that the idea of God is myth,F
188,aqa,What was presented as stories using historical content and myths?,"Tragedy, as a dramatic genre",A: The stories were presented as historical accounts,F
189,aqa,What kind of text is the account of Kathmandu?,myths and legends,A: The account of Kathmandu is a written account,F
190,aqa,What is the basis of the legend of Argos?,The myth of Danaus,A: Argos is a Greek mythological figure,F
191,aqa,What could not be blindly believed?,myths,A: Blindly believing something is impossible,F
192,aqa,What was one of the Greeks' religious practices the Romans picked up?,the cult of Apollo,A: The Greeks' religious practices the Romans picked up included the worship of the gods,F
193,aqa,__ culture was influenced by Ancient Greek culture,Etruscan, Ancient Greek culture was not influenced by any other culture,F
194,aqa,How does the pigment relate to mythology?,it was the color of Venus,A: The pigment relates to mythology because it is a symbol of the sun,F
195,aqa,Rex Stout's fictional detective hero is in?,New York,A: Nero Wolfe is not in the fictional detective hero category,F
196,aqa,Who from the cartoon adaptation of the comic from the Land of the Rising Sun that blended elements of Black American culture with warrior culture from the Land of the Rising Sun was vocally portrayed by one of the stars of Pulp Fiction?,Afro,A: The character of Yojimbo was vocally portrayed by one of the stars of Pulp Fiction,F
197,aqa,On what venue in the land formerly known as the New World was the cartoon adaptation of the comic from the Land of the Rising Sun that blended elements of Black American culture with warrior culture from the Land of the Rising Sun first aired?,Spike TV,A: The cartoon adaptation of the comic from the Land of the Rising Sun that blended elements of Black American culture with warrior culture from the Land of,F
198,aqa,How were the relations between Chopin and George Sand portrayed?,fictionalized,A: Chopin and George Sand were portrayed as having a passionate love affair,F
