,Answer.NormalizedMatchedWikiEntityName,answer,question,Base_test,comparison
47,sunday post,sunday post,Which Scottish newspaper features the Broons and Oor Wullie?,The Broons and Oor Wullie are the two Scottish newspapers that feature the Broons and Oor Wullie,F
48,mv sea empress,sea empress,Which super-tanker ran aground near Milford Haven in 1996,: The super-tanker ran aground near Milford Haven in 1996,F
49,whey,whey,Little Miss Muffet sat on a tuffet eating her curds and what?,Little Miss Muffet sat on a tuffet eating her curds,F
50,pakistan,pakistan,Which country was founded by Muhammed Ali Jinnah?,Pakistan,T
51,offering,offering,What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,Oblations were offered to a god,F
52,persistence of memory,persistence of memory,What is the name of the Salvador Dali painting that shows clocks oozing over a landscape?,The Salvador Dali painting shows clocks oozing over a landscape,F
53,jabal al nour,mountain of light,"Koh-I-Noor, as in the diamond, means what in English?",Koh-I-Noor is a diamond,F
54,fence disambiguation,fences,"Electric, picket, and split rail are all types of what?","Electric, picket, and split rail are all types of what",F
55,owl and pussycat,owl and pussycat,Who in verse sailed to the land where the bong tree grows,: The bong tree grows in the land where the bong tree grows,F
56,rabbit,rabbit,What is a Flemish Giant?,A Flemish Giant is a giant who is over 6 feet tall,F
57,queen victoria,queen victoria,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?","Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",F
58,yahoo,yahoo,"In March 1994, what was ‘David and Jerry’s Guide to the World Wide Web’ renamed?",David and Jerry’s Guide to the World Wide Web was renamed ‘The World Wide Web’,F
59,neptune,neptune,Jupiter ; Saturn and Uranus are three of the so-called ' gas giants ' in our Solar System: what is the fourth ?,Jupiter and Saturn are the four gas giants in our Solar System,F
60,polish,polish,What nationality was the astronomer Copernicus ?,Copernicus was a Roman Catholic,F
61,gautama buddha,buddha,By what name is Siddhartha Gautama better known?,"Siddhartha Gautama is better known by the name of his teacher, Buddha",T
62,filmmaking,film making,"What links do Bollywood, Hollywood and Lollywood have?","Bollywood, Hollywood and Lollywood have a common link",F
63,may disambiguation,may,In which month is the Gaelic festival of Beltane traditionally celebrated ?,Beltane is celebrated in the month of May,T
64,john glenn,john glenn,In 1998 at the age of 77 who became the oldest person to fly in space?,John Glenn,T
65,breakfast at tiffany s,breakfast at tiffany s,Moon River is an Oscar winning song from which movie?,The movie Moon River was based on the song,F
66,paris disambiguation,paris,Which ‘P’ shot the arrow that killed Achilles by striking him on his heel?,The arrow that killed Achilles by striking him on his heel was the P,F
67,birmingham city f c,birmingham city,Which English football team has played home games at St. Andrew's Stadium since 1906?,The English Football League has played home games at St. Andrew's Stadium since 1906,F
68,kinks,kinks,"In 1968, which group recorded the L.P. ‘The Village Green Preservation Society’?",The L.P. recorded the L.P. in 1968,F
69,hanover,hanover,In which city was King George II born?,In which city was King George II born?,F
70,steel,steel,Which metal is produced by the Bessemer Process?,Bessemer steel is produced by the Bessemer Process,T
71,football,football,Kenneth Wolstenholme was a commentator for which sport?,The first sport was the rugby union,F
72,avocado,avocado,What fruit gets its name from its similarity to the locally native word for testicle?,"The local native word for testicle is ""tongue""",F
73,les paul,les paul,Which guitar innovator and player has a range of Gibson Guitars named after him?,Gibson Guitars were named after him,F
74,ray kroc,ray croc,Who bought the McDonalds fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business ?,The McDonalds fast food outlet was bought by the McDonald brothers,F
75,boreas,boreas,In Greek mythology who was the god of the north winds?,The god of the north winds was Poseidon,F
76,estonia,estonia,Tallinn is the capital of which country?,Tallinn is the capital of Estonia,T
77,william holden,william holden,Which screen tough-guy won a Best Actor Oscar for the 1953 film 'Stalag 17'?,Robert Mitchum won the Best Actor Oscar for the 1953 film 'Stalag 17',F
78,rennet,rennet,"What is the name of the enzyme usually added to milk to coagulate it, to make ""curds and whey""?",The enzyme is called rennin,F
79,underground railroad,underground railroad,"""On what """"railroad"""" was Harriet Tubman a conductor?""",Harriet Tubman was a conductor on the Underground Railroad,T
80,jet,jets,The Sharks face off against what gang in Leonard Bernsteins musical West Side Story?,The Sharks face off against the gang in West Side Story,F
81,white house,white house,What building is located at 1600 Pennsylvania Avenue?,The building is located at 1600 Pennsylvania Avenue,F
82,boxing,boxing,"In which sport did Andre Agassi's father Mike Agassi compete in the 1948 and 1952 Olympics, represented Iran?","In the 1948 and 1952 Olympics, Andre Agassi competed in the men's singles and men's doubles",F
83,meta,meta,"In Greek mythology, who was the first wife of Aegeus?",The first wife of Aegeus was the daughter of the king of Athens,F
84,marni nixon,marni nixon,"""Who dubbed the singing voice for Audrey Hepburn in the film version of """"My Fair Lady""""?""",Audrey Hepburn was dubbed by a man named John H. Burdick,F
85,pieman,pie man,Who did Simple Simon meet on his way to the fair?,There was no first man because humans evolved gradually,F
86,gene vincent,gene vincent,"Which late American musician, who pioneered the styles of rock and roll and rockabilly, was born Vincent Eugene Craddock in 1935?","The late American musician, who pioneered the styles of rock and roll and rockabilly, was born in 1935",F
87,mallard,mallard,What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,The steam locomotive which set the world speed record in July 1938 was the Great Western Railway,F
88,mc hammer,mc hammer,"""Who had a hit record in 1990 with """"U Can't Touch This""""?""","""U Can't Touch This"" was the first hit record by a female artist",F
89,gertrude,gertrude,"In Shakespeare's 'Hamlet', what was the name of 'Hamlet's' mother?",Hamlet's mother was a prostitute,F
90,dennis waterman,dennis waterman,Who played the role of George Carter in The Sweeney?,The role of George Carter was played by a man named John D. MacDonald,F
91,sugarloaf,sugar loaf,Which mountain overlooks Rio De Janeiro and its harbour?,The view from the top of the mountain overlooks Rio De Janeiro and its harbour,F
92,montezuma,montezuma,Which Aztec ruler was deposed by Cortez?,The Aztec ruler was deposed by Cortez,F
93,george iii of united kingdom,george iii,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain,F
94,christ church,christ church,Which college’s chapel doubles as Oxford’s cathedral?,The chapel doubles as Oxfordâ€™s cathedral,F
95,daegu,daegu,Which South Korean city was the venue of the 2011 World Athletics Championships?,"Seoul, South Korea",F
96,sprite,sprite,‘Obey your thirst’ is the advertising slogan for which soft drink?,‘Obey your thirst’ is the advertising slogan for which soft drink,F
97,project gutenberg,project gutenberg,What is the name of the first digital library founded by Michael Hart in 1971?,"The first digital library founded by Michael Hart was the Digital Library of the University of California, Berkeley",F
98,eso 3 6 m telescope,adonis,"The Greek goddess Aphrodite loved which beautiful youth, the son of Myrrha?",The Greek goddess Aphrodite loved the beautiful youth of Myrrha,F
99,buddy holly,buddy holly,Gary Busey played which pop star in a 1978 film?,"The movie was ""The Rocketeer""",F
100,charlton heston,charlton heston,"""In the 1956 film """"The Ten Commandments"""", who played Moses?""",Moses was played by a man named John Wayne,F
101,basketball,basketball,Pok ta Pok started in Mexico - what modern game/sport is it?,Pok ta Pok started in Mexico,F
102,ymca,ymca,"Founded in London in 1844 by George Williams, which organisation was established to provide low cost housing in a safe environment?","Founded in London by George Williams, which organisation was established to provide low cost housing in a safe environment",F
103,cary grant,cary grant,British-born American film actor Archibald Alec Leach was better known by which stage name?,Archibald Alec Leach,F
104,bankside power station,bankside power station,What was the original use of the building which now houses the Tate Modern Art Gallery in London?,The Tate Modern Art Gallery was built to house the Tate Gallery,F
105,margaret mitchell,margaret mitchell,The top American fiction bestseller in both 1936 and 1937 was the only novel published during the lifetime of its author. Who was she?,Margaret Mitchell,T
106,canada,canada,The Gilles Villeneuve Formula One racing circuit is in which country?,The Gilles Villeneuve Formula One racing circuit is in France,F
107,george iii of united kingdom,george iii,"In the year 1800, who was King of Great Britain and King of Ireland?",George III was King of Great Britain and King of Ireland,T
108,assassination of john f kennedy,jfk assassination,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",The Warren Commission was seated to investigate the assassination of President John F. Kennedy,F
109,tittle,tittle,What is the name for the dot on the lower case letters I and J?,"The dot on the lower case letters I and J is called a ""dot""",F
110,vindaloo,vindaloo,"Taking its name from the Portuguese words for wine and garlic, which hot curry originated in Goa?",The hot curry originated in Goa,F
111,sweeney todd,sweeney todd,Mrs Lovett made meat pies from material supplied by whom?,Mrs Lovett made meat pies from material supplied by whom,F
112,dick turpin,dick turpin,Which famous English highwayman was hanged for horse-stealing in April 1739?,John Wilkes was hanged for horse-stealing in April 1739,F
113,alloway,alloway,In which Ayrshire village will you find the cottage birthplace of poet Robert Bums which is now a museum?,"The cottage birthplace of Robert Bums is in Ayrshire, Scotland",F
114,washington,washington,"What was the 42nd state to join the Union on Nov 11, 1889?",The 42nd state to join the Union was Delaware,F
115,kazz am,kent,In which UK County is Lydd Airport?,Lydd Airport is in the county of North Yorkshire,F
116,black eyed peas,black eyed peas,Which group had a number one hit in 2009 with 'I Gotta Feeling'?,The group had a number one hit in 2009 with 'I Gotta Feeling',F
117,bowie,bowie,What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,"The Rolling Stones song ""Angie"" was named after the woman who was the inspiration behind the song",F
118,red disambiguation,red,What colour is the heraldic colour gules?,The heraldic colour gules is the colour of the flag of the United States,F
119,umami,umami,"""What has been described as the """"fifth"""" taste, after sweet, sour, bitter, and salty?""",The fifth taste is the taste of salt,F
120,annie leibovitz,annie leibovitz,"Who was the Vanity Fair photographer responsible for the cover featuring a naked, pregnant Demi Moore?","Vanity Fair photographer was John M. ""Jack"" Meehan",F
121,renzo piano,renzo piano,Which architect designed the new London building known as the 'Shard'?,The Shard is a skyscraper in London,F
122,zambezi,zambezi,On which river are the Victoria Falls?,The Victoria Falls are located on the River Victoria,F
123,joseph priestley,joseph priestley,Which English clergyman/chemist discovered oxygen?,Robert Boyle discovered oxygen,F
124,perspiration,sweating,Hidrosis is the medical term for which bodily function?,Hidrosis is the medical term for which bodily function,F
125,s l benfica,benfica,Jose Mourinho was appointed manager of which football club September to December 2000 - his first managerial post?,Jose Mourinho was appointed manager of which football club September to December 2000,F
126,white,white,What colour are the berries of the mistletoe plant?,The berries of the mistletoe plant are red,F
127,tom stoppard,tom stoppard,Who wrote the plays 'The Real Inspector Hound' and 'Arcadia'?,The plays 'The Real Inspector Hound' and 'Arcadia' were written by the same playwright,F
128,thomas beecham,sir thomas beecham,Who founded the 'London Philharmonic Orchestra' in 1931?,The London Philharmonic Orchestra was founded by the composer Sir George Finlay,F
129,south carolina,south carolina,Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?,The first state to secede from the Union was South Carolina,T
130,rio de janeiro,rio de janeiro,What city will host the 2016 Olympics?,The city hosting the 2016 Olympics will be Los Angeles,F
131,god bless america,god bless america,Which patriotic Irving Berlin song includes the line  From the mountains to the prairie to the oceans white with foam ?,From the mountains to the prairie to the oceans white with foam,F
132,george blake,george blake,"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?",Alexander Berkman,F
133,nowhere boy,nowhere boy,Which 2009 film is a biopic of John Lennon?,The biopic of John Lennon is a biopic of John Lennon,F
134,australia,australia,Robert Gordon Menzies was which country's longest-serving Prime Minister?,Robert Gordon Menzies was the longest-serving Prime Minister in the history of the United Kingdom,F
135,joseph marie jacquard,joseph marie jacquard,Which 19th century Frenchman invented a loom which enabled complex patterns to be woven; his name is remembered as one of these patterns?,Jean-Baptiste-LÃ©on Bloy,F
136,arturo toscanini,arturo toscanini,For which conductor was the NBC Symphony orchestra created in 1937?,The NBC Symphony orchestra was created in 1937 by the NBC Symphony Orchestra,F
137,eye,eye,The nictitating membrane is found on which part of animal’s body?,The nictitating membrane is found on the part of the animalâ€™s body that is closest to the eye,T
138,antirrhinum,snapdragon,The antirrhinum plant is more commonly known as what?,The antirrhinum plant is more commonly known as the antiseptic plant,F
139,muriel spark,muriel spark,'The Prime of Miss Jean Brodie' is a 1961 novel by which author?,Jean Brodie is the author of the novel 'The Prime of Miss Jean Brodie',F
140,vienna,vienna,Which city was the setting for Shakespeare’s play Measure for Measure?,The setting for Measure for Measure was the city of Stratford-upon-Avon,F
141,natalie wood,natalie wood,"Born Natalia Zacharenko, under what name did she find fame?",Born Natalia Zacharenko was the first person to find fame,F
142,brighton,brighton,When Laurence Olivier became Baron Olivier where was he the Baron of," French?
A: Olivier was the Baron of the French",F
143,rajasthan,rajasthan,"With its capital at Jaipur, what is the largest state of India, by area?","Jaipur is the largest state of India, by area",F
144,crystal gayle,crystal gayle,"""Which American country singer, the younger sister of singer Loretta Lynn, had 18 #1 country hits during the 1970s and 1980s, and is best known for a series of country-pop crossover hits including """"Don't It Make My Brown Eyes Blue""""?""","Loretta Lynn had 18 #1 country hits during the 1970s and 1980s, and is best known for a series of country-pop crossover hits including """"Don't It Make My Brown Eyes Blue""""",F
145,julian fellowes,julian fellowes,Who writes the scripts for the TV series Downton Abbey?,The scriptwriters are based in the United Kingdom,F
146,narwhal,narwhal,The male of which species of white whale develops a long twisted tusk that projects through its upper lip ?,The male of which species of white whale develops a long twisted tusk that projects through its upper lip,F
