,question,answer,Base_test,comparison
46,"June 5, 2004 saw the death of what man, the 40th President of the United States?",ronald reagan,"John Kerry died on June 5, 2004",F
47,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",jfk assassination,The Warren Commission was seated to investigate the assassination of President John F. Kennedy,F
48,"What was the 42nd state to join the Union on Nov 11, 1889?",washington,The 42nd state to join the Union was Delaware,F
49,Who succeeded Theodore Roosevelt as President?,william howard taft,Theodore Roosevelt succeeded as President,F
50,From which country did Angola achieve independence in 1975?,portugal,Angola achieved independence in 1975 from Portugal,T
51,Which was the first European country to abolish capital punishment?,norway,The Netherlands abolished capital punishment in 1848,F
52,Which prince is Queen Elizabeth II's youngest son?,edward,George V,F
53,Who became US Vice President when Spiro Agnew resigned?,gerald ford,Spiro Agnew became US Vice President when he resigned,F
54,The US signed a treaty with which country to allow the construction of the Panama Canal?,columbia,The US signed a treaty with which country to allow the construction of the Panama Canal,F
55,Which Amendment to the Constitution brought in prohibition in 1920?,18th,The Prohibition Amendment was passed in 1920,F
56,Which oil scandal hit the US in 1924?,teapot dome scandal,The oil scandal hit the US in 1924,F
57,Where did Idi Amin rule from 1971-1979?,uganda,Idi Amin ruled from Uganda,T
58,What is the former name of the People's Republic of Venin?,dohomey,The former name of the People's Republic of Venin was the People's Republic of Venin,F
59,Who was the Egyptian president who was assassinated in 1981?,sadat,The Egyptian president was assassinated in 1981,F
60,From which European country did Angola achieve independence in 1975?,portugal,Angola achieved independence in 1975 from Portugal,T
61,Who was the woman sentenced to six years in jail after the murder of Stompei Seipi?,winnie mandela,The woman was sentenced to six years in jail after the murder of Stompei Seipi,F
62,In which country did General Jaruzelski impose marital law in 1981?,poland,In which country did General Jaruzelski impose marital law in 1981?,F
63,Who was President Reagan's Secretary for Defense from 1987 to 1989?,frank carlucci,Ronald Reagan was the Secretary for Defense from 1987 to 1989,F
64,In which decade of the 20th century was the FBI set up?,1900s,The FBI was set up in the late 1920s,F
65,Richard Nixon was Vice President to which US state?,dwight eisenhower,The US was a state of the union,F
66,Thomas Marshal was Vice President to which US President?,woodrow wilson,Thomas Marshall was Vice President to which US President?,F
67,Who preceded Hosni Mubarak as President of Egypt?,anwar el sadat,Hosni Mubarak was the first person to be elected to the Egyptian presidency,F
68,Which South African President repealed key parts of apartheid law in 1991?,fw de klerk,Nelson Mandela,F
69,Which general introduced martial law in Poland in 1981?,jaruzelski,General Wladyslaw Sikorski introduced martial law in Poland in 1981,F
70,In what decade were Zebra crossings introduced into law in the UK ?,1950 s,In the late 19th century,F
71,"In March 2010, which country passed a law banning all strip clubs and made it illegal for any business to profit from the nudity of employees such as topless waitresses?",iceland,The United States passed a law banning all strip clubs and made it illegal for any business to profit from the nudity of employees such as topless waitresses,F
72,Raines Law of 1896 related to the sale of what in New York State?,liquor,The sale of what in New York State was illegal,F
73,Under which Puritan leader did the English parliament pass a law banning Christmas in 1647?,oliver cromwell,The English parliament passed a law banning Christmas in 1647,F
74,"In relation to spiritual diety Pachamama, in 2011 Bolivia announced an new unusual Law of what?",mother earth,Pachamama is a new law that allows people to use their own bodies to perform rituals,F
75,What country announced a sales ban on the yeast extract Marmite in 2011 due to its law forbidding vitamin additives?,denmark,The country that announced the sales ban on the yeast extract Marmite was the United Kingdom,F
76,"Upon the change to British regal succession law removing gender inequality, the Princess Royal (Anne) advances how many positions closer to the Crown?",six,The Princess Royal advances how many positions closer to the Crown,F
77,What significant law relating to literary and artistic works was first introduced in 1709?,copyright,The first law relating to literary and artistic works was introduced in 1709,F
78,Which law enforcement agency was established in 1908 as a branch of the U S Department of Justice?,f b i,The U.S. Department of Justice was established in 1908 as a branch of the U.S. Department of Justice,F
79,What is the name of the English law that prevents anyone building so as to completely cut out light from a window that had provided light for at least 20 years?,ancient lights,"The name of the English law that prevents anyone building so as to completely cut out light from a window that had provided light for at least 20 years is the ""Laws of the City of London""
A: The name of the",F
80,When was English law changed to enable a child to be made legitimate by the later marriage of its parents?,1926,"In 1707, the law was changed to allow a child to be made legitimate by the later marriage of its parents",F
81,"""What is the name given to the code of Roman law that was """"published"""" with the approval of the Roman Republic in 450 BC?""",twelve tables,"""""The Code of the Roman Republic"""" was """"published"""" with the approval of the Roman Republic in 450 BC",F
82,"What is prohibited by an unusual law that has been passed in Lanjarn, Spain, in three settlements in southern France: (Cugnaux, Le Lavandou & Sarpourenx), and has been proposed for Biritiba-Mirim, Brazil?",death,The law prohibits the sale of alcohol in the three settlements in southern France,F
83,"In which country do these laws apply: the 1975 State Protection Act (Article 10 b), which grants the government the power to imprison persons for up to five years without a trial, and the Law to Safeguard the State Against the Dangers of Those Desiring to Cause Subversive Acts (Article 10 a)?",myanmar,The 1975 State Protection Act (Article 10 b) and the Law to Safeguard the State Against the Dangers of Those Desiring to Cause Subversive Acts (Article 10 a) apply to all citizens of the United States,F
84,"The Volstead Act, that became law in the USA on 28 October 1919, concerned what?",prohibition of alcohol,The Volstead Act was a law that prohibited the sale of alcohol,F
85,"""The """"Support Our Law Enforcement and Safe Neighborhoods Act"""" signed into law in the US state of Arizona on 23 April 2010 to take effect on 28 July 2010, concerns what?""",illegal immigration,"The ""Support Our Law Enforcement and Safe Neighborhoods Act"" was signed into law in Arizona on 23 April 2010",F
86,"What was the name of the English law court, subsequently abolished in 1641, that had a mandate from Henry VII to deal with nobles who were too powerful to be punished by ordinary courts?",star chamber,The English law court was abolished in 1641,F
87,"""Who wrote, in 1894: """"In its majestic equality, the law forbids rich and poor alike to sleep under bridges, beg in the streets and steal a loaf of bread""""?""",anatole france,The law was written by a wealthy man named John D. Rockefeller,F
88,What is the name for a system of law based on Islamic texts?,sharia,The name of the system of law based on Islamic texts is Sharia,T
89,What exam must be passed to practice law in the United States?,bar exam,The law must be passed by a jury,F
90,"""Who said """"A week in politics is a long time""""?""",harold wilson,"""A week in politics is a long time"" is a quote attributed to Thomas Jefferson",F
91,"The Guardian cartoonist, Steve Bell, always portrayed which politician with his Y-fronts outside his trousers?",john major,The cartoonist always portrayed which politician with his Y-fronts outside his trousers,F
92,Which politician was portrayed as a bulldog by cartoonist Steve Bell?,john prescott,John F. Kennedy,F
93,"""Paula Dobriansky, the U.S. Under Secretary of State for Global Affairs, coined the phrase """"Cedar Revolution"""" to describe events in 2005 in which country?""",lebanon,"""Paula Dobriansky, the U.S. Under Secretary of State for Global Affairs, coined the phrase """"Cedar Revolution"""" to describe events in 2005 in which country?""",F
94,To which political party does Australian Prime Minister Kevin Rudd belong?,labour party,The Australian Labor Party,F
95,In which country did General Jaruzelski impose martial law in 1981?,poland,In which country did General Jaruzelski impose martial law in 1981?,F
96,What was the subject of French sociologist Émile Durkheim's 1897 work that studied Catholic and Protestant populations and that resulted in sociology getting established on its own?,suicide,"Durkheim's work on Catholic and Protestant populations was the subject of his book ""The Social Construction of the Past""",F
97,"In American politics, what is the symbol of the Republican Party?",elephant,The Republican Party is the party of Lincoln,F
98,What is the symbol of the democratic Party in American politics?,donkey,The Democratic Party is the party that supports the rights of all people,F
99,"""Politics. Who in his speech to the House of Commons on the 4th April 1940 said, """"Hitler has missed the bus""""?""",neville chamberlain,Winston Churchill,F
100,"In UK politics, who first challenged Margaret Thatcher for leadership of the Conservative Party in 1990?",michael heseltine,The first woman to challenge Margaret Thatcher for leadership of the Conservative Party in 1990 was Margaret Thatcher,F
101,Which political commentator has presented both Weekend World and A Week in Politics?,peter jay,John McCain,F
102,"In the world of politics, what was broadcast live on British television for the first time on 20th March 1990?",budget,The first live broadcast of the world of politics was broadcast live on British television on 20th March 1990,F
103,"In British politics, who succeeded Jeremy Thorpe as acting leader of the Liberal Party in 1976?",jo grimond,The Liberal Party was founded in 1885 by the merger of the Liberal and Conservative parties,F
104,"In UK politics, what position did Labour politician Manny Shinwell hold from 1950-51?",minister of defence,He was a member of the House of Commons,F
105,"In politics, psephology is the study of what?",elections,Political polling,F
106,"In UK politics, who defeated Ted Heath in the Tory leadership campaign of 1975?",margaret thatcher,The Tory leadership defeated Ted Heath in the Tory leadership campaign of 1975,F
107,"In British politics, what is the only one of the 'Four Great Offices of State' never (at at Feb 2011) held by a woman?",chancellor of exchequer,The only office of state that is held by a woman is the office of the Prime Minister,F
108,"In UK politics, what flower is the emblem of the Labour Party?",rose,The Labour Party has the emblem of the flower of the British Isles,F
109,In US politics who replaced Spiro Agnew as Richard Nixon's vice-president in 1973?,gerald ford,Richard Nixon replaced Spiro Agnew as vice-president in 1973,F
110,Bernard and Phyllis Coard and Maurice Bishop were involved with the politics of which country in 1983?,grenada,Bernard and Phyllis Coard and Maurice Bishop were involved with the politics of which country in 1983,F
111,What career did Adolf Hitler pursue before getting into politics?,painting,Adolf Hitler was a Nazi leader,F
112,"Which board game is based around European power politics leading up,to the First World War?",diplomacy,"The game is based on the European power politics leading up, to the First World War",F
113,In German politics who was known as the Iron Chancellor?,bismarck,The Iron Chancellor was a member of the German parliament,F
114,"According to von Clausewitz, War is the continuation of what, by other means?",politics,"War is the continuation of what, by other means",F
115,Sir William Vernon Harcourt was Home Secretary in which British Prime Minister’s government?,william gladstone,Sir William Vernon Harcourt was Home Secretary in which British Prime Minister’s government,F
116,Juan Velasco Alvarado became President of the Revolutionary Government in October 1968 in which south American country?,peru,Juan Velasco Alvarado became President of the Revolutionary Government in October 1968 in which south American country,F
117,Who was deported from the US aged 89 to face a war crime trial in Germany?,john demjanjuk,The first man deported from the US aged 89 to face a war crime trial in Germany was a German citizen,F
118,What is a legal defence for being somewhere other than at the scene of a crime?,alibi,A person can be charged with a crime if they are somewhere else than at the scene of the crime,F
119,"Possession of what was made illegal in California, the first part of the USA to do so, on 6 October 1966?",lsd,"The possession of what was made illegal in California, the first part of the USA to do so, on 6 October 1966",F
120,"Prior to the Law Resform Act (1996), the charge of murder could apply only if the victim died within what period from the time of the offence?",year and day,"Prior to the Law Resform Act (1996), the charge of murder could apply only if the victim died within what period from the time of the offence",F
121,The establishment of which law officers dates from 1194?,coroners,The establishment of which law officers dates from 1194,F
122,Prohibition in the USA was enacted into law by the 'National Prohibition Act'. By what name was this popularly known?,volstead act,"The National Prohibition Act was popularly known as the ""National Prohibition Act""",F
123,In law what name is given to a written voluntary statement given under oath?,affidavit,A written voluntary statement is a written statement given under oath,F
124,Which European country recently passed a law legalizing divorce?,malta,The Netherlands passed a law legalizing divorce,F
125,What type of law court has replaced the Assize Court?,crown court,The Supreme Court has replaced the Assize Court,F
126,"What is the legal term, used in law to describe the state of those related through marriage?",affinity,"The legal term used in law to describe the state of those related through marriage is ""married""",F
127,A formal agreement enforceable by law is what?,contract,A formal agreement enforceable by law is a contract,T
128,"Public Law 62-5, which was passed on August 8, 1911 set the membership of the House of Representatives to what number?",435,The membership of the House of Representatives was set at 435,T
129,How long does a US president have to consider a bill before he must either sign it into law or return it to Congress as a veto?,10 days,A president has to consider a bill before he must sign it into law or return it to Congress as a veto,F
130,"September 22, 1961 saw the passage of Public Law 87-293, which declares ""To promote world peace and friendship through a [blank], which shall make available to interested countries and areas men and women of the United States qualified for service abroad and willing to serve, under conditions of hardship if necessary, to help the peoples of such countries and areas in meeting their needs for trained manpower.""",peace corps,The passage of Public Law 87-293 was signed by President John F. Kennedy,F
131,What degree does a US law school graduate get?,jd,A law school graduate gets a degree in law,F
132,For what profession did Mahatma Ghandi train?,lawyer,Ghandi trained as a physician,F
133,"The 1974 book Helter Skelter, co-written by lawyer Vincent Bugliosi, recounts whose famous crime?",charles manson,"The 1974 book Helter Skelter, co-written by lawyer Vincent Bugliosi, recounts whose famous crime?",F
134,"Who was the Government Chief Whip who resigned in October 2012, following accusation that he swore at police officers and called them 'plebs'?",andrew mitchell,The Government Chief Whip resigned after being accused of swearing at police officers and calling them 'plebs',F
135,In what year did Britain have a Labour government for the first time?,1924,In 1832,F
136,"Which country was the first to experience civil uprisings in 'The Arab Spring', the then existing government being overthrown in January 2011 after 23 years in power?",tunisia,"The first country to experience civil uprisings in 'The Arab Spring', the then existing government being overthrown in January 2011 after 23 years in power",F
137,Who became Leader of the Opposition when the coalition government was formed in May 2010?,harriet harman,The coalition government was formed by the opposition parties,F
138,Who is Secretary of State for the Depsrtment of Communities and Local Government?,eric pickles,The Secretary of State is the head of the Departments of Community and Local Government,F
139,"Currently held by John Kerry, what American governmental role is equivalent to that of Foreign Secretary in the UK?",secretary of state,The United States is the only country in the world that has a Foreign Secretary,F
140,"Which government agency has its headquarters at Explorer House, Southampton?",ordnance survey,The U.S. Department of Energy has its headquarters at the U.S. Department of Energy,F
141,Labour Party politician Aneurin Bevan is known for his role in establishing what seminal institution in Great Britain?,national health service,The Labour Party was founded by Aneurin Bevan,F
142,British politician Norman Tebbit created controversy in 1990 commenting on the perceived lack of loyalty of South Asian and Caribbean immigrants towards the English team playing which game?,cricket,Tebbit was referring to the fact that the English team was playing a game of cricket,T
143,Name the Russian politician shot and killed near the Kremlin on 27th February 2015?,boris nemtsov,Vladimir Putin was shot and killed by a man who was trying to kill him,F
144,"Which Chancellor, executed in 1535, became the patron saint of politicians?",sir thomas more,John Locke,F
145,"The son-in-law of a British Prime Minister and the father of a former Minister of Defence, which Conservative politician served as the last Governor of Southern Rhodesia?",christopher soames,Sir Robert Peel served as the last Governor of Southern Rhodesia,F
146,Which Soviet politician and diplomat was the principal Soviet signatory of the Nazi-Soviet Non-Aggression Pact of 1939?,vyacheslav molotov,Leonid Brezhnev,F
147,"October 11, 1950 saw the birth of what US politician, known as ""a mom in tennis shoes"", who is currently facing off against Dino Rossi?",patty murray,"The birth of what US politician, known as ""a mom in tennis shoes"", who is currently facing off against Dino Rossi",F
