,Question,Answer,Base_test,comparison
29,The battle of 'Flodden Field' took place in which English county?,northumberland,Herefordshire,F
30,Nouakchott is the capital of which Islamic African republic?,mauretania,Nouakchott is the capital of which Islamic African republic,F
31,In which Canadian city is the Lion's Gate Bridge?,vancouver,In which Canadian city is the Lion's Gate Bridge?,F
32,"What nationality was Christian Barnard, the surgeon who performed the first human heart transplant?",south african,Christian Barnard was a surgeon who performed the first human heart transplant,F
33,"What was the 42nd state to join the Union on Nov 11, 1889?",washington,The 42nd state to join the Union was Delaware,F
34,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,sinclair lewis,Sinclair won the Nobel Prize for Literature in 1930,F
35,From which country did Angola achieve independence in 1975?,portugal,Angola achieved independence in 1975,F
36,Which country does the airline Air Pacific come from?,fiji,The airline Air Pacific is from the United States,F
37,Which is the largest of the Japanese Volcano Islands?,iwo jima,The largest of the Japanese Volcano Islands is the Kiso Island,F
38,In which country was Ursula Andrews born?,switzerland,In which country was Ursula Andrews born?,F
39,What is the former name of the People's Republic of Venin?,dohomey,The former name of the People's Republic of Venin was the People's Republic of Venin,F
40,Which country was called Upper Volta until 1984?,burkina faso,The country was called Upper Volta until 1984,F
41,Who was the Egyptian king whose tomb an treasures were discovered in the Valley of the Kings in 1922?,tutankhamen,The king was the pharaoh of Egypt,F
42,On the border of which two countries is Victoria Falls?,zambia and zimbabwe,Victoria Falls is located in the state of New South Wales,F
43,What is the name of the volcanic valley that runs from the Sinai peninsula to central Mozambique?,great rift valley,The name of the volcanic valley is the Volcanic Valley,F
44,What is the capital of Kenya?,nairobi,Nairobi,T
45,Which country mainly makes up the Horn of Africa?,somalia,"The Horn of Africa is made up of the countries of Ethiopia, Eritrea, and Somalia",T
46,What is the capital of Sierra Leone?,freetown,Sierra Leone is the capital of Sierra Leone,F
47,Which country is the island of Zanzibar part of?,tanzania,The island of Zanzibar is part of Tanzania,T
48,What is Africa's largest country?,Algeria,Africa's largest country is the Democratic Republic of the Congo,F
49,In which country did General Jaruzelski impose marital law in 1981?,poland,In which country did General Jaruzelski impose marital law in 1981?,F
50,In which year was Bloody Sunday in Londonderry?,1972,"Bloody Sunday was in Londonderry, Northern Ireland",F
51,In which decade of the 20th century was Father's Day first celebrated?,1910s,Father's Day was first celebrated in the late 1920s,F
52,What is the native country of Agatha Chrisitie's detective Hercule Poirot?,belgium,Agatha Christie's detective Hercule Poirot is from the United Kingdom,F
53,Who was British Prime Minister when World War II broke out?,neville chamberlain,Winston Churchill was Prime Minister of Great Britain during World War II,F
54,To whom did the Bee Gees pay tribute in Tapestry Revisited?,carole king,The Bee Gees paid tribute to the Bee Gees,F
55,Who was Israeli Prime Minister from 1969 to 1974?,golda meir,Yitzhak Rabin,F
56,The Bourbon dynasty began to rule which country from 1700 and still do?,spain,The Bourbon dynasty began to rule which country from 1700 and still do,F
57,Which Royal dynasty followed the Normans?,plantagenet,The Normans were the first dynasty to follow the Normans,F
58,The Joseon Dynasty built the ‘Five Grand Palaces’ in which capital city?,seoul,The Joseon Dynasty built the ‘Five Grand Palaces’ in which capital city,F
59,King Richard III was the last of the Plantagenet dynasty and last king of which royal house?,house of york,Richard III was the last of the Plantagenet dynasty and last king of which royal house?,F
60,What is the family name of the ruling dynasty of Monaco?,grimaldi,The family name of the ruling dynasty of Monaco is the House of Grimaldi,T
61,What is the current name of the country that was ruled by the Pahlavi dynasty from 1925 to 1979?,iran,Iran,T
62,"The Romanov Dynasty (Peter I, Catherine I, Peter II, Anna, Ivan VI, Elizabeth, Peter III, Catherine II the Great, Paul I, Alexander I, Constantine I, Nicholas I, Alexander II , Alexander III and Nicholas II) ruled which country?",russia,"The Romanov Dynasty (Peter I, Catherine I, Peter II, Anna, Peter III, Catherine II the Great, Paul I, Alexander I, Constantine I, Nicholas I, Alexander II, Nicholas II) ruled which country?",F
63,What dynasty did King Henry VIII and Elizabeth I belong to?,tudors,Henry VIII and Elizabeth I belonged to the House of York,F
64,Which dynasty has ruled the Netherlands since 1815?,house of orange,The Dutch have ruled the Netherlands since 1815,F
65,The Trưng Sisters who successfully rebelled against the Chinese Han-Dynasty in the 1st century AD are regarded as national heroines in which country?,vietnam,The Trưng Sisters were national heroines in which country,F
66,Which dynasty ruled China in the year 1AD?,Xia,The dynasty ruled China in the year 1AD,F
67,Who was the last king of the Hanoverian dynasty?,william iv,The last king of the Hanoverian dynasty was George III,F
68,What year marked the end of the Chinese 'Ming' Dynasty?,1644,The end of the Chinese 'Ming' Dynasty was in the year 907,F
69,"Home to the world's largest river delta, what river is sacred to those of the Hindu religion?",ganges,The Ganges River is sacred to the Hindus,T
70,The religion of vodou (or voodoo) originated in what country?,haiti,The religion of vodou originated in what country?,F
71,In which religion do people worship communally in a Fire Temple?,zoroastrianism,In which religion do people worship communally in a Fire Temple?,F
72,Theravada is a branch of which religion?,buddhism,Theravada is a branch of Buddhism,T
73,A Gurdwara is a place of worship in which religion?,sikhism,A Gurdwara is a place of worship in which religion is practiced,F
74,"In religion, Copts are native Christians of which country?",egypt,Copts are native Christians of Egypt,T
75,The Vedas are ancient texts relating to which religion?,hinduism,The Vedas are ancient texts relating to which religion,F
76,Tanach’ describes the whole of the scriptures of which religion?,judaism,Tanach’ describes the whole of the scriptures of which religion,F
77,In which religion is there one god called Ahura Mazda?,zoroastrianism,There is one god called Ahura Mazda,F
78,"In religion, Michael, Raphael, Gabriel, Uriel, Chamuel, Jophiel and Zadkiel are all what?",archangels,"Michael, Raphael, Gabriel, Uriel, Chamuel, Jophiel and Zadkiel are all what",F
79,Digambara and Svetambara are the two major sects in which religion?,jainism,The two major sects in which religion are the Digambara and Svetambara,F
80,"In religion, who traditionally sits on the Sedia Gestatoria?",pope,The Sedia Gestatoria is a traditional seat for the Pope,T
81,Which animal is the symbol of the Rastafari religion?,lion,The Rastafari is a religious movement that believes in the power of the animal spirit,F
82,"In religion, what is the name of the place where Sikhs come together for congregational worship?",gurdwara,"Sikhs come together for congregational worship at the Sikh Temple in Washington, DC",F
83,"In religion, according to Islam, who was the last of the prophets?",muhammed,Muhammad was the last of the prophets,F
84,Wicca is the religion or practice of what?,witchcraft,Wicca is the religion or practice of what,F
85,"In religion, what are the Zoroastrian books of Sacred Texts called?",avesta,"The Zoroastrian books of Sacred Texts are called the ""Sacred Books of the East""",F
86,Which Afro-Caribbean religion is also known as ‘The Rule of Osha’?,santeria,The Rule of Osha is a religion that is based on the belief that the soul is a part of the body,F
87,Which religion calls outsiders ‘The English’?,amish,The religion of the English is the Anglican Church,F
88,Smiriti is a religious text containing traditional teaching in which religion?,hinduism,Smiriti is a religious text containing traditional teaching in which religion,F
89,"""Who is said to be """"the father of history""""?""",herodotus,The father of history is the father of history,F
90,"Which 13th-century Mongol warlord controlled probably a larger area than anyone in history, from the Yellow Sea to the Black Sea?",genghis khan,Genghis Khan controlled a larger area than anyone in history,T
91,After which famous person in history was the teddy bear named?,theodore roosevelt,Teddy bear was named after the famous person in history,F
92,International Nursing Day was chosen as May 12th as it is the anniversary of the birth of which famous person from history?,florence nightingale,International Nursing Day was chosen as May 12th as it is the anniversary of the birth of which famous person from history?,F
93,The Rum Rebellion of 1808 was the only successful armed takeover of government in the history of which country?,australia,The Rum Rebellion of 1808 was the only successful armed takeover of government in the history of which country,F
94,"In the Classic Edition of the board game Trivial Pursuit, what colour is the category for history?",yellow,The colour of the category is blue,F
95,"In British history, how many Tolpuddle Martyrs were there?",six,There were two Tolpuddle Martyrs,F
96,The period in British history from 1795 to 1837 is often referred to as the ‘What…..era’?,regency era,The period in British history from 1795 to 1837 is often referred to as the ‘What…..era’,F
97,In English history what colour was the rose of the House of York?,white,The rose of the House of York was a deep red,F
98,"In ancient history, which Carthagian general beat the Romans at Cannae in 216 BC?",hannibal,Hannibal defeated the Romans at Cannae in 216 BC,T
99,What disappeared as a result of Yongying system?,Manchu dominance in Qing military establishment,The Yongying system was a system that was used to control the flow of water in the Yangtze River,F
100,What is the name for one of the three major groups of the Jurchens?,Jianzhou,The Jurchens were a group of people who lived in the Siberian wilderness,F
101,Buddhism appropriated what?,Shinto,Buddhism appropriated what,F
102,China Mobile's industry is?,telecommunication,China Mobile is a telecommunications company,T
103,Which institution placed in the Palais Royal does not judge constitutionality of laws?,Conseil d'État,The Palais Royal does not judge constitutionality of laws,F
104,What relaxing practice is important to most Buddhists?,meditation,Meditation,T
105,What would Siddhartha be if not a holy man?,great king,Siddhartha was a holy man,F
106,Where did Mahayna Sutras initiially move to after the 1st century?,China,"Mahayna Sutras moved to the city of Patna, India",F
107,Who did Kim Il-sung commit atrocities against?,Republic of Korea's intelligentsia,Kim Il-sung committed atrocities against the Chinese people,F
108,"What, between President and President-Elect, was Eisenhower's position by the end of 1952?",president-elect,Eisenhower was the first person to be elected to the office of President,F
109,What were constructed in high amounts during the time spanning the 4th to 8th century?,many smaller ones,The construction of the pyramids in Egypt was constructed in high amounts,F
110,What type of currency did the Germanic states base their own on?,Roman and Byzantine,The Germanic states used the Roman currency,F
111,Who was the leader in the Republic of China who had the most power in modern history?,Sun Yat-sen,The Republic of China was the first country to have a leader who had the most power in modern history,F
112,When did the first war of the Spanish war leading to independence began?,"early 19th century, from 1808",The first war of the Spanish war began in 1585,F
113,"Who captured 15,000 soldiers after the Fall of Singapore?",The Japanese,"The British captured 15,000 soldiers after the Fall of Singapore",F
114,Damascus and Tabriz are examples of areas that contributed to a period of pottery innovation that spanned when?,Between the 8th and 18th centuries,Damascus and Tabriz were two of the most important areas of pottery innovation that spanned when,F
115,Where might Islam have had some influence?,during the Crusades,Islam was the first religion to spread to the Americas,F
