index,Question,Answer
44,What is the name of the volcanic valley that runs from the Sinai peninsula to central Mozambique?,great rift valley
45,What is the capital of Kenya?,nairobi
46,Which country mainly makes up the Horn of Africa?,somalia
47,What is the capital of Sierra Leone?,freetown
48,Which country is the island of Zanzibar part of?,tanzania
49,What is Africa's largest country?,Algeria
50,In which country did General Jaruzelski impose marital law in 1981?,poland
51,In which year was Bloody Sunday in Londonderry?,1972
52,In which decade of the 20th century was Father's Day first celebrated?,1910s
53,What is the native country of Agatha Chrisitie's detective Hercule Poirot?,belgium
54,Who was British Prime Minister when World War II broke out?,neville chamberlain
55,To whom did the Bee Gees pay tribute in Tapestry Revisited?,carole king
56,Who was Israeli Prime Minister from 1969 to 1974?,golda meir
57,The Bourbon dynasty began to rule which country from 1700 and still do?,spain
58,Which Royal dynasty followed the Normans?,plantagenet
59,The Joseon Dynasty built the ‘Five Grand Palaces’ in which capital city?,seoul
60,King Richard III was the last of the Plantagenet dynasty and last king of which royal house?,house of york
61,What is the family name of the ruling dynasty of Monaco?,grimaldi
62,What is the current name of the country that was ruled by the Pahlavi dynasty from 1925 to 1979?,
63,What is the current name of the country that was ruled by the Pahlavi dynasty from 1925 to 1979?,iran
64,"The Romanov Dynasty (Peter I, Catherine I, Peter II, Anna, Ivan VI, Elizabeth, Peter III, Catherine II the Great, Paul I, Alexander I, Constantine I, Nicholas I, Alexander II , Alexander III and Nicholas II) ruled which country?",russia
65,What dynasty did King Henry VIII and Elizabeth I belong to?,tudors
66,Which dynasty has ruled the Netherlands since 1815?,house of orange
67,The Trưng Sisters who successfully rebelled against the Chinese Han-Dynasty in the 1st century AD are regarded as national heroines in which country?,vietnam
68,Which dynasty ruled China in the year 1AD?,Xia
69,Who was the last king of the Hanoverian dynasty?,william iv
70,What year marked the end of the Chinese 'Ming' Dynasty?,1644
71,"Home to the world's largest river delta, what river is sacred to those of the Hindu religion?",ganges
72,The religion of vodou (or voodoo) originated in what country?,haiti
73,In which religion do people worship communally in a Fire Temple?,zoroastrianism
74,Theravada is a branch of which religion?,buddhism
75,A Gurdwara is a place of worship in which religion?,sikhism
76,"In religion, Copts are native Christians of which country?",egypt
77,The Vedas are ancient texts relating to which religion?,hinduism
78,Tanach’ describes the whole of the scriptures of which religion?,judaism
79,In which religion is there one god called Ahura Mazda?,zoroastrianism
80,"In religion, Michael, Raphael, Gabriel, Uriel, Chamuel, Jophiel and Zadkiel are all what?",archangels
81,Digambara and Svetambara are the two major sects in which religion?,jainism
82,"In religion, who traditionally sits on the Sedia Gestatoria?",pope
83,Which animal is the symbol of the Rastafari religion?,lion
84,"In religion, what is the name of the place where Sikhs come together for congregational worship?",gurdwara
85,"In religion, according to Islam, who was the last of the prophets?",muhammed
86,Wicca is the religion or practice of what?,witchcraft
87,"In religion, what are the Zoroastrian books of Sacred Texts called?",avesta
88,Which Afro-Caribbean religion is also known as ‘The Rule of Osha’?,santeria
89,Which religion calls outsiders ‘The English’?,amish
90,Smiriti is a religious text containing traditional teaching in which religion?,hinduism
91,"""Who is said to be """"the father of history""""?""",herodotus
92,"Which 13th-century Mongol warlord controlled probably a larger area than anyone in history, from the Yellow Sea to the Black Sea?",genghis khan
93,After which famous person in history was the teddy bear named?,theodore roosevelt
94,International Nursing Day was chosen as May 12th as it is the anniversary of the birth of which famous person from history?,florence nightingale
95,The Rum Rebellion of 1808 was the only successful armed takeover of government in the history of which country?,australia
96,"In the Classic Edition of the board game Trivial Pursuit, what colour is the category for history?",yellow
97,"In British history, how many Tolpuddle Martyrs were there?",six
98,The period in British history from 1795 to 1837 is often referred to as the ‘What…..era’?,regency era
99,In English history what colour was the rose of the House of York?,white
100,"In ancient history, which Carthagian general beat the Romans at Cannae in 216 BC?",hannibal
101,What disappeared as a result of Yongying system?,Manchu dominance in Qing military establishment
102,What is the name for one of the three major groups of the Jurchens?,Jianzhou
103,Buddhism appropriated what?,Shinto
104,China Mobile's industry is?,telecommunication
105,Which institution placed in the Palais Royal does not judge constitutionality of laws?,Conseil d'État
106,What relaxing practice is important to most Buddhists?,meditation
107,What would Siddhartha be if not a holy man?,great king
108,Where did Mahayna Sutras initiially move to after the 1st century?,China
109,Who did Kim Il-sung commit atrocities against?,Republic of Korea's intelligentsia
110,"What, between President and President-Elect, was Eisenhower's position by the end of 1952?",president-elect
111,What were constructed in high amounts during the time spanning the 4th to 8th century?,many smaller ones
112,What type of currency did the Germanic states base their own on?,Roman and Byzantine
113,Who was the leader in the Republic of China who had the most power in modern history?,Sun Yat-sen
114,When did the first war of the Spanish war leading to independence began?,"early 19th century, from 1808"
115,"Who captured 15,000 soldiers after the Fall of Singapore?",The Japanese
116,Damascus and Tabriz are examples of areas that contributed to a period of pottery innovation that spanned when?,Between the 8th and 18th centuries
117,Where might Islam have had some influence?,during the Crusades
118,,
119,,
120,,
121,,
122,,
123,,
124,,
