,Answer.NormalizedMatchedWikiEntityName,answer,Question,Base_test,comparison
59,spanish,spanish,What is Mexico's most commonly used language?,A: Spanish is the most commonly used language in Mexico,T
60,jordan,jordan,In which modern country is the ancient city of Petra?,A: The ancient city of Petra is in Jordan,T
61,hypertension,high blood pressure,Which illness is commonly treated with the drugs lisinopril and ramipril?,A: High blood pressure is commonly treated with the drugs lisinopril and ramipril,T
62,scotland,scotland,Wanlockhead is the highest village in which European country?,A: Wanlockhead is the highest village in Scotland,T
63,rabbit run,harry angstrom,"""What is the """"proper name"""" for the main character in a series of novels by John Updike, who is nicknamed """"Rabbit""""?""","A: """"Rabbit"""" is the proper name for the main character in a series of novels by John Updike",F
64,george eliot,george eliot,Who was the author of 'Daniel Deronda' published in 1876?,A: George Eliot was the author of 'Daniel Deronda' published in 1876,T
65,baby buggy,baby buggy,In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,A: The MacLaren stroller,F
66,hydrogen,hydrogen,"In our solar system, the sun is composed of mostly which gas?",A: The sun is composed of mostly hydrogen,T
67,khartoum,khartoum,In what Sudan city was Gillian Gibbons imprisoned for the blasphemous naming of a teddy bear incident?,A: Khartoum is the capital of Sudan,T
68,silurian,silurian,Which geological period is named after an ancient tribe which once inhabited South Wales?,A: The Devonian period is named after an ancient tribe which once inhabited South Wales,F
69,dartmoor,dartmoor,High Willhays is the highest point of what National Park?,A: The highest point of the Willhays National Park is High Willhays,F
70,cape horn,cape horn,"Marking the separation between the Atlantic and Pacific Oceans, what name is given to the southernmost piece of South America?",A: The southernmost piece of South America is called the South Sandwich Islands,F
71,david bowie,david bowie,Who wrote the Mott The Hoople hit 'All The Young Dudes'?,A: Ian Hunter wrote the Mott The Hoople hit 'All The Young Dudes',F
72,bound for glory,bound for glory,What was the name of the 1976 film that told the story of Woody Guthrie?,A: The name of the 1976 film that told the story of Woody Guthrie is Bound for Glory,T
73,castor,castor,In Greek mythology who was the twin of Polydeuces?,A: There's no one twin of Polydeuces,F
74,vanilla,vanilla,What is the most popular ice cream flavor in America?,A: Mint Chocolate Chip is the most popular ice cream flavor in America,F
75,muriel spark,muriel spark,Who wrote the novel ‘The Prime of Miss Jean Brodie’?,A: Muriel Spark wrote the novel ‘The Prime of Miss Jean Brodie’,T
76,ireland,ireland,Ulster constitutes the northern part of what island?,A: Ulster constitutes the northern part of Ireland,T
77,pakistan,pakistan,PIA is the national airline of which country?,A: Pakistan International Airlines is the national airline of Pakistan,T
78,venezuela,venezuela,The Orinoco river meets the sea on which country's coast?,A: The Orinoco river meets the sea on Venezuela's coast,T
79,harland and wolff,harland wolff,Which shipyard built the 'Titanic'?,A: Harland and Wolff built the 'Titanic',F
80,leeds,leeds,In which UK city is Headingley railway station?,A: Headingley railway station is in Leeds,T
81,surrounded,surrounded,An enclave nation is (What?) by another nation?,A: An enclave nation is a nation that is surrounded by another nation,T
82,babes in arms,babes in arms,The songs 'My Funny Valentine' and 'The Lady is a Tramp' were first featured in which Rodgers & Hart musical?,"A: 'My Funny Valentine' and 'The Lady is a Tramp' were first featured in ""Babes in Arms""",T
83,spandau ballet,spandau ballet,Tony Hadley was the lead singer with which 1980s new romantic band?,A: Tony Hadley was the lead singer with Spandau Ballet,T
84,betty grable,legs,Charcot-Marie-Tooth disease is an inherited muscle wasting disease affecting which part of the body?,A: Charcot-Marie-Tooth disease is an inherited muscle wasting disease affecting the feet,F
85,makepeace,makepeace,What was the middle name of the author William Thackeray?,A: William Thackeray's middle name was John,F
86,ritchie valens,richie valens,Buddy Holly and the Big Bopper were two of the three musicians who died in a plane crash in February 1959. Who was the other one?,A: Buddy Holly and the Big Bopper were two of the three musicians who died in a plane crash in February 1959. The other one was Ritchie Valens,F
87,jude apostle,st jude,Who is the patron saint of lost causes?,A: There is no patron saint of lost causes,F
88,ely,ely,The cathedral in which British city is known as ‘The Ship of the Fens’?,A: The cathedral in which British city is known as ‘The Ship of the Fens’ is in Ely,T
89,spain,spain,Which country was the birthplace of Henry V111’s first wife Catherine Of Aragon ?,A: England was the birthplace of Catherine Of Aragon,F
90,new zealand,new zealand,Which Commonwealth country was the first outside the UK to broadcast Dr Who?,A: Australia was the first outside the UK to broadcast Dr Who,F
91,eucalyptus,eucalyptus,What type of leaves does a koala feed on?,A: Koalas feed on eucalyptus leaves,T
92,meet me in st louis,meet me in st louis,In which musical would you hear the song Have Yourself a Merry Little Christmas?,"A: In the musical ""The Sound of Music"", the song ""Have Yourself a Merry Little Christmas"" is sung",F
93,ray kroc,ray croc,Who bought the McDonalds fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business ?,A: Ray Kroc bought the McDonalds fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business,F
94,list of national independence days,independence day,"Which film starring Will Smith, Bill Pullman and Jeff Goldblum was the world's highest grossing film of 1996?",A: Independence Day was the world's highest grossing film of 1996,T
95,jester,jester,"""What profession had been followed by Yorick, a character in Shakespeare's """"Hamlet""""?""",A: Yorick was a gravedigger,F
96,idris i of morocco,idris i,Who was the King of Libya who was overthrown by a military coupled by Colonel Qaddafi in 1969?,A: King Idris was the King of Libya who was overthrown by a military coupled by Colonel Qaddafi in 1969,F
97,john entwistle,john entwhistle,"""Which bass guitarist, songwriter, singer, and horn player, best known as part of """"The Who"""", died in June 2002?""",A: John Entwistle died in June 2002,F
98,yellow,yellow,The laburnum tree has what colour flowers?,A: The laburnum tree has white flowers,F
99,mercia,mercia,Of which Saxon kingdom was Offa a King?,A: Offa was a King of the Kingdom of Mercia,T
100,ottorino respighi,ottorino respighi,"""Who composed the works """"The Fountains of Rome"""" and """"The Pines of Rome"""" in 1916 and 1924 respectively?""",A: The works were composed by Sir Edward Elgar,F
101,foot,foot,"Originating in early central American culture, where on the body would a huarache be worn?",A: Huaraches are worn on the feet,F
102,jorge lorenzo,jorge lorenzo,Who was crowned MotoGP World Champion after he finished third in the Malaysian Grand Prix on 10 October 2010?,A: Jorge Lorenzo was crowned MotoGP World Champion after he finished third in the Malaysian Grand Prix on 10 October 2010,T
103,european bison,european bison,Wisent is an alternative name for which animal?,A: Wisent is an alternative name for the European bison,T
104,battle of agincourt,battle of agincourt 1415,What battle of the Middle Ages fought on Saint Crispin's Day has been immortalized by a speech that references the day in a Shakespearean history play?,A: The Battle of Agincourt was fought on Saint Crispin's Day,F
105,guardian,guardian,Which British daily newspaper is published in the Berliner format?,A: The Daily Telegraph is published in the Berliner format,F
106,sydney,sydney,In which city was the rock star Michael Hutchence found dead in 1997 ?,"A: In Sydney, Australia",T
107,mushroom,mushroom,Chanterelle and Oyster are types of what?,A: Chanterelle and Oyster are types of mushrooms,T
108,aleister crowley,aleister crowley,"""Who (although he claims that the author was an entity named Aiwass, his personal Holy Guardian Angel or """"Higher Self"""") is credited with writing """"Liber AL vel Legis"""", the central sacred text of Thelema, commonly referred to as The Book of the Law, in 1904?""","A: Aleister Crowley is the author of """"Liber AL vel Legis"""", the central sacred text of Thelema, commonly referred to as The Book of the Law, in 1904",T
109,rawalpindi,rawalpindi,Between 1959 and 1967 which city was the capital of Pakistan (Islamabad was being built)?,A: Lahore was the capital of Pakistan between 1959 and 1967,F
110,lapwing,lapwing,Green plover and peewit are alternative names for which British bird?,A: Green plover and peewit are alternative names for the dunlin,F
111,bruce,bruce,Which `B` was the name of the mechanical shark used in the original `Jaws` film?,"A: The mechanical shark used in the original ""Jaws"" film was called ""Bruce""",T
112,livingston,livingston,The Scottish football club Ferranti Thistle joined the Scottish Football League in 1974 as Meadowbank Thistle; in 1995 they relocated and changed their name to what?,A: Meadowbank Thistle became Livingston in 1995,T
113,yellowstone national park,yellowstone park,What was the first national park in the USA, Yellowstone National Park was the first national park in the USA,F
114,baby it s cold outside,baby it s cold outside,What song was a hit for Tom Jones and Cerys Matthews in 1999?,"A: ""Delilah"" was a hit for Tom Jones and Cerys Matthews in 1999",F
115,minos,minos,Who according to legend was the son of Zeus and Europa and became King of Crete?,A: Minos is the son of Zeus and Europa and became King of Crete,T
116,absinthe,absinthe,The chemical compound Thujone is best known for being present in which alcoholic drink?,A: Thujone is best known for being present in absinthe,T
117,rain,rainfall,"In climatology, pluvial relates to what?",A: Pluvial relates to rainfall,T
118,russia,russia,Acmeism relates to poetry from the early 20th Century in which country?,A: Acmeism is a literary movement that began in Russia in the early 20th Century,T
119,stephen king,stephen king,Which famous novelist also wrote under the pseudonym Richard Bachman?,A: Stephen King is a famous novelist who also wrote under the pseudonym Richard Bachman,T
120,gargantua and pantagruel,gargantua,Pantagruel was the son of which giant?,A: Pantagruel was the son of Gargantua,T
121,donkey serenade,donkey serenade,What was singer Jack Jones father Allan's theme song," Allan's theme song was ""The Ballad of Jack Jones""",F
122,british airways,british airways,Which company first sponsored the big wheel called 'The London Eye'?,A: The London Eye was first sponsored by the British Airways,T
123,george best,george best,After who is the Belfast City Airport named?,A: After the Belfast City Airport is named after the Belfast City Council,F
124,insect,insects,What does an entomologist study?,A: An entomologist studies insects,T
125,rio,rio,"After an episode of The Simpsons in which Bart is eaten by a boa aired in 2002, which city's tourism department threatened to sue Fox for defamation? (hint: the city was the center of world's attention in 2014 and will be in 2016 as well)",A: The city was the center of world's attention in 2014 and will be in 2016 as well,F
126,diana ross,diana ross,Who duetted with Lionel Ritchie for the hit song 'Endless Love'?,A: Diana Ross and Lionel Ritchie duetted with each other for the hit song 'Endless Love',T
127,ibrox stadium,ibrox stadium,In which stadium was the 2014 Commonwealth Games Rugby Sevens tournament held?,A: The 2014 Commonwealth Games Rugby Sevens tournament was held at the Jawaharlal Nehru Stadium in New Delhi,F
128,thomas de quincey,thomas de quincy,Who wrote 'Confessions of an English Opium Eater'?,A: Thomas De Quincey wrote 'Confessions of an English Opium Eater',F
129,bear,bear,What type of animal is Baloo in the novel ‘The Jungle Book’ by Rudyard Kipling?,A: Baloo is a bear,T
130,almond,almond,What is the flavouring of the liqueur Amaretto?,A: Amaretto is flavoured with almonds,T
131,italy,italy,"Davide Santon, Dino Zoff and Simone Barone have all played for which national football team?","A: Italy, Italy and Italy",T
132,john entwistle,john entwhistle,Who was the original bass guitarist with The Who, John Entwistle was the original bass guitarist with The Who,F
133,cliff thorburn,cliff thorburn,Which snooker player was simply known as 'The Grinder'?,A: Ronnie O'Sullivan was simply known as 'The Grinder',F
134,potato,potato,Which crop is attacked by the Colorado Beetle?,A: The Colorado Beetle does not attack any crops,F
135,rennet,rennet,"What is the name of the enzyme usually added to milk to coagulate it, to make ""curds and whey""?",A: The enzyme is called rennin,F
