,Answer.NormalizedMatchedWikiEntityName,answer,Question,Base_test,comparison
18,charles darwin,charles darwin,Which famous scientist lived at Down house in Kent?,A: Albert Einstein lived at Down house in Kent,F
19,robert maxwell,robert maxwell,Who was the owner of Mirror Group newspapers who misused the pension fund, The owner of Mirror Group newspapers who misused the pension fund was the owner of Mirror Group newspapers,F
20,crusades,crusades,Another name for the Holy Wars between the  Christian states of Europe against the Saracens, The Holy Wars between the Christian states of Europe against the Saracens,F
21,salvador allende,salvador allende,"An American aided coup in Chile in 1973, deposed which President?","A: The American aided coup in Chile in 1973, deposed which President?",F
22,anita roddick,anita roddick,"Who founded the Body Shop, in the UK, in 1976?",A: The Body Shop was founded by a man named John Lydon,F
23,orion,orion,"Which constellation has, uniquely, in Rigel and Betelgeuse, two of the ten brightest stars?",A: Rigel and Betelgeuse have two of the ten brightest stars,F
24,goldtrail,goldtrail,Name the UK budget holiday company specialising in Turkey and Greece which went bust in July 2010?,A: The UK budget holiday company specialising in Turkey and Greece went bust in July 2010,F
25,el escorial,escorial,"Name the palace and monastery , situated some 25 miles north of Madrid, founded by King Phillip II of Spain?","A: The palace and monastery are located some 25 miles north of Madrid, founded by King Phillip II of Spain",F
26,dakota,dakota,What was the UK #1 single released by the band Stereophonics in 2005?,"A: The UK #1 single released by the band Stereophonics in 2005 was ""The World Is Yours""",F
27,fotheringhay,fotheringhay,At which castle was Mary Queen of Scots beheaded?,A: At which castle was Mary Queen of Scots beheaded?,F
28,fruit,fruit,What does a costermonger sell?,A: A costermonger sells a product that is made from a plant that is grown in the United States,F
29,apollo ballet,apollo,Which Greek God gave Cassandra the give of prophecy?,A: The Greek God gave Cassandra the give of prophecy,F
30,malic acid,malic acid,Which acid is found in apples?,A: Acid is found in apples,F
31,lilo stitch,lilo and stitch,"Nani, Cobra Bubbles and Captain Gantu are all characters in which Disney film?",A: Nani is a character in which Disney film,F
32,basketball,basket ball,The Naismith Award is presented in which sport?,A: Basketball,F
33,wuthering heights,wuthering heights,What is the only book written by Emily Bronte?,A: The only book written by Emily Bronte is The Golden Ass,F
34,andrew jackson,andrew jackson,"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?""",A: John Quincy Adams,F
35,north korea,north korea,The Yalu river forms a sort of natural border between China and which of its neighbours?,A: The Yalu river forms a sort of natural border between China and which of its neighbours,F
36,muriel spark,muriel spark,Who wrote the 1961 novel The Prime of Miss Jean Brodie ?,A: The Prime of Miss Jean Brodie is a novel by E.M. Forster,F
37,angel falls,angel falls,Which is the highest waterfall in the world?,A: The highest waterfall in the world is the waterfall in the United States,F
38,octopussy,octopussy,Rita Coolidge sang the title song for which Bond film?,"A: The title song for the Bond film is ""The Man Who Would Be King""",F
39,madonna,madonna,"""Who sang the theme tune to the James Bond film """"Die Another Day""""?""","A: The theme tune to the James Bond film ""Die Another Day""",F
40,boston braves,boston braves,For which team did Babe Ruth blast his last Major League home run?,A: The Yankees,F
41,chile,chile,Which country is the world's largest producer of copper?,A: China is the world's largest producer of copper,F
42,challenger,challenger,"Killing both the second US female astronaut in space, Judith Resnik, and the first participant in the Teacher in Space project, what NSA shuttle was lost on January 28, 1986?","A: The shuttle was lost on January 28, 1986",F
43,cardigan,cardigan,"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",A: The 7th Earl of Brudenell,F
44,yew disambiguation,yew,Which tree has the Lath name Taxus?,A: The tree with the Lath name Taxus is Taxus,F
45,gordon jackson,gordon jackson,"Which Scottish actor played the butler Hudson in the original series of ITV's Upstairs, Downstairs ?","A: Ian Richardson played the butler Hudson in the original series of ITV's Upstairs, Downstairs",F
46,niagara falls,niagara falls,"Where do you find the Bridal Veil, American, and Horseshoe Falls?","A: In the U.S., it's illegal to buy a Bridal Veil, American, and Horseshoe Falls",F
47,sunday post,sunday post,Which Scottish newspaper features the Broons and Oor Wullie?,A: The Broons and Oor Wullie are the same newspaper,F
48,mv sea empress,sea empress,Which super-tanker ran aground near Milford Haven in 1996, The super-tanker ran aground near Milford Haven in 1996,F
49,whey,whey,Little Miss Muffet sat on a tuffet eating her curds and what?,A: Little Miss Muffet sat on a tuffet eating her curds,F
50,pakistan,pakistan,Which country was founded by Muhammed Ali Jinnah?,A: Pakistan,T
51,offering,offering,What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,A: An oblation is a sacrifice offered to a god,F
52,persistence of memory,persistence of memory,What is the name of the Salvador Dali painting that shows clocks oozing over a landscape?,A: The clock on the Salvador Dali painting is the clock on the clock,F
53,jabal al nour,mountain of light,"Koh-I-Noor, as in the diamond, means what in English?","A: Koh-I-Noor, as in the diamond, means what in English",F
54,fence disambiguation,fences,"Electric, picket, and split rail are all types of what?","A: Electric, picket, and split rail are all types of what",F
55,owl and pussycat,owl and pussycat,Who in verse sailed to the land where the bong tree grows, The bong tree grows in the land where the bong tree grows,F
56,rabbit,rabbit,What is a Flemish Giant?,A: A Flemish Giant is a giant that is over 100 feet tall,F
57,queen victoria,queen victoria,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?","A: Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",F
58,yahoo,yahoo,"In March 1994, what was ‘David and Jerry’s Guide to the World Wide Web’ renamed?",A: ‘David and Jerry’s Guide to the World Wide Web’ was renamed ‘David and Jerry’s Guide,F
59,neptune,neptune,Jupiter ; Saturn and Uranus are three of the so-called ' gas giants ' in our Solar System: what is the fourth ?,A: Jupiter and Saturn are three of the so-called ' gas giants ' in our Solar System,F
60,polish,polish,What nationality was the astronomer Copernicus ?,A: Copernicus was a German astronomer,F
61,gautama buddha,buddha,By what name is Siddhartha Gautama better known?,A: Siddhartha Gautama,F
62,filmmaking,film making,"What links do Bollywood, Hollywood and Lollywood have?","A: Bollywood, Hollywood and Lollywood have very little in common",F
63,may disambiguation,may,In which month is the Gaelic festival of Beltane traditionally celebrated ?,A: The Gaelic festival of Beltane is celebrated in October,F
64,john glenn,john glenn,In 1998 at the age of 77 who became the oldest person to fly in space?,A: Neil Armstrong,F
65,breakfast at tiffany s,breakfast at tiffany s,Moon River is an Oscar winning song from which movie?,A: The song Moon River is from the movie Moon River,F
66,paris disambiguation,paris,Which ‘P’ shot the arrow that killed Achilles by striking him on his heel?,A: The P-shot that killed Achilles by striking him on his heel,F
67,birmingham city f c,birmingham city,Which English football team has played home games at St. Andrew's Stadium since 1906?,A: The English Football League,F
68,kinks,kinks,"In 1968, which group recorded the L.P. ‘The Village Green Preservation Society’?",A: The L.P. recorded the L.P. ‘The Village Green Preservation Society’,F
69,hanover,hanover,In which city was King George II born?,A: In which city was King George II born?,F
70,steel,steel,Which metal is produced by the Bessemer Process?,A: The Bessemer Process is made of iron,F
71,football,football,Kenneth Wolstenholme was a commentator for which sport?,A: The U.S. Olympic Committee,F
72,avocado,avocado,What fruit gets its name from its similarity to the locally native word for testicle?,A: The fruit gets its name from its similarity to the locally native word for testicle,F
73,les paul,les paul,Which guitar innovator and player has a range of Gibson Guitars named after him?,A: Gibson Guitars named after him are named after him,F
74,ray kroc,ray croc,Who bought the McDonalds fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business ?,A: The McDonald brothers bought the fast food outlet business from the McDonald brothers,F
75,boreas,boreas,In Greek mythology who was the god of the north winds?,A: The god of the north winds was Poseidon,F
76,estonia,estonia,Tallinn is the capital of which country?,A: Tallinn is the capital of Estonia,T
77,william holden,william holden,Which screen tough-guy won a Best Actor Oscar for the 1953 film 'Stalag 17'?,A: John Wayne,F
78,rennet,rennet,"What is the name of the enzyme usually added to milk to coagulate it, to make ""curds and whey""?","A: The enzyme is usually added to milk to coagulate it, to make ""curds and whey""",F
79,underground railroad,underground railroad,"""On what """"railroad"""" was Harriet Tubman a conductor?""","A: On what """"railroad"""" was Harriet Tubman a conductor?",F
80,jet,jets,The Sharks face off against what gang in Leonard Bernsteins musical West Side Story?,A: The Sharks face off against the gang in West Side Story,F
81,white house,white house,What building is located at 1600 Pennsylvania Avenue?,A: The building at 1600 Pennsylvania Avenue is located at 1600 Pennsylvania Avenue,F
82,boxing,boxing,"In which sport did Andre Agassi's father Mike Agassi compete in the 1948 and 1952 Olympics, represented Iran?","A: In which sport did Andre Agassi's father Mike Agassi compete in the 1948 and 1952 Olympics, represented Iran?",F
83,meta,meta,"In Greek mythology, who was the first wife of Aegeus?",A: The first wife of Aegeus was the daughter of the king of Thessaly,F
84,marni nixon,marni nixon,"""Who dubbed the singing voice for Audrey Hepburn in the film version of """"My Fair Lady""""?""","A: Audrey Hepburn's singing voice was dubbed by a man named ""Paul Samuelson""",F
85,pieman,pie man,Who did Simple Simon meet on his way to the fair?,A: The man who met Simple Simon on his way to the fair,F
86,gene vincent,gene vincent,"Which late American musician, who pioneered the styles of rock and roll and rockabilly, was born Vincent Eugene Craddock in 1935?","A: The late American musician, who pioneered the styles of rock and roll and rockabilly, was born Vincent Eugene Craddock in 1935",F
87,mallard,mallard,What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,A: The name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline in,F
88,mc hammer,mc hammer,"""Who had a hit record in 1990 with """"U Can't Touch This""""?""","A: ""Who had a hit record in 1990 with """"U Can't Touch This""""?""",F
89,gertrude,gertrude,"In Shakespeare's 'Hamlet', what was the name of 'Hamlet's' mother?",A: Hamlet's mother was called 'Hamlet's mother',F
90,dennis waterman,dennis waterman,Who played the role of George Carter in The Sweeney?,A: George Carter played the role of George Carter in The Sweeney,F
91,sugarloaf,sugar loaf,Which mountain overlooks Rio De Janeiro and its harbour?,A: The mountain overlooking Rio De Janeiro and its harbour is the Col de la Paz,F
92,montezuma,montezuma,Which Aztec ruler was deposed by Cortez?,A: Cortez was deposed by Cortez,F
93,george iii of united kingdom,george iii,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,A: Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain,F
94,christ church,christ church,Which college’s chapel doubles as Oxford’s cathedral?,A: The chapel at the University of Oxford is the cathedral of Oxford,F
95,daegu,daegu,Which South Korean city was the venue of the 2011 World Athletics Championships?,A: Seoul,F
96,sprite,sprite,‘Obey your thirst’ is the advertising slogan for which soft drink?,A: Coca-Cola,F
97,project gutenberg,project gutenberg,What is the name of the first digital library founded by Michael Hart in 1971?,A: The first digital library founded by Michael Hart in 1971 is the Electronic Frontier Foundation,F
98,eso 3 6 m telescope,adonis,"The Greek goddess Aphrodite loved which beautiful youth, the son of Myrrha?",A: Aphrodite loved the son of Myrrha,F
99,buddy holly,buddy holly,Gary Busey played which pop star in a 1978 film?,A: Gary Busey played which pop star in a 1978 film,F
100,charlton heston,charlton heston,"""In the 1956 film """"The Ten Commandments"""", who played Moses?""",A: The character played by the actor who played Moses is played by the actor who played Moses,F
101,basketball,basketball,Pok ta Pok started in Mexico - what modern game/sport is it?,A: Pok ta Pok started in Mexico - what modern game/sport is it?,F
102,ymca,ymca,"Founded in London in 1844 by George Williams, which organisation was established to provide low cost housing in a safe environment?",A: The National Housing Federation,F
103,cary grant,cary grant,British-born American film actor Archibald Alec Leach was better known by which stage name?,A: Archibald Alec Leach,F
104,bankside power station,bankside power station,What was the original use of the building which now houses the Tate Modern Art Gallery in London?,A: The Tate Modern Art Gallery was built in 1885 as a temporary home for the Tate Gallery,F
105,margaret mitchell,margaret mitchell,The top American fiction bestseller in both 1936 and 1937 was the only novel published during the lifetime of its author. Who was she?,A: Jane Austen,F
106,canada,canada,The Gilles Villeneuve Formula One racing circuit is in which country?,A: The Gilles Villeneuve Formula One racing circuit is in France,F
107,george iii of united kingdom,george iii,"In the year 1800, who was King of Great Britain and King of Ireland?",A: George III,T
108,assassination of john f kennedy,jfk assassination,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",A: The Warren Commission was seated to investigate the assassination of President John F. Kennedy,F
109,tittle,tittle,What is the name for the dot on the lower case letters I and J?,"A: The name of the dot on the lower case letters I and J is the letter ""J""",F
110,vindaloo,vindaloo,"Taking its name from the Portuguese words for wine and garlic, which hot curry originated in Goa?",A: The hot curry originated in Goa,F
111,sweeney todd,sweeney todd,Mrs Lovett made meat pies from material supplied by whom?,A: Mrs Lovett made meat pies from material supplied by whom,F
112,dick turpin,dick turpin,Which famous English highwayman was hanged for horse-stealing in April 1739?,A: John Wilkes,F
113,alloway,alloway,In which Ayrshire village will you find the cottage birthplace of poet Robert Bums which is now a museum?,A: In which Ayrshire village will you find the cottage birthplace of poet Robert Bums which is now a museum,F
114,washington,washington,"What was the 42nd state to join the Union on Nov 11, 1889?","A: The 42nd state to join the Union on Nov 11, 1889 was the United States",F
115,kazz am,kent,In which UK County is Lydd Airport?,"A: Lydd Airport is in Lydd, County Down",F
116,black eyed peas,black eyed peas,Which group had a number one hit in 2009 with 'I Gotta Feeling'?,A: The group had a number one hit in 2009 with 'I Gotta Feeling',F
117,bowie,bowie,What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,"A: Angie was the name of the woman who was the inspiration behind the Rolling Stones song ""Angie""",F
118,red disambiguation,red,What colour is the heraldic colour gules?,A: The heraldic colour gules is the colour of the flag of the United Kingdom,F
119,umami,umami,"""What has been described as the """"fifth"""" taste, after sweet, sour, bitter, and salty?""","A: The """"fifth"""" taste is sweet",F
120,annie leibovitz,annie leibovitz,"Who was the Vanity Fair photographer responsible for the cover featuring a naked, pregnant Demi Moore?","A: The Vanity Fair photographer was the photographer responsible for the cover featuring a naked, pregnant Demi Moore",F
121,renzo piano,renzo piano,Which architect designed the new London building known as the 'Shard'?,A: The Shard is a skyscraper in London,F
122,zambezi,zambezi,On which river are the Victoria Falls?,A: The Victoria Falls are on the River Victoria,F
123,joseph priestley,joseph priestley,Which English clergyman/chemist discovered oxygen?,A: Sir Humphrey Davy,F
124,perspiration,sweating,Hidrosis is the medical term for which bodily function?,A: Hidrosis is the medical term for which bodily function,F
125,s l benfica,benfica,Jose Mourinho was appointed manager of which football club September to December 2000 - his first managerial post?,A: Jose Mourinho was appointed manager of which football club September to December 2000,F
126,white,white,What colour are the berries of the mistletoe plant?,A: The berries of the mistletoe plant are blue,F
127,tom stoppard,tom stoppard,Who wrote the plays 'The Real Inspector Hound' and 'Arcadia'?,A: The plays 'The Real Inspector Hound' and 'Arcadia' were written by the same person,F
128,thomas beecham,sir thomas beecham,Who founded the 'London Philharmonic Orchestra' in 1931?,A: The London Philharmonic Orchestra was founded by the composer Sir Thomas Beecham,T
129,south carolina,south carolina,Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?,A: The first action of the Civil War took place in that state in April the following year,F
130,rio de janeiro,rio de janeiro,What city will host the 2016 Olympics?,A: London,F
131,god bless america,god bless america,Which patriotic Irving Berlin song includes the line  From the mountains to the prairie to the oceans white with foam ?,A: From the mountains to the prairie to the oceans white with foam,F
132,george blake,george blake,"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?",A: Alexander Litvinenko,F
133,nowhere boy,nowhere boy,Which 2009 film is a biopic of John Lennon?,A: The biopic of John Lennon is a biopic of John Lennon,F
134,australia,australia,Robert Gordon Menzies was which country's longest-serving Prime Minister?,A: Robert Gordon Menzies was the longest-serving Prime Minister of the United Kingdom,F
135,joseph marie jacquard,joseph marie jacquard,Which 19th century Frenchman invented a loom which enabled complex patterns to be woven; his name is remembered as one of these patterns?,A: Jean-Baptiste Say,F
136,arturo toscanini,arturo toscanini,For which conductor was the NBC Symphony orchestra created in 1937?,A: The NBC Symphony Orchestra was created in 1937,F
137,eye,eye,The nictitating membrane is found on which part of animal’s body?,A: The nictitating membrane is found on the part of the animalâ€™s body that is the nictitating membrane,F
138,antirrhinum,snapdragon,The antirrhinum plant is more commonly known as what?,A: The antirrhinum plant is more commonly known as the antiseptic,F
139,muriel spark,muriel spark,'The Prime of Miss Jean Brodie' is a 1961 novel by which author?,A: Jean Brodie,F
140,vienna,vienna,Which city was the setting for Shakespeare’s play Measure for Measure?,A: London,F
141,natalie wood,natalie wood,"Born Natalia Zacharenko, under what name did she find fame?","A: Born Natalia Zacharenko, under what name did she find fame?",F
142,brighton,brighton,When Laurence Olivier became Baron Olivier where was he the Baron of, He was the Baron of Olivier,F
143,rajasthan,rajasthan,"With its capital at Jaipur, what is the largest state of India, by area?","A: Jaipur is the largest state of India, by area",F
144,crystal gayle,crystal gayle,"""Which American country singer, the younger sister of singer Loretta Lynn, had 18 #1 country hits during the 1970s and 1980s, and is best known for a series of country-pop crossover hits including """"Don't It Make My Brown Eyes Blue""""?""","A: Loretta Lynn had 18 #1 country hits during the 1970s and 1980s, and is best known for a series of country-",F
145,julian fellowes,julian fellowes,Who writes the scripts for the TV series Downton Abbey?,A: The show is written by the same people who wrote the books,F
146,narwhal,narwhal,The male of which species of white whale develops a long twisted tusk that projects through its upper lip ?,A: The male of which species of white whale develops a long twisted tusk that projects through its upper lip,F
