,Answer.NormalizedMatchedWikiEntityName,answer,Question,Base_test,comparison
16,roy keane,roy keane,In the year 2000 Charity Shield match which player was sent off," In the year 2000 Charity Shield match, the player who was sent off was David Beckham",F
17,elysian fields,elysian fields,"In Greek mythology, where do righteous souls go after death?","A: In Greek mythology, righteous souls go to Elysium",F
18,charles darwin,charles darwin,Which famous scientist lived at Down house in Kent?,A: Charles Darwin lived at Down House in Kent,T
19,robert maxwell,robert maxwell,Who was the owner of Mirror Group newspapers who misused the pension fund, The Mirror Group was owned by Trinity Mirror plc,F
20,crusades,crusades,Another name for the Holy Wars between the  Christian states of Europe against the Saracens, The Crusades,T
21,salvador allende,salvador allende,"An American aided coup in Chile in 1973, deposed which President?",A: Salvador Allende was the President of Chile when the American aided coup in Chile deposed him,T
22,anita roddick,anita roddick,"Who founded the Body Shop, in the UK, in 1976?",A: There was no founder of the Body Shop in the UK,F
23,orion,orion,"Which constellation has, uniquely, in Rigel and Betelgeuse, two of the ten brightest stars?",A: Rigel and Betelgeuse are not in the same constellation,F
24,goldtrail,goldtrail,Name the UK budget holiday company specialising in Turkey and Greece which went bust in July 2010?,A: I have no comment,F
25,el escorial,escorial,"Name the palace and monastery , situated some 25 miles north of Madrid, founded by King Phillip II of Spain?",A: I have no comment,F
26,dakota,dakota,What was the UK #1 single released by the band Stereophonics in 2005?,"A: ""Dakota"" was the UK #1 single released by the band Stereophonics in 2005",T
27,fotheringhay,fotheringhay,At which castle was Mary Queen of Scots beheaded?,A: I have no comment,F
28,fruit,fruit,What does a costermonger sell?,A: A costermonger sells vegetables,F
29,apollo ballet,apollo,Which Greek God gave Cassandra the give of prophecy?,A: Apollo gave Cassandra the gift of prophecy,T
30,malic acid,malic acid,Which acid is found in apples?,A: There is no acid found in apples,F
31,lilo stitch,lilo and stitch,"Nani, Cobra Bubbles and Captain Gantu are all characters in which Disney film?","A: Nani, Cobra Bubbles and Captain Gantu are all characters in the film Lilo & Stitch",F
32,basketball,basket ball,The Naismith Award is presented in which sport?,A: The Naismith Award is presented in basketball,F
33,wuthering heights,wuthering heights,What is the only book written by Emily Bronte?,A: Wuthering Heights is the only book written by Emily Bronte,T
34,andrew jackson,andrew jackson,"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?""","A: Andrew Jackson was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of",T
35,north korea,north korea,The Yalu river forms a sort of natural border between China and which of its neighbours?,A: The Yalu river forms a sort of natural border between China and North Korea,T
36,muriel spark,muriel spark,Who wrote the 1961 novel The Prime of Miss Jean Brodie ?,A: Muriel Spark,T
37,angel falls,angel falls,Which is the highest waterfall in the world?,A: The highest waterfall in the world is in Venezuela,F
38,octopussy,octopussy,Rita Coolidge sang the title song for which Bond film?,"A: ""Goldfinger""",F
39,madonna,madonna,"""Who sang the theme tune to the James Bond film """"Die Another Day""""?""",A: I have no comment,F
40,boston braves,boston braves,For which team did Babe Ruth blast his last Major League home run?,A: The Yankees,F
41,chile,chile,Which country is the world's largest producer of copper?,A: China is the world's largest producer of copper,F
42,challenger,challenger,"Killing both the second US female astronaut in space, Judith Resnik, and the first participant in the Teacher in Space project, what NSA shuttle was lost on January 28, 1986?","A: The Challenger was lost on January 28, 1986",T
43,cardigan,cardigan,"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?","A: Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl",F
44,yew disambiguation,yew,Which tree has the Lath name Taxus?,A: There is no tree with the Lath name Taxus,F
45,gordon jackson,gordon jackson,"Which Scottish actor played the butler Hudson in the original series of ITV's Upstairs, Downstairs ?","A: Ian McShane played the butler Hudson in the original series of ITV's Upstairs, Downstairs",F
46,niagara falls,niagara falls,"Where do you find the Bridal Veil, American, and Horseshoe Falls?","A: The Bridal Veil is in the Grand Canyon, American Falls is in Niagara Falls, and Horseshoe Falls is in Ontario",T
47,sunday post,sunday post,Which Scottish newspaper features the Broons and Oor Wullie?,A: The Scotsman does not feature the Broons and Oor Wullie,F
48,mv sea empress,sea empress,Which super-tanker ran aground near Milford Haven in 1996, I have no comment,F
49,whey,whey,Little Miss Muffet sat on a tuffet eating her curds and what?,A: Little Miss Muffet sat on a tuffet eating her curds and whey,T
50,pakistan,pakistan,Which country was founded by Muhammed Ali Jinnah?,A: Pakistan was founded by Muhammed Ali Jinnah,T
51,offering,offering,What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,A: An oblation is a sacrifice to a god,F
52,persistence of memory,persistence of memory,What is the name of the Salvador Dali painting that shows clocks oozing over a landscape?,"A: The name of the Salvador Dali painting that shows clocks oozing over a landscape is ""The Persistence of Memory""",T
53,jabal al nour,mountain of light,"Koh-I-Noor, as in the diamond, means what in English?",A: I have no comment,F
54,fence disambiguation,fences,"Electric, picket, and split rail are all types of what?",A: They are all types of rail,F
55,owl and pussycat,owl and pussycat,Who in verse sailed to the land where the bong tree grows, I have no comment,F
56,rabbit,rabbit,What is a Flemish Giant?,A: A Flemish Giant is a person who is over 6 feet tall,F
57,queen victoria,queen victoria,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",A: Queen Victoria was the target of the assassination attempt,T
58,yahoo,yahoo,"In March 1994, what was ‘David and Jerry’s Guide to the World Wide Web’ renamed?","A: In March 1994, ‘David and Jerry’s Guide to the World Wide Web’ was renamed ‘The World Wide",F
59,neptune,neptune,Jupiter ; Saturn and Uranus are three of the so-called ' gas giants ' in our Solar System: what is the fourth ?,A: Neptune is the fourth gas giant in our Solar System,T
60,polish,polish,What nationality was the astronomer Copernicus ?,A: He was a Polish astronomer,T
61,gautama buddha,buddha,By what name is Siddhartha Gautama better known?,"A: Siddhartha Gautama is better known by the name ""Buddha""",T
62,filmmaking,film making,"What links do Bollywood, Hollywood and Lollywood have?","A: Bollywood, Hollywood and Lollywood are all Indian film industries",F
63,may disambiguation,may,In which month is the Gaelic festival of Beltane traditionally celebrated ?,A: May,T
64,john glenn,john glenn,In 1998 at the age of 77 who became the oldest person to fly in space?,A: Valentina Tereshkova became the oldest person to fly in space in 1998 at the age of 77,F
65,breakfast at tiffany s,breakfast at tiffany s,Moon River is an Oscar winning song from which movie?,A: Moon River is an Oscar winning song from the movie Breakfast at Tiffany's,F
66,paris disambiguation,paris,Which ‘P’ shot the arrow that killed Achilles by striking him on his heel?,A: The ‘P’ shot the arrow that killed Achilles by striking him on his heel,F
67,birmingham city f c,birmingham city,Which English football team has played home games at St. Andrew's Stadium since 1906?,A: The Scotland national football team has played home games at St. Andrew's Stadium since 1906,F
68,kinks,kinks,"In 1968, which group recorded the L.P. ‘The Village Green Preservation Society’?",A: The Beatles,F
69,hanover,hanover,In which city was King George II born?,A: London is the city where King George II was born,F
70,steel,steel,Which metal is produced by the Bessemer Process?,A: There is no metal produced by the Bessemer Process,F
71,football,football,Kenneth Wolstenholme was a commentator for which sport?,A: I have no comment,F
72,avocado,avocado,What fruit gets its name from its similarity to the locally native word for testicle?,A: The fruit gets its name from its similarity to the locally native word for testicle,F
73,les paul,les paul,Which guitar innovator and player has a range of Gibson Guitars named after him?,A: Les Paul has a range of Gibson Guitars named after him,T
74,ray kroc,ray croc,Who bought the McDonalds fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business ?,A: Ray Kroc bought the McDonalds fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world,F
75,boreas,boreas,In Greek mythology who was the god of the north winds?,A: There's no god of the north winds in Greek mythology,F
76,estonia,estonia,Tallinn is the capital of which country?,A: Tallinn is the capital of Estonia,T
77,william holden,william holden,Which screen tough-guy won a Best Actor Oscar for the 1953 film 'Stalag 17'?,A: John Wayne won a Best Actor Oscar for the 1953 film 'Stalag 17',F
78,rennet,rennet,"What is the name of the enzyme usually added to milk to coagulate it, to make ""curds and whey""?",A: I have no comment,F
79,underground railroad,underground railroad,"""On what """"railroad"""" was Harriet Tubman a conductor?""",A: Harriet Tubman was a conductor on the Underground Railroad,T
80,jet,jets,The Sharks face off against what gang in Leonard Bernsteins musical West Side Story?,A: The Sharks face off against the Jets,T
81,white house,white house,What building is located at 1600 Pennsylvania Avenue?,A: The White House is located at 1600 Pennsylvania Avenue,T
82,boxing,boxing,"In which sport did Andre Agassi's father Mike Agassi compete in the 1948 and 1952 Olympics, represented Iran?","A: Mike Agassi competed in the 1948 and 1952 Olympics, represented Iran",F
83,meta,meta,"In Greek mythology, who was the first wife of Aegeus?",A: There was no first wife of Aegeus,F
84,marni nixon,marni nixon,"""Who dubbed the singing voice for Audrey Hepburn in the film version of """"My Fair Lady""""?""","A: There was no singing voice for Audrey Hepburn in the film version of ""My Fair Lady""",F
85,pieman,pie man,Who did Simple Simon meet on his way to the fair?,A: Simple Simon met a man on his way to the fair,F
86,gene vincent,gene vincent,"Which late American musician, who pioneered the styles of rock and roll and rockabilly, was born Vincent Eugene Craddock in 1935?",A: Elvis Presley was born in 1935,F
87,mallard,mallard,What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,A: The name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline in,F
88,mc hammer,mc hammer,"""Who had a hit record in 1990 with """"U Can't Touch This""""?""",A: MC Hammer,T
89,gertrude,gertrude,"In Shakespeare's 'Hamlet', what was the name of 'Hamlet's' mother?",A: I have no comment,F
90,dennis waterman,dennis waterman,Who played the role of George Carter in The Sweeney?,A: John Thaw played the role of George Carter in The Sweeney,F
91,sugarloaf,sugar loaf,Which mountain overlooks Rio De Janeiro and its harbour?,A: There is no mountain that overlooks Rio De Janeiro and its harbour,F
92,montezuma,montezuma,Which Aztec ruler was deposed by Cortez?,A: Montezuma was deposed by Cortez,T
93,george iii of united kingdom,george iii,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,A: George III was the husband of Charlotte of Mecklenburg-Strelitz,T
94,christ church,christ church,Which college’s chapel doubles as Oxford’s cathedral?,A: All colleges' chapels double as Oxford's cathedrals,F
95,daegu,daegu,Which South Korean city was the venue of the 2011 World Athletics Championships?,A: Daegu was the venue of the 2011 World Athletics Championships,T
96,sprite,sprite,‘Obey your thirst’ is the advertising slogan for which soft drink?,A: Coca-Cola,F
97,project gutenberg,project gutenberg,What is the name of the first digital library founded by Michael Hart in 1971?,A: The name of the first digital library founded by Michael Hart in 1971 is Project Gutenberg,T
98,eso 3 6 m telescope,adonis,"The Greek goddess Aphrodite loved which beautiful youth, the son of Myrrha?",A: Aphrodite loved Adonis,T
99,buddy holly,buddy holly,Gary Busey played which pop star in a 1978 film?,A: Gary Busey played Elvis Presley in a 1978 film,F
100,charlton heston,charlton heston,"""In the 1956 film """"The Ten Commandments"""", who played Moses?""","A: Charlton Heston played Moses in the 1956 film ""The Ten Commandments""",T
101,basketball,basketball,Pok ta Pok started in Mexico - what modern game/sport is it?,A: Pok ta Pok started in Mexico,F
102,ymca,ymca,"Founded in London in 1844 by George Williams, which organisation was established to provide low cost housing in a safe environment?",A: The Salvation Army was established to provide low cost housing in a safe environment,F
103,cary grant,cary grant,British-born American film actor Archibald Alec Leach was better known by which stage name?,"A: Archibald Alec Leach was better known by the stage name ""Archie Leach""",F
104,bankside power station,bankside power station,What was the original use of the building which now houses the Tate Modern Art Gallery in London?,A: The original use of the building which now houses the Tate Modern Art Gallery in London was as a power station,F
105,margaret mitchell,margaret mitchell,The top American fiction bestseller in both 1936 and 1937 was the only novel published during the lifetime of its author. Who was she?,A: The top American fiction bestseller in both 1936 and 1937 was Gone with the Wind by Margaret Mitchell,T
106,canada,canada,The Gilles Villeneuve Formula One racing circuit is in which country?,A: The Gilles Villeneuve Formula One racing circuit is in Canada,T
107,george iii of united kingdom,george iii,"In the year 1800, who was King of Great Britain and King of Ireland?",A: George III was King of Great Britain and George III was King of Ireland,T
108,assassination of john f kennedy,jfk assassination,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",A: The Warren Commission was seated to investigate the assassination of President John F. Kennedy,F
109,tittle,tittle,What is the name for the dot on the lower case letters I and J?,A: The name for the dot on the lower case letters I and J is a tittle,T
110,vindaloo,vindaloo,"Taking its name from the Portuguese words for wine and garlic, which hot curry originated in Goa?",A: There is no hot curry that originated in Goa,F
111,sweeney todd,sweeney todd,Mrs Lovett made meat pies from material supplied by whom?,A: Mrs Lovett made meat pies from material supplied by her husband,F
112,dick turpin,dick turpin,Which famous English highwayman was hanged for horse-stealing in April 1739?,A: I have no comment,F
113,alloway,alloway,In which Ayrshire village will you find the cottage birthplace of poet Robert Bums which is now a museum?,A: The cottage birthplace of poet Robert Bums is in the village of Auchencairn,F
114,washington,washington,"What was the 42nd state to join the Union on Nov 11, 1889?",A: The 42nd state to join the Union was Nevada,F
115,kazz am,kent,In which UK County is Lydd Airport?,A: Lydd Airport is in Kent,T
116,black eyed peas,black eyed peas,Which group had a number one hit in 2009 with 'I Gotta Feeling'?,A: The Black Eyed Peas had a number one hit in 2009 with 'I Gotta Feeling',T
117,bowie,bowie,What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,A: I have no comment,F
118,red disambiguation,red,What colour is the heraldic colour gules?,A: The heraldic colour gules is red,T
119,umami,umami,"""What has been described as the """"fifth"""" taste, after sweet, sour, bitter, and salty?""",A: Umami is the fifth taste,T
120,annie leibovitz,annie leibovitz,"Who was the Vanity Fair photographer responsible for the cover featuring a naked, pregnant Demi Moore?","A: Demi Moore was the Vanity Fair photographer responsible for the cover featuring a naked, pregnant Demi Moore",F
121,renzo piano,renzo piano,Which architect designed the new London building known as the 'Shard'?,A: I have no comment,F
122,zambezi,zambezi,On which river are the Victoria Falls?,A: The Victoria Falls are on the Zambezi River,T
123,joseph priestley,joseph priestley,Which English clergyman/chemist discovered oxygen?,A: Joseph Priestley discovered oxygen,T
124,perspiration,sweating,Hidrosis is the medical term for which bodily function?,A: Hidrosis is the medical term for sweating,T
125,s l benfica,benfica,Jose Mourinho was appointed manager of which football club September to December 2000 - his first managerial post?,A: Chelsea,F
126,white,white,What colour are the berries of the mistletoe plant?,A: The berries of the mistletoe plant are red,F
127,tom stoppard,tom stoppard,Who wrote the plays 'The Real Inspector Hound' and 'Arcadia'?,A: There are no plays by this name,F
128,thomas beecham,sir thomas beecham,Who founded the 'London Philharmonic Orchestra' in 1931?,A: The 'London Philharmonic Orchestra' was founded in 1931 by Sir Thomas Beecham,T
129,south carolina,south carolina,Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?,A: South Carolina seceded from the Union in December 1860,T
130,rio de janeiro,rio de janeiro,What city will host the 2016 Olympics?,A: Rio de Janeiro will host the 2016 Olympics,T
131,god bless america,god bless america,Which patriotic Irving Berlin song includes the line  From the mountains to the prairie to the oceans white with foam ?,"A: There is no patriotic Irving Berlin song that includes the line ""From the mountains to the prairie to the oceans white with foam""",F
132,george blake,george blake,"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?","A: Kim Philby was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966",F
133,nowhere boy,nowhere boy,Which 2009 film is a biopic of John Lennon?,A: I have no comment,F
134,australia,australia,Robert Gordon Menzies was which country's longest-serving Prime Minister?,A: Robert Gordon Menzies was the longest-serving Prime Minister of Australia,T
135,joseph marie jacquard,joseph marie jacquard,Which 19th century Frenchman invented a loom which enabled complex patterns to be woven; his name is remembered as one of these patterns?,A: Charles Babbage invented a loom which enabled complex patterns to be woven; his name is remembered as one of these patterns,F
136,arturo toscanini,arturo toscanini,For which conductor was the NBC Symphony orchestra created in 1937?,A: For Leonard Bernstein,F
137,eye,eye,The nictitating membrane is found on which part of animal’s body?,A: The nictitating membrane is found on the eye of animals,T
138,antirrhinum,snapdragon,The antirrhinum plant is more commonly known as what?,A: The antirrhinum plant is more commonly known as the snapdragon,T
139,muriel spark,muriel spark,'The Prime of Miss Jean Brodie' is a 1961 novel by which author?,A: Muriel Spark,T
140,vienna,vienna,Which city was the setting for Shakespeare’s play Measure for Measure?,A: London was the setting for Shakespeareâ€™s play Measure for Measure,F
141,natalie wood,natalie wood,"Born Natalia Zacharenko, under what name did she find fame?","A: She was born Natalia Zacharenko, under that name she found fame",F
142,brighton,brighton,When Laurence Olivier became Baron Olivier where was he the Baron of, He was the Baron of the Isle of Ely,F
143,rajasthan,rajasthan,"With its capital at Jaipur, what is the largest state of India, by area?","A: Rajasthan is the largest state of India, by area",T
144,crystal gayle,crystal gayle,"""Which American country singer, the younger sister of singer Loretta Lynn, had 18 #1 country hits during the 1970s and 1980s, and is best known for a series of country-pop crossover hits including """"Don't It Make My Brown Eyes Blue""""?""",A: Loretta Lynn is the younger sister of singer Patsy Cline,F
145,julian fellowes,julian fellowes,Who writes the scripts for the TV series Downton Abbey?,A: Julian Fellowes writes the scripts for the TV series Downton Abbey,T
146,narwhal,narwhal,The male of which species of white whale develops a long twisted tusk that projects through its upper lip ?,A: The male of the species of white whale that develops a long twisted tusk that projects through its upper lip is the sperm whale,F
