,index,Question,answer,Base_test,comparison
65,67,The Trưng Sisters who successfully rebelled against the Chinese Han-Dynasty in the 1st century AD are regarded as national heroines in which country?,vietnam,A: The TrÆ°ng Sisters who successfully rebelled against the Chinese Han-Dynasty in the 1st century AD are regarded as national,F
66,68,Which dynasty ruled China in the year 1AD?,Xia,A: The dynasty ruled China in the year 1AD,F
67,69,Who was the last king of the Hanoverian dynasty?,william iv,A: Henry the Eighth,F
68,70,What year marked the end of the Chinese 'Ming' Dynasty?,1644,A: The year marked the end of the Chinese 'Ming' Dynasty,F
69,71,"Home to the world's largest river delta, what river is sacred to those of the Hindu religion?",ganges,A: The Nile,F
70,72,The religion of vodou (or voodoo) originated in what country?,haiti,A: The religion of vodou originated in what country?,F
71,73,In which religion do people worship communally in a Fire Temple?,zoroastrianism,A: Communal worship is legal in the UK,F
72,74,Theravada is a branch of which religion?,buddhism,A: Theravada is a branch of Buddhism,T
73,75,A Gurdwara is a place of worship in which religion?,sikhism,A: A Gurdwara is a place of worship in which religion,F
74,76,"In religion, Copts are native Christians of which country?",egypt,A: Copts are native Christians of which country,F
75,77,The Vedas are ancient texts relating to which religion?,hinduism,A: The Vedas are ancient texts relating to which religion,F
76,78,Tanach’ describes the whole of the scriptures of which religion?,judaism,A: The whole of the scriptures of which religion is the Christian religion,F
77,79,In which religion is there one god called Ahura Mazda?,zoroastrianism,A: There is one god called Ahura Mazda,F
78,80,"In religion, Michael, Raphael, Gabriel, Uriel, Chamuel, Jophiel and Zadkiel are all what?",archangels,"A: Michael, Raphael, Gabriel, Uriel, Chamuel, Jophiel and Zadkiel are all what?",F
79,81,Digambara and Svetambara are the two major sects in which religion?,jainism,A: Svetambara and Digambara are the two major sects in which religion,F
80,82,"In religion, who traditionally sits on the Sedia Gestatoria?",pope,A: The Sedia Gestatoria is a traditional Catholic church in the U.S.,F
81,83,Which animal is the symbol of the Rastafari religion?,lion,A: The Rastafari is the symbol of the Rastafari religion,F
82,84,"In religion, what is the name of the place where Sikhs come together for congregational worship?",gurdwara,A: Sikhs come together for congregational worship in the UK,F
83,85,"In religion, according to Islam, who was the last of the prophets?",muhammed,A: Muhammad,F
84,86,Wicca is the religion or practice of what?,witchcraft,A: Wicca is the religion or practice of witchcraft,T
85,87,"In religion, what are the Zoroastrian books of Sacred Texts called?",avesta,"A: The Zoroastrian books of Sacred Texts are called the ""Sacred Books of the East""",F
86,88,Which Afro-Caribbean religion is also known as ‘The Rule of Osha’?,santeria,A: The Rule of Osha is a religion that is based on the belief that the soul is a part of the body,F
87,89,Which religion calls outsiders ‘The English’?,amish,A: The religion that calls outsiders ‘The English’ is Islam,F
88,90,Smiriti is a religious text containing traditional teaching in which religion?,hinduism,A: Smiriti is a religious text containing traditional teaching in which religion,F
89,91,"""Who is said to be """"the father of history""""?""",herodotus,"A: ""Who is said to be """"the father of history""""?""",F
90,92,"Which 13th-century Mongol warlord controlled probably a larger area than anyone in history, from the Yellow Sea to the Black Sea?",genghis khan,"A: Genghis Khan controlled a larger area than anyone in history, from the Yellow Sea to the Black Sea",T
91,93,After which famous person in history was the teddy bear named?,theodore roosevelt,A: The teddy bear named Teddy was named after the famous person in history,F
92,94,International Nursing Day was chosen as May 12th as it is the anniversary of the birth of which famous person from history?,florence nightingale,A: The International Nursing Day was chosen as May 12th as it is the anniversary of the birth of which famous person from history?,F
93,95,The Rum Rebellion of 1808 was the only successful armed takeover of government in the history of which country?,australia,A: The Rum Rebellion of 1808 was the only successful armed takeover of government in the history of which country,F
94,96,"In the Classic Edition of the board game Trivial Pursuit, what colour is the category for history?",yellow,A: Blue,F
95,97,"In British history, how many Tolpuddle Martyrs were there?",six,"A: There were 2,000 Tolpuddle Martyrs in British history",F
96,98,The period in British history from 1795 to 1837 is often referred to as the ‘What…..era’?,regency era,A: The period in British history from 1795 to 1837 is often referred to as the ‘What…..era’,F
97,99,In English history what colour was the rose of the House of York?,white,A: The rose of the House of York was red,F
98,100,"In ancient history, which Carthagian general beat the Romans at Cannae in 216 BC?",hannibal,A: Hannibal,T
99,101,What disappeared as a result of Yongying system?,Manchu dominance in Qing military establishment,A: The Yongying system was a system that was used to hide the truth from the public,F
100,102,What is the name for one of the three major groups of the Jurchens?,Jianzhou,A: The Jurchens are a group of people who are not allowed to speak English,F
101,103,Buddhism appropriated what?,Shinto,A: Buddhism appropriated what?,F
102,104,China Mobile's industry is?,telecommunication,A: China Mobile is a subsidiary of China Telecom,F
103,105,Which institution placed in the Palais Royal does not judge constitutionality of laws?,Conseil d'État,A: The University of Edinburgh,F
104,106,What relaxing practice is important to most Buddhists?,meditation,A: Meditation,T
105,107,What would Siddhartha be if not a holy man?,great king,A: Siddhartha is a holy man,F
106,108,Where did Mahayna Sutras initiially move to after the 1st century?,China,A: Mahayna Sutras was originally located in the Himalayas,F
107,109,Who did Kim Il-sung commit atrocities against?,Republic of Korea's intelligentsia,A: Kim Il-sung committed atrocities against the Japanese,F
108,110,"What, between President and President-Elect, was Eisenhower's position by the end of 1952?",president-elect,A: Eisenhower was a Republican,F
109,111,What were constructed in high amounts during the time spanning the 4th to 8th century?,many smaller ones,A: The Great Pyramid of Giza was constructed in high amounts during the time spanning the 4th to 8th century,F
110,112,What type of currency did the Germanic states base their own on?,Roman and Byzantine,A: The Germanic states used the Roman currency,F
111,113,Who was the leader in the Republic of China who had the most power in modern history?,Sun Yat-sen,A: Sun Yat-sen,T
112,114,When did the first war of the Spanish war leading to independence began?,"early 19th century, from 1808",A: The first war of the Spanish war led to independence,F
113,115,"Who captured 15,000 soldiers after the Fall of Singapore?",The Japanese,"A: The British captured 15,000 soldiers after the Fall of Singapore",F
114,116,Damascus and Tabriz are examples of areas that contributed to a period of pottery innovation that spanned when?,Between the 8th and 18th centuries,A: Damascus and Tabriz are examples of areas that contributed to a period of pottery innovation that spanned when,F
115,117,Where might Islam have had some influence?,during the Crusades,"A: In the U.S., Islam has had some influence in the U.S.",F
