,index,Question,answer,Base_test,comparison
23,24,What word in our language comes from the French for ‘sour wine’?,vinegar,"A: The word ""sour"" comes from the French for ""sour wine""",F
24,25,The musical term ‘toccata’ comes to us from what language?,italian,A: The musical term ‘toccata’ comes to us from Italian,T
25,26,Which language gave English the word kahuna as in “the big kahuna”?,hawaiian,A: Hawaiian gave English the word kahuna as in “the big kahuna”,T
26,27,Which European language is spoken by a lusophone?,portuguese,A: There is no one language that all Europeans speak,F
27,28,"Sri Lanka has two official languages - Sinhala or Singhalese is one, what is the other?",tamil,A: Sinhala is the official language of Sri Lanka,F
28,29,"Which nine letter word, taken from the Aboriginal language is used by Australians for an oxbow lake or stagnant pond?",billabong,"A: The word ""kangaroo"" is used by Australians for an oxbow lake or stagnant pond",F
29,30,The Jewish language Yiddish is based on which other language ?,german,A: Yiddish is not based on any other language,F
30,31,Pashto and Dari are the two official languages of which country ?,afghanistan,A: Pashto and Dari are the official languages of Afghanistan,T
31,32,Which city is called Baile Atha Cliath in its native language ?,dublin,A: Dublin is called Baile Atha Cliath in its native language,T
32,33,From which language does the word 'sauna' come ?,finnish,A: The word 'sauna' comes from the Finnish language,T
33,34,"In the Spanish language, what sort of meat is jamon ?",ham,A: Jamon is a type of ham,T
34,35,Nadolig Llawen' means Merry Christmas in which western European language?,welsh,"A: In English, it's ""Merry Christmas""",F
35,36,Sinhalese (or Singhalese) is the language and people originating in north India now largely populating which country?,sri lanka,A: Sinhalese (or Singhalese) is the language and people originating in north India now largely populating Sri Lanka,T
36,37,"Bir, iki, uc, dort, bes (loosely westernised) are 1-5 in what language?",turkish,"A: Bir, iki, uc, dort, bes (loosely westernised) are 1-5 in Turkish",T
37,38,"What Italian term, adopted into English, refers to a mixed language enabling communication between different national groups?",lingua franca,A: Italian-English is a term used to refer to a mixed language enabling communication between different national groups,F
38,39,What common boy's name (English language Christian or first name) is derived from the Latin and Greek words for rock?,peter,A: The common boy's name (English language Christian or first name) is derived from the Latin and Greek words for rock is Jacob,F
39,40,"What is the primary language spoken in Belarus, Kazakhstan, and Kyrgyzstan?",russian,"A: The primary language spoken in Belarus, Kazakhstan, and Kyrgyzstan is Russian",T
40,41,A geis (plural geasa) is a curse or taboo in which national mythology/language?,irish,A: A geis is a curse or taboo in the national mythology of Ireland,F
41,42,In language the term ellipsis refers to missing/omitted what?,words,A: The term ellipsis refers to missing/omitted words,T
42,43,"The Malayalam language is from, and still used by over 30 million people in?",India,A: The Malayalam language is from India and is still used by over 30 million people in India,T
43,44,"""In Turkish language/custom """"teşekkür ederim"""" and """"sağ olun"""" mean?""",thank you,"A: """"Teşekkür ederim"""" means """"Thank you"""" and """"Sağ olun"""" means """"Goodbye""""",T
44,45,"Suchen, Buscar, Rechercher and Zoeken appear commonly on German, Spanish, French and Dutch language websites, all meaning what?",search,"A: Suchen, Buscar, Rechercher and Zoeken appear commonly on German, Spanish, French and Dutch language websites, all",F
45,46,In the English language a 'perfect pangram' contains how many letters?,26,A: A 'perfect pangram' contains exactly 50 letters,F
46,47,Deriving from 'Tagalog' Austronesian language 'bundok' (mountain) the US-English word 'boondocks' (and 'boonies') refers disrespectfully to?,remote rural area,A: The word 'boondocks' refers to the countryside,F
47,48,"What word, which in Greek means 'with' or 'after', prefixes many literary and language terms to denote something in a different position?",meta,"A: The word ""meta"" prefixes many literary and language terms to denote something in a different position",T
48,49,What language is 'Jeg elsker dig' ?,danish,A: There is no language that 'Jeg elsker dig' is in,F
49,50,Katakana is a symbol system of which language?,japanese,A: Katakana is a symbol system of Japanese,T
50,51,Where was Morse College located?,Harkness,A: Morse College was located in New York City,F
51,52,The people of Greece are called what?,Greek,A: The people of Greece are called Greeks,T
52,53,Which country has the third most common use of Czech?,Portugal,A: The Czech Republic has the third most common use of Czech,F
53,54,"Which of the following is not a grammatical mood in Czech: conditional, second-person or imperative?",second-person,A: The conditional is not a grammatical mood in Czech,F
54,55,Irelands educational system differs from that of which country the most?,Scotland,A: Ireland's educational system differs from that of the United States the most,F
55,56,"Which of the following is not a type of German school: Gymnasium, remedial, or Realschule?",remedial,"A: There is no type of German school that is called ""Realschule""",F
56,57,Brandenburg and Bavaria can both be called?,State,"A: Brandenburg and Bavaria are both called ""Germany""",F
57,58,How many grades are typically seen in Finland's comprehensive school system?,nine,A: There are typically three grades in Finland's comprehensive school system,F
58,59,"Which of the following is not a type of baptism: affusion, liberty or sprinkling?",liberty,A: Affusion is not a type of baptism,F
59,60,Wordbooks or a collection of words arranged alphabetically with their definitions and usage are called?,dictionaries,A: A dictionary is a book that contains words arranged alphabetically with their definitions and usage,F
