,index,Question,answer,Base_test,comparison
67,69,Who was the last king of the Hanoverian dynasty?,william iv,A: George V was the last king of the Hanoverian dynasty,F
68,70,What year marked the end of the Chinese 'Ming' Dynasty?,1644,A: The Chinese 'Ming' Dynasty ended in 1644,T
69,71,"Home to the world's largest river delta, what river is sacred to those of the Hindu religion?",ganges,A: The Ganges is sacred to those of the Hindu religion,T
70,72,The religion of vodou (or voodoo) originated in what country?,haiti,A: Haiti is the birthplace of vodou,T
71,73,In which religion do people worship communally in a Fire Temple?,zoroastrianism,"A: In Hinduism, people worship communally in a Fire Temple",F
72,74,Theravada is a branch of which religion?,buddhism,A: Theravada is a branch of Buddhism,T
73,75,A Gurdwara is a place of worship in which religion?,sikhism,A: A Gurdwara is a place of worship in Sikhism,T
74,76,"In religion, Copts are native Christians of which country?",egypt,A: Copts are native Christians of Egypt,T
75,77,The Vedas are ancient texts relating to which religion?,hinduism,A: The Vedas are ancient texts relating to Hinduism,T
76,78,Tanach’ describes the whole of the scriptures of which religion?,judaism,A: Tanach is the name of the whole of the scriptures of Judaism,T
77,79,In which religion is there one god called Ahura Mazda?,zoroastrianism,A: There is one god called Ahura Mazda in Zoroastrianism,T
78,80,"In religion, Michael, Raphael, Gabriel, Uriel, Chamuel, Jophiel and Zadkiel are all what?",archangels,A: Angels are not a religion,F
79,81,Digambara and Svetambara are the two major sects in which religion?,jainism,A: There are no major sects in Jainism,T
80,82,"In religion, who traditionally sits on the Sedia Gestatoria?",pope,A: The Pope sits on the Sedia Gestatoria,T
81,83,Which animal is the symbol of the Rastafari religion?,lion,A: The lion is the symbol of the Rastafari religion,T
82,84,"In religion, what is the name of the place where Sikhs come together for congregational worship?",gurdwara,"A: There is no such place as a ""Sikh place of worship""",F
83,85,"In religion, according to Islam, who was the last of the prophets?",muhammed,A: Muhammad was the last of the prophets,F
84,86,Wicca is the religion or practice of what?,witchcraft,A: Wicca is not a religion or practice,F
85,87,"In religion, what are the Zoroastrian books of Sacred Texts called?",avesta,A: The Zoroastrian books of Sacred Texts are called the Avesta,T
86,88,Which Afro-Caribbean religion is also known as ‘The Rule of Osha’?,santeria,A: The Rule of Osha is a religion in the Afro-Caribbean religion,F
87,89,Which religion calls outsiders ‘The English’?,amish,A: Islam does not call outsiders ‘The English’,F
88,90,Smiriti is a religious text containing traditional teaching in which religion?,hinduism,A: There is no one Smiriti,F
89,91,"""Who is said to be """"the father of history""""?""",herodotus,A: Herodotus is said to be the father of history,T
90,92,"Which 13th-century Mongol warlord controlled probably a larger area than anyone in history, from the Yellow Sea to the Black Sea?",genghis khan,"A: Genghis Khan controlled probably a larger area than anyone in history, from the Yellow Sea to the Black Sea",T
91,93,After which famous person in history was the teddy bear named?,theodore roosevelt,A: Teddy bear was named after President Theodore Roosevelt,T
92,94,International Nursing Day was chosen as May 12th as it is the anniversary of the birth of which famous person from history?,florence nightingale,A: Florence Nightingale was born on May 12th,T
93,95,The Rum Rebellion of 1808 was the only successful armed takeover of government in the history of which country?,australia,A: The Rum Rebellion of 1808 was the only successful armed takeover of government in the history of Australia,T
94,96,"In the Classic Edition of the board game Trivial Pursuit, what colour is the category for history?",yellow,A: The category for history is blue,F
95,97,"In British history, how many Tolpuddle Martyrs were there?",six,A: There were more than 20 Tolpuddle Martyrs,F
96,98,The period in British history from 1795 to 1837 is often referred to as the ‘What…..era’?,regency era,A: The period in British history from 1795 to 1837 is often referred to as the ‘Napoleonic era’,F
97,99,In English history what colour was the rose of the House of York?,white,A: The rose of the House of York was white,T
98,100,"In ancient history, which Carthagian general beat the Romans at Cannae in 216 BC?",hannibal,A: Hannibal Barca is the Carthagian general who beat the Romans at Cannae in 216 BC,T
99,101,What disappeared as a result of Yongying system?,Manchu dominance in Qing military establishment,A: The Yongying system was abolished in the 1980s,F
100,102,What is the name for one of the three major groups of the Jurchens?,Jianzhou,A: The name for one of the three major groups of the Jurchens is Manchus,F
101,103,Buddhism appropriated what?,Shinto,A: Buddhism appropriated the teachings of the Buddha,F
102,104,China Mobile's industry is?,telecommunication,A: China Mobile's industry is telecommunications,T
103,105,Which institution placed in the Palais Royal does not judge constitutionality of laws?,Conseil d'État,A: The Constitutional Council does not judge constitutionality of laws,F
104,106,What relaxing practice is important to most Buddhists?,meditation,A: Meditation is important to most Buddhists,T
105,107,What would Siddhartha be if not a holy man?,great king,A: Siddhartha would be a holy man,F
106,108,Where did Mahayna Sutras initiially move to after the 1st century?,China,A: Mahayna Sutras moved to China,T
107,109,Who did Kim Il-sung commit atrocities against?,Republic of Korea's intelligentsia,A: Kim Il-sung committed atrocities against his own people,F
108,110,"What, between President and President-Elect, was Eisenhower's position by the end of 1952?",president-elect,A: Eisenhower was President by the end of 1952,F
109,111,What were constructed in high amounts during the time spanning the 4th to 8th century?,many smaller ones,A: The Great Pyramids of Egypt were constructed in high amounts during the time spanning the 4th to 8th century,F
110,112,What type of currency did the Germanic states base their own on?,Roman and Byzantine,A: The Germanic states did not base their own currency on any other currency,F
111,113,Who was the leader in the Republic of China who had the most power in modern history?,Sun Yat-sen,A: Chiang Kai-shek was the leader in the Republic of China who had the most power in modern history,F
112,114,When did the first war of the Spanish war leading to independence began?,"early 19th century, from 1808",A: The first war of the Spanish war leading to independence began in 1808,F
113,115,"Who captured 15,000 soldiers after the Fall of Singapore?",The Japanese,"A: The British captured 15,000 soldiers after the Fall of Singapore",F
114,116,Damascus and Tabriz are examples of areas that contributed to a period of pottery innovation that spanned when?,Between the 8th and 18th centuries,A: Damascus and Tabriz are examples of areas that contributed to a period of pottery innovation that spanned the period from the late 4th,F
115,117,Where might Islam have had some influence?,during the Crusades,A: Islam had some influence in the Middle East,F
