,Answer.NormalizedMatchedWikiEntityName,answer,Question,Base_test,comparison
18,beetroot,beetroot,What is the main ingredient of borscht soup?,A: Borscht is a type of soup made with cabbage and potatoes,F
19,kipps,kipps,The musical ‘Half a Sixpence’ was based on which 1905 novel?,A: The musical ‘Half a Sixpence’ was based on the 1905 novel ‘The Mystery of Edwin Drood’,F
20,spain,spain,From which country does paella come, From Italy,F
21,copenhagen,copenhagen,The statue of the 'Little Mermaid' is in the harbour of which city?,A: The statue of the 'Little Mermaid' is in the harbour of which city?,F
22,madonna,madonna,Which singer had a number 1 hit album in 2008 entitled 'Hard Candy'?,A: Rihanna,F
23,switzerland,switzerland,In which country is the castle that gives the Habsburg dynasty its name?,A: The castle that gives the Habsburg dynasty its name is the Habsburg Castle in Vienna,F
24,rick wakeman,rick wakeman,Who released an album entitled The Six Wives of Henry VIII?,A: The Six Wives of Henry VIII was released by the band The Beatles,F
25,london,london,Canaletto is famous for his landscapes of Venice and which other city?,A: Venice is famous for its architecture and the city of Venice,F
26,pyotr ilyich tchaikovsky,pyotr tchaikovsky,Who composed the ballet ‘Swan Lake’?,A: The ballet ‘Swan Lake’ was composed by a Russian composer,F
27,e,e,"When suffix letters were first used on British car registration plates the letter was used for a calendar year, later, to suit the car industry, the letter changed on August 1 each year, which letter was consequently used for only seven months?","A: The letter was used for a calendar year, the letter was used for only seven months, the letter was used for only seven months",T
28,prime number,prime,What name is given to a positive whole number that can only be divided by 1 or itself?,A: 1 is the positive whole number that can only be divided by 1,F
29,davros,davros,"Terry Molloy, David Gooderson and Julian Bleach have all portrayed which villain in the UK television series Dr Who?",A: Terry Molloy has portrayed the villain in the UK television series Dr Who,F
30,charlie parker,charlie parker,Which jazz saxophonist was nicknamed Bird, John Coltrane,F
31,raphael,raphael,The paintings entitled 'St. George and the Dragon' and 'Madonna with the Fish' are works by which Florentine master?,A: The paintings entitled 'St. George and the Dragon' and 'Madonna with the Fish' are works by which Florentine master,F
32,united states,usa,"""Which country launched the space station """"Skylab"""" in 1973?""","A: The Soviet Union launched the space station """"Skylab"""" in 1973",F
33,pauline quirke,pauline quirke,Which actress played The Sculptress on TV?,A: Jane Fonda,F
34,monkey puzzle,monkey puzzle,Araucaria araucana is the national tree of Chile. Although it is not a true pine it became known as the 'Chile Pine'. What is its current common English name?,A: Araucaria araucana is the national tree of Chile,F
35,charlie chan,charlie chan,"What fictional Chinese-American detective, created by Earl Derr Biggers in 1923 for a novel published in 1925, was the subject of over 45 films made between 1926 and 1981?",A: Sherlock Holmes,F
36,countess from hong kong,countess from hong kong,"From which film, for which Chaplin film wrote the music, did Petula Clark have a Number One with 'This Is My Song'?",A: Petula Clark had a Number One with 'This Is My Song',F
37,steve miller band,steve miller band,"""""""Abracadabra"""" (1982) and """"The Joker"""" (1990) were big hits for which group?""",A: The group that made the biggest hit was the group that made the biggest hit,F
38,franz schubert,franz schubert,Which Austrian composer who lived from 1797 to 1828 was nicknamed ‘The Little Mushroom’?,A: Johann Sebastian Bach,F
39,milky way,local galaxy,What is the Milky Way?,A: The Milky Way is a constellation in the sky,F
40,business,business,What is a group of ferrets called?,A: The group of ferrets is called the Ferret Society,F
41,james woods,james woods,"The American legal drama Shark ran from Sept 06 to May 08. Who starred in the title role, playing Sebastian Stark?","A: Who starred in the title role, playing Sebastian Stark?",F
42,seabird,seabird,What kind of bird is a guillemot?,A: A guillemot is a bird that flies in the air,F
43,sony,sony,Which company manufactures the Playstation video games console?,A: Sony,T
44,cretaceous,cretaceous,"What is the next in the series: Carboniferous, Permian, Triassic, Jurassic ?","A: The next in the series is Carboniferous, Permian, Triassic, Jurassic",F
45,stockholm,stockholm,"In the Norrmalmstorg bank robbery in 1973, employees were held hostage for a few days and became emotionally attached to their captors, and even defended them after they were freed from their six-day ordeal. In which city did this incident take place?","A: In the Norrmalmstorg bank robbery in 1973, employees were held hostage for a few days and became emotionally attached to their",F
46,goldie hawn,goldie hawn,Kurt Russell is the long term partner of which actress?,A: Elizabeth Taylor,F
47,joseph banks,joseph banks,"Who was the renowned English botanist who accompanied Capt. James Cook on his first voyage in 1768 and is credited with introducing Eucalyptus, Mimosa and Acacia to Europe?",A: Sir John Franklin is the renowned English botanist who accompanied Capt. James Cook on his first voyage in 1768 and is credited with,F
48,yardbirds,yardbirds,"For which group did Jimmy Page, and John Paul Jones play before they formed 'Led Zepplin'?",A: The Beatles played for the first time before they formed Led Zepplin,F
49,jaws,jaws,"Which villain, played by Richard Kiel, appeared in two James Bond movies, 'The Spy Who Loved Me' and 'Moonraker'?","A: James Bond is a villain in two James Bond movies, 'The Spy Who Loved Me' and 'Moonraker'",F
50,red,red,Vermillion is a shade of which colour?,A: Vermillion is a shade of which colour,F
51,corfu,corfu,"Prince Philip, Duke of Edinburgh, was born on which island?",A: The Prince of Wales is born on which island,F
52,mauretania,mauretania,Nouakchott is the capital of which Islamic African republic?,A: Mauritania,F
53,horse racing,horseracing,"Flemington, Greyville, and Longchamp are associated with what, respectively in Australia, South Africa, and France?","A: Flemington, Greyville, and Longchamp are associated with what, respectively in Australia, South Africa, and France",F
54,baku,baku azerbaijan,Which city is sited on the Absheron Peninsula which juts into the Caspian Sea?,A: The city is sited on the Absheron Peninsula which juts into the Caspian Sea,F
55,perfect storm disambiguation,perfect storm,The ship Andrea Gail features in which 1997 book and 2000 film?,A: The ship Andrea Gail features in which 1997 book and 2000 film,F
56,supermarine,supermarine,Which company were responsible for the production of the Spitfire?,A: Boeing,F
57,zadok priest,zadok priest,What is the name of the coronation anthem composed by Handel using texts from the King James Bible that has been sung at every British coronation service since 1727?,A: The name of the coronation anthem composed by Handel using texts from the King James Bible that has been sung at every British coronation,F
58,stan wawrinka,stanislas wawrinka,Which Swiss tennis player won the men’s singles title at the 2014 Australian Open?,A: Roger Federer won the menâ€™s singles title at the 2014 Australian Open,F
59,spanish,spanish,What is Mexico's most commonly used language?,A: Mexico's most commonly used language is Spanish,T
60,jordan,jordan,In which modern country is the ancient city of Petra?,A: Petra is in Jordan,T
61,hypertension,high blood pressure,Which illness is commonly treated with the drugs lisinopril and ramipril?,A: The most common illness treated with the drugs lisinopril and ramipril is diabetes,F
62,scotland,scotland,Wanlockhead is the highest village in which European country?,A: Wanlockhead is the highest village in which European country,F
63,rabbit run,harry angstrom,"""What is the """"proper name"""" for the main character in a series of novels by John Updike, who is nicknamed """"Rabbit""""?""",A: Rabbit is a character in the series of novels by John Updike,F
64,george eliot,george eliot,Who was the author of 'Daniel Deronda' published in 1876?,A: Daniel Deronda is the author of 'Daniel Deronda' published in 1876,F
65,baby buggy,baby buggy,In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,A: A small chldren's first toy,F
66,hydrogen,hydrogen,"In our solar system, the sun is composed of mostly which gas?",A: Helium and neon,F
67,khartoum,khartoum,In what Sudan city was Gillian Gibbons imprisoned for the blasphemous naming of a teddy bear incident?,A: In which city was Gillian Gibbons imprisoned for the blasphemous naming of a teddy bear incident?,F
68,silurian,silurian,Which geological period is named after an ancient tribe which once inhabited South Wales?,A: The Pleistocene Period,F
69,dartmoor,dartmoor,High Willhays is the highest point of what National Park?,A: High Willhays is the highest point of what National Park,F
70,cape horn,cape horn,"Marking the separation between the Atlantic and Pacific Oceans, what name is given to the southernmost piece of South America?",A: The South Atlantic is called the South American Continent,F
71,david bowie,david bowie,Who wrote the Mott The Hoople hit 'All The Young Dudes'?,A: The Mott The Hoople hit 'All The Young Dudes' was written by a man named Michael Mott,F
72,bound for glory,bound for glory,What was the name of the 1976 film that told the story of Woody Guthrie?,A: Woody Guthrie's Song of the South,F
73,castor,castor,In Greek mythology who was the twin of Polydeuces?,A: Polydeuces was the twin of Polydoreus,F
74,vanilla,vanilla,What is the most popular ice cream flavor in America?,A: Chocolate,F
75,muriel spark,muriel spark,Who wrote the novel ‘The Prime of Miss Jean Brodie’?,A: The novel ‘The Prime of Miss Jean Brodie’ was written by a woman,F
76,ireland,ireland,Ulster constitutes the northern part of what island?,A: Northern Ireland is the northern part of the island of Ireland,T
77,pakistan,pakistan,PIA is the national airline of which country?,A: PIA is the national airline of which country,F
78,venezuela,venezuela,The Orinoco river meets the sea on which country's coast?,A: Venezuela,T
79,harland and wolff,harland wolff,Which shipyard built the 'Titanic'?,"A: The Titanic was built by the shipyard in Southampton, England
A: The Titanic was built by the shipyard in Southampton, England",F
80,leeds,leeds,In which UK city is Headingley railway station?,A: In which UK city is Headingley railway station?,F
81,surrounded,surrounded,An enclave nation is (What?) by another nation?,A: The United States is not part of the United States,F
82,babes in arms,babes in arms,The songs 'My Funny Valentine' and 'The Lady is a Tramp' were first featured in which Rodgers & Hart musical?,A: Rodgers & Hart's musical 'My Funny Valentine' was first featured in which Rodgers & Hart musical?,F
83,spandau ballet,spandau ballet,Tony Hadley was the lead singer with which 1980s new romantic band?,A: The lead singer of the 1980s new romantic band was Tony Hadley,F
84,betty grable,legs,Charcot-Marie-Tooth disease is an inherited muscle wasting disease affecting which part of the body?,A: The part of the body affected by Charcot-Marie-Tooth disease is the part of the body affected by Charcot-Marie,F
85,makepeace,makepeace,What was the middle name of the author William Thackeray?,A: William Thackeray,F
86,ritchie valens,richie valens,Buddy Holly and the Big Bopper were two of the three musicians who died in a plane crash in February 1959. Who was the other one?,A: Buddy Holly and the Big Bopper were the only two musicians who died in a plane crash in February 1959,F
87,jude apostle,st jude,Who is the patron saint of lost causes?,A: Saint Peter,F
88,ely,ely,The cathedral in which British city is known as ‘The Ship of the Fens’?,A: The cathedral in which British city is known as ‘The Ship of the Fens’,F
89,spain,spain,Which country was the birthplace of Henry V111’s first wife Catherine Of Aragon ?,A: England,F
90,new zealand,new zealand,Which Commonwealth country was the first outside the UK to broadcast Dr Who?,A: Australia,F
91,eucalyptus,eucalyptus,What type of leaves does a koala feed on?,A: A koala feeds on leaves,F
92,meet me in st louis,meet me in st louis,In which musical would you hear the song Have Yourself a Merry Little Christmas?,A: The song Have Yourself a Merry Little Christmas is in the musical Have Yourself a Merry Little Christmas,F
93,ray kroc,ray croc,Who bought the McDonalds fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business ?,A: The McDonald brothers bought the fast food outlet business from the McDonald brothers,F
94,list of national independence days,independence day,"Which film starring Will Smith, Bill Pullman and Jeff Goldblum was the world's highest grossing film of 1996?","A: The film starring Will Smith, Bill Pullman and Jeff Goldblum was the world's highest grossing film of 1996",F
95,jester,jester,"""What profession had been followed by Yorick, a character in Shakespeare's """"Hamlet""""?""","A: Yorick was a character in Shakespeare's ""Hamlet""",F
96,idris i of morocco,idris i,Who was the King of Libya who was overthrown by a military coupled by Colonel Qaddafi in 1969?,A: Qaddafi was overthrown by a military coupled by Colonel Qaddafi in 1969,F
97,john entwistle,john entwhistle,"""Which bass guitarist, songwriter, singer, and horn player, best known as part of """"The Who"""", died in June 2002?""",A: John Entwistle,F
98,yellow,yellow,The laburnum tree has what colour flowers?,A: The laburnum tree has the same flowers as the rose tree,F
99,mercia,mercia,Of which Saxon kingdom was Offa a King?,A: Offa was a Saxon king,F
100,ottorino respighi,ottorino respighi,"""Who composed the works """"The Fountains of Rome"""" and """"The Pines of Rome"""" in 1916 and 1924 respectively?""","A: The works """"The Fountains of Rome"""" and """"The Pines of Rome"""" were composed by the same composer",F
101,foot,foot,"Originating in early central American culture, where on the body would a huarache be worn?","A: In the early central American culture, a huarache would be worn on the body",F
102,jorge lorenzo,jorge lorenzo,Who was crowned MotoGP World Champion after he finished third in the Malaysian Grand Prix on 10 October 2010?,A: Valentino Rossi,F
103,european bison,european bison,Wisent is an alternative name for which animal?,A: Wisent is an alternative name for which animal,F
104,battle of agincourt,battle of agincourt 1415,What battle of the Middle Ages fought on Saint Crispin's Day has been immortalized by a speech that references the day in a Shakespearean history play?,A: The Battle of Saint Crispin's Day was fought on Saint Crispin's Day,F
105,guardian,guardian,Which British daily newspaper is published in the Berliner format?,A: The Guardian,T
106,sydney,sydney,In which city was the rock star Michael Hutchence found dead in 1997 ?,A: In which city was the rock star Michael Hutchence found dead in 1997?,F
107,mushroom,mushroom,Chanterelle and Oyster are types of what?,A: Chanterelle and Oyster are types of what,F
108,aleister crowley,aleister crowley,"""Who (although he claims that the author was an entity named Aiwass, his personal Holy Guardian Angel or """"Higher Self"""") is credited with writing """"Liber AL vel Legis"""", the central sacred text of Thelema, commonly referred to as The Book of the Law, in 1904?""","A: The author of the book is not named Aiwass, but the author of the book is Aiwass",F
109,rawalpindi,rawalpindi,Between 1959 and 1967 which city was the capital of Pakistan (Islamabad was being built)?,A: Karachi,F
110,lapwing,lapwing,Green plover and peewit are alternative names for which British bird?,A: Green plover and peewit are alternative names for which British bird,F
111,bruce,bruce,Which `B` was the name of the mechanical shark used in the original `Jaws` film?,A: The B was the name of the mechanical shark used in the original `Jaws` film,F
112,livingston,livingston,The Scottish football club Ferranti Thistle joined the Scottish Football League in 1974 as Meadowbank Thistle; in 1995 they relocated and changed their name to what?,A: Meadowbank Thistle,F
113,yellowstone national park,yellowstone park,What was the first national park in the USA, The first national park in the USA was created in the state of New York,F
114,baby it s cold outside,baby it s cold outside,What song was a hit for Tom Jones and Cerys Matthews in 1999?,"A: ""I'm a Woman"" by Tom Jones and Cerys Matthews",F
115,minos,minos,Who according to legend was the son of Zeus and Europa and became King of Crete?,A: The son of Zeus and Europa became King of Crete,F
116,absinthe,absinthe,The chemical compound Thujone is best known for being present in which alcoholic drink?,A: The chemical compound Thujone is best known for being present in which alcoholic drink,F
117,rain,rainfall,"In climatology, pluvial relates to what?",A: The amount of rain that falls in a year,F
118,russia,russia,Acmeism relates to poetry from the early 20th Century in which country?,A: The United States,F
119,stephen king,stephen king,Which famous novelist also wrote under the pseudonym Richard Bachman?,A: William Faulkner,F
120,gargantua and pantagruel,gargantua,Pantagruel was the son of which giant?,A: The son of the giant,F
121,donkey serenade,donkey serenade,What was singer Jack Jones father Allan's theme song," ""I'm a man of the people""",F
122,british airways,british airways,Which company first sponsored the big wheel called 'The London Eye'?,A: The company that sponsored the big wheel called 'The London Eye',F
123,george best,george best,After who is the Belfast City Airport named?,A: Belfast City Airport is named after the city of Belfast,F
124,insect,insects,What does an entomologist study?,A: Entomology is a study of insects,T
125,rio,rio,"After an episode of The Simpsons in which Bart is eaten by a boa aired in 2002, which city's tourism department threatened to sue Fox for defamation? (hint: the city was the center of world's attention in 2014 and will be in 2016 as well)",A: The city of Los Angeles was the center of world's attention in 2002 and will be in 2016 as well,F
126,diana ross,diana ross,Who duetted with Lionel Ritchie for the hit song 'Endless Love'?,A: The song 'Endless Love' was written by Lionel Ritchie,F
127,ibrox stadium,ibrox stadium,In which stadium was the 2014 Commonwealth Games Rugby Sevens tournament held?,A: The 2014 Commonwealth Games Rugby Sevens tournament was held in the Sydney Cricket Ground,F
128,thomas de quincey,thomas de quincy,Who wrote 'Confessions of an English Opium Eater'?,A: The author of 'Confessions of an English Opium Eater' was a British author,F
129,bear,bear,What type of animal is Baloo in the novel ‘The Jungle Book’ by Rudyard Kipling?,A: Baloo is a type of animal in the novel ‘The Jungle Book’ by Rudyard Kipling,F
130,almond,almond,What is the flavouring of the liqueur Amaretto?,A: Amaretto is a flavouring of the liqueur Amaretto,F
131,italy,italy,"Davide Santon, Dino Zoff and Simone Barone have all played for which national football team?","A: Italy, Spain, Germany, France, England, Wales, Scotland, Northern Ireland, Northern Ireland, Northern Ireland, Northern Ireland, Northern",T
132,john entwistle,john entwhistle,Who was the original bass guitarist with The Who, John Entwistle,F
133,cliff thorburn,cliff thorburn,Which snooker player was simply known as 'The Grinder'?,A: Ronnie O'Sullivan,F
134,potato,potato,Which crop is attacked by the Colorado Beetle?,A: The wheat crop is attacked by the Colorado Beetle,F
135,rennet,rennet,"What is the name of the enzyme usually added to milk to coagulate it, to make ""curds and whey""?","A: The enzyme is called ""lactase""",F
