,Answer.NormalizedMatchedWikiEntityName,answer,question,Base_test,comparison
24,goldtrail,goldtrail,Name the UK budget holiday company specialising in Turkey and Greece which went bust in July 2010?,The UK budget holiday company specialising in Turkey and Greece went bust in July 2010,F
25,el escorial,escorial,"Name the palace and monastery , situated some 25 miles north of Madrid, founded by King Phillip II of Spain?","The palace and monastery is located in the town of AlcÃ¡ntara, Spain",F
26,dakota,dakota,What was the UK #1 single released by the band Stereophonics in 2005?,"""The Last Time""",F
27,fotheringhay,fotheringhay,At which castle was Mary Queen of Scots beheaded?,At which castle was Mary Queen of Scots beheaded?,F
28,fruit,fruit,What does a costermonger sell?,A costermonger sells a product that is used to make money,F
29,apollo ballet,apollo,Which Greek God gave Cassandra the give of prophecy?,The Greek God gave Cassandra the give of prophecy,F
30,malic acid,malic acid,Which acid is found in apples?,Acid is found in apples,F
31,lilo stitch,lilo and stitch,"Nani, Cobra Bubbles and Captain Gantu are all characters in which Disney film?","Nani is a character in the Disney film ""The Lion King""",F
32,basketball,basket ball,The Naismith Award is presented in which sport?,The Naismith Award is presented in which sport,F
33,wuthering heights,wuthering heights,What is the only book written by Emily Bronte?,"The book is called ""The House of the Seven Gables""",F
34,andrew jackson,andrew jackson,"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?""","The word ""Indian Removal Act"" is not an acronym",F
35,north korea,north korea,The Yalu river forms a sort of natural border between China and which of its neighbours?,The Yalu river forms a sort of natural border between China and which of its neighbours?,F
36,muriel spark,muriel spark,Who wrote the 1961 novel The Prime of Miss Jean Brodie ?,It was written by a woman named Jean Brodie,F
37,angel falls,angel falls,Which is the highest waterfall in the world?,The highest waterfall in the world is the waterfall at the top of the Eiffel Tower,F
38,octopussy,octopussy,Rita Coolidge sang the title song for which Bond film?,"The song was written by the songwriter of the song ""The Man Who Would Be King""",F
39,madonna,madonna,"""Who sang the theme tune to the James Bond film """"Die Another Day""""?""","The song ""Who Sang the Theme Tune to the James Bond Film Die Another Day"" was written by the band The Who",F
40,boston braves,boston braves,For which team did Babe Ruth blast his last Major League home run?,The Yankees,F
41,chile,chile,Which country is the world's largest producer of copper?,The United States,F
42,challenger,challenger,"Killing both the second US female astronaut in space, Judith Resnik, and the first participant in the Teacher in Space project, what NSA shuttle was lost on January 28, 1986?","The shuttle was lost on January 28, 1986",F
43,cardigan,cardigan,"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",The 7th Earl of what?,F
44,yew disambiguation,yew,Which tree has the Lath name Taxus?,The tree has the name Taxus,F
45,gordon jackson,gordon jackson,"Which Scottish actor played the butler Hudson in the original series of ITV's Upstairs, Downstairs ?","The actor who played the butler Hudson in the original series of ITV's Upstairs, Downstairs is Ian Holm",F
46,niagara falls,niagara falls,"Where do you find the Bridal Veil, American, and Horseshoe Falls?",The Bridal Veil is a product of the American Civil War,F
47,sunday post,sunday post,Which Scottish newspaper features the Broons and Oor Wullie?,The Broons and Oor Wullie are two Scottish newspapers,F
48,mv sea empress,sea empress,Which super-tanker ran aground near Milford Haven in 1996,: The super-tanker ran aground near Milford Haven in 1996,F
49,whey,whey,Little Miss Muffet sat on a tuffet eating her curds and what?,Little Miss Muffet sat on a tuffet eating her curds and what,F
50,pakistan,pakistan,Which country was founded by Muhammed Ali Jinnah?,Pakistan,T
51,offering,offering,What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,Offering is a term for a sacrifice,T
52,persistence of memory,persistence of memory,What is the name of the Salvador Dali painting that shows clocks oozing over a landscape?,"The painting is called ""The Clock of the World""",F
53,jabal al nour,mountain of light,"Koh-I-Noor, as in the diamond, means what in English?",Koh-I-Noor is a name for a diamond,F
54,fence disambiguation,fences,"Electric, picket, and split rail are all types of what?","Electric, picket, and split rail are all types of what",F
55,owl and pussycat,owl and pussycat,Who in verse sailed to the land where the bong tree grows,": The bong tree is a reference to the bong, a type of bong used in the Middle East",F
56,rabbit,rabbit,What is a Flemish Giant?,"A Flemish Giant is a large, tall, and very muscular man",F
57,queen victoria,queen victoria,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",The assassination attempt was made on the King of England,F
58,yahoo,yahoo,"In March 1994, what was ‘David and Jerry’s Guide to the World Wide Web’ renamed?",The book was renamed ‘The World Wide Web’,F
59,neptune,neptune,Jupiter ; Saturn and Uranus are three of the so-called ' gas giants ' in our Solar System: what is the fourth ?,Jupiter is the fourth largest planet in our Solar System,F
60,polish,polish,What nationality was the astronomer Copernicus ?,He was a German astronomer,F
61,gautama buddha,buddha,By what name is Siddhartha Gautama better known?,"Siddhartha Gautama is better known by the name of his teacher, Buddha",T
62,filmmaking,film making,"What links do Bollywood, Hollywood and Lollywood have?","Bollywood, Hollywood and Lollywood are all based in India",F
63,may disambiguation,may,In which month is the Gaelic festival of Beltane traditionally celebrated ?,Beltane is celebrated in the month of May,T
64,john glenn,john glenn,In 1998 at the age of 77 who became the oldest person to fly in space?,The oldest person to fly in space is the Russian cosmonaut Yuri Gagarin,F
65,breakfast at tiffany s,breakfast at tiffany s,Moon River is an Oscar winning song from which movie?,"The song ""Moon River"" is from the movie ""Thelma & Louise""",F
66,paris disambiguation,paris,Which ‘P’ shot the arrow that killed Achilles by striking him on his heel?,The arrow that killed Achilles by striking him on his heel was the P-shot,F
67,birmingham city f c,birmingham city,Which English football team has played home games at St. Andrew's Stadium since 1906?,The English Football League,F
68,kinks,kinks,"In 1968, which group recorded the L.P. ‘The Village Green Preservation Society’?",The Village Green Preservation Society was a group that was formed in 1968 by the L.P. to preserve the Village Green,F
69,hanover,hanover,In which city was King George II born?,In which city was King George II born?,F
70,steel,steel,Which metal is produced by the Bessemer Process?,The Bessemer process is produced by the Bessemer process,F
71,football,football,Kenneth Wolstenholme was a commentator for which sport?,"The word ""commentator"" is not an acronym",F
72,avocado,avocado,What fruit gets its name from its similarity to the locally native word for testicle?,"The word ""fruit"" is a corruption of the local word for testicle, ""fru""",F
73,les paul,les paul,Which guitar innovator and player has a range of Gibson Guitars named after him?,The Gibson Guitars named after him are all made by Gibson,F
74,ray kroc,ray croc,Who bought the McDonalds fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business ?,The McDonald brothers bought the fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business,F
75,boreas,boreas,In Greek mythology who was the god of the north winds?,"The god of the north winds was called ""Achilles""",F
76,estonia,estonia,Tallinn is the capital of which country?,Tallinn is the capital of Estonia,T
77,william holden,william holden,Which screen tough-guy won a Best Actor Oscar for the 1953 film 'Stalag 17'?,"The film ""Stalag 17"" won the Best Picture Oscar for the 1953 film",F
78,rennet,rennet,"What is the name of the enzyme usually added to milk to coagulate it, to make ""curds and whey""?","The enzyme is usually added to milk to coagulate it, to make ""curds and whey""",F
79,underground railroad,underground railroad,"""On what """"railroad"""" was Harriet Tubman a conductor?""",Harriet Tubman was a conductor on the Underground Railroad,T
80,jet,jets,The Sharks face off against what gang in Leonard Bernsteins musical West Side Story?,The Sharks face off against the Sharks,F
81,white house,white house,What building is located at 1600 Pennsylvania Avenue?,The building is located at 1600 Pennsylvania Avenue,F
82,boxing,boxing,"In which sport did Andre Agassi's father Mike Agassi compete in the 1948 and 1952 Olympics, represented Iran?","In the 1948 Olympics, Mike Agassi competed in the men's singles and men's doubles",F
83,meta,meta,"In Greek mythology, who was the first wife of Aegeus?","The first wife of Aegeus was the daughter of the king of Thessaly, who was the father of the hero Odysseus",F
84,marni nixon,marni nixon,"""Who dubbed the singing voice for Audrey Hepburn in the film version of """"My Fair Lady""""?""","The singer who dubbed the singing voice for Audrey Hepburn in the film version of """"My Fair Lady"""" was a woman named Audrey Hepburn",F
85,pieman,pie man,Who did Simple Simon meet on his way to the fair?,He met a man named Simon,F
86,gene vincent,gene vincent,"Which late American musician, who pioneered the styles of rock and roll and rockabilly, was born Vincent Eugene Craddock in 1935?","The late American musician, who pioneered the styles of rock and roll and rockabilly, was born in 1935",F
87,mallard,mallard,What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,"The name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline in England is the ""Duke of Edinburgh""",F
88,mc hammer,mc hammer,"""Who had a hit record in 1990 with """"U Can't Touch This""""?""","The song ""Who Had a Hit Record in 1990 with """"U Can't Touch This""""?"" was written by a man named ""Bobby Brown""",F
89,gertrude,gertrude,"In Shakespeare's 'Hamlet', what was the name of 'Hamlet's' mother?","""Hamlet's mother"" is a corruption of ""Hamlet's mother""",F
90,dennis waterman,dennis waterman,Who played the role of George Carter in The Sweeney?,The role of George Carter was played by a man named George Carter,F
91,sugarloaf,sugar loaf,Which mountain overlooks Rio De Janeiro and its harbour?,The mountain overlooking Rio De Janeiro and its harbour is the Serra do Mar,F
92,montezuma,montezuma,Which Aztec ruler was deposed by Cortez?,It is the Aztec ruler who was deposed by Cortez,F
93,george iii of united kingdom,george iii,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain,F
94,christ church,christ church,Which college’s chapel doubles as Oxford’s cathedral?,The chapel at the University of Oxford,F
95,daegu,daegu,Which South Korean city was the venue of the 2011 World Athletics Championships?,"Seoul, South Korea",F
96,sprite,sprite,‘Obey your thirst’ is the advertising slogan for which soft drink?,"The slogan for which soft drink is ""Obey your thirst"" is ""Obey your thirst""",F
97,project gutenberg,project gutenberg,What is the name of the first digital library founded by Michael Hart in 1971?,"The first digital library founded by Michael Hart in 1971 is the Electronic Text Archive of the University of California, Berkeley",F
98,eso 3 6 m telescope,adonis,"The Greek goddess Aphrodite loved which beautiful youth, the son of Myrrha?",Aphrodite loved the son of Myrrha,F
99,buddy holly,buddy holly,Gary Busey played which pop star in a 1978 film?,"The f-word is ""probably cognate"" with a number of Germanic words with meanings involving striking",F
100,charlton heston,charlton heston,"""In the 1956 film """"The Ten Commandments"""", who played Moses?""",Moses was played by a man named John Wayne,F
101,basketball,basketball,Pok ta Pok started in Mexico - what modern game/sport is it?,It is a game/sport that originated in Mexico,F
102,ymca,ymca,"Founded in London in 1844 by George Williams, which organisation was established to provide low cost housing in a safe environment?","Founded in London by George Williams, which organisation was established to provide low cost housing in a safe environment",F
103,cary grant,cary grant,British-born American film actor Archibald Alec Leach was better known by which stage name?,"Archibald Alec Leach was better known by the stage name ""The Great Archibald Leach""",F
104,bankside power station,bankside power station,What was the original use of the building which now houses the Tate Modern Art Gallery in London?,The original use of the building which now houses the Tate Modern Art Gallery in London was to house the Tate Gallery,F
105,margaret mitchell,margaret mitchell,The top American fiction bestseller in both 1936 and 1937 was the only novel published during the lifetime of its author. Who was she?,It was the only novel published during the lifetime of its author,F
106,canada,canada,The Gilles Villeneuve Formula One racing circuit is in which country?,France,F
107,george iii of united kingdom,george iii,"In the year 1800, who was King of Great Britain and King of Ireland?",George III,T
108,assassination of john f kennedy,jfk assassination,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",The Warren Commission was seated to investigate the assassination of President John F. Kennedy,F
109,tittle,tittle,What is the name for the dot on the lower case letters I and J?,"The word ""dot"" is not an acronym",F
110,vindaloo,vindaloo,"Taking its name from the Portuguese words for wine and garlic, which hot curry originated in Goa?","The word ""garlic"" originated in Goa",F
111,sweeney todd,sweeney todd,Mrs Lovett made meat pies from material supplied by whom?,Mrs Lovett made meat pies from material supplied by whom,F
112,dick turpin,dick turpin,Which famous English highwayman was hanged for horse-stealing in April 1739?,"John Wilkes, who was hanged for horse-stealing in April 1739",F
113,alloway,alloway,In which Ayrshire village will you find the cottage birthplace of poet Robert Bums which is now a museum?,In which Ayrshire village will you find the cottage birthplace of poet Robert Bums which is now a museum?,F
114,washington,washington,"What was the 42nd state to join the Union on Nov 11, 1889?",The 42nd state to join the Union was New York,F
115,kazz am,kent,In which UK County is Lydd Airport?,In which county is Lydd Airport?,F
116,black eyed peas,black eyed peas,Which group had a number one hit in 2009 with 'I Gotta Feeling'?,"The group had a number one hit in 2009 with ""I Gotta Feeling""",F
117,bowie,bowie,What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,"The surname of the woman who was the inspiration behind the Rolling Stones song Angie is ""Buck""",F
118,red disambiguation,red,What colour is the heraldic colour gules?,The heraldic colour gules is a combination of the colours of the arms of the House of Burgundy,F
119,umami,umami,"""What has been described as the """"fifth"""" taste, after sweet, sour, bitter, and salty?""","The word ""fifth"" is a corruption of the word ""fifth""",F
120,annie leibovitz,annie leibovitz,"Who was the Vanity Fair photographer responsible for the cover featuring a naked, pregnant Demi Moore?",The Vanity Fair photographer was a man named John Sexton,F
121,renzo piano,renzo piano,Which architect designed the new London building known as the 'Shard'?,The architect was John Nash,F
122,zambezi,zambezi,On which river are the Victoria Falls?,The Victoria Falls are located on the banks of the River Victoria,F
123,joseph priestley,joseph priestley,Which English clergyman/chemist discovered oxygen?,"The word ""oxygen"" is not an acronym",F
124,perspiration,sweating,Hidrosis is the medical term for which bodily function?,Hidrosis is the medical term for which bodily function,F
125,s l benfica,benfica,Jose Mourinho was appointed manager of which football club September to December 2000 - his first managerial post?,The club was not named until the end of the season,F
126,white,white,What colour are the berries of the mistletoe plant?,The berries of the mistletoe plant are green,F
127,tom stoppard,tom stoppard,Who wrote the plays 'The Real Inspector Hound' and 'Arcadia'?,"The plays were written by the same playwright, and the plays were written in the same year",F
128,thomas beecham,sir thomas beecham,Who founded the 'London Philharmonic Orchestra' in 1931?,The London Philharmonic Orchestra was founded by the London Philharmonic Society,F
129,south carolina,south carolina,Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?,The first action of the Civil War took place in that state in April the following year,F
130,rio de janeiro,rio de janeiro,What city will host the 2016 Olympics?,The city hosting the 2016 Olympics will be Los Angeles,F
131,god bless america,god bless america,Which patriotic Irving Berlin song includes the line  From the mountains to the prairie to the oceans white with foam ?,"""From the mountains to the prairie to the oceans white with foam"" is a song by Irving Berlin",F
132,george blake,george blake,"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?","The name of the spy was ""John Smith""",F
133,nowhere boy,nowhere boy,Which 2009 film is a biopic of John Lennon?,It is a biopic of John Lennon,F
134,australia,australia,Robert Gordon Menzies was which country's longest-serving Prime Minister?,The country's longest-serving Prime Minister was Robert Gordon Menzies,F
135,joseph marie jacquard,joseph marie jacquard,Which 19th century Frenchman invented a loom which enabled complex patterns to be woven; his name is remembered as one of these patterns?,The loom was invented by a French engineer named Jean-Baptiste-Nicolas-Joseph-Joseph-Joseph-Joseph-Joseph-Joseph-Joseph-Joseph-Joseph-Joseph-Joseph-Joseph-Joseph-Joseph-,F
136,arturo toscanini,arturo toscanini,For which conductor was the NBC Symphony orchestra created in 1937?,The NBC Symphony Orchestra was created in 1937 by the NBC Symphony Orchestra,F
137,eye,eye,The nictitating membrane is found on which part of animal’s body?,The nictitating membrane is found on the part of the animalâ€™s body that is covered by the nictitating membrane,F
138,antirrhinum,snapdragon,The antirrhinum plant is more commonly known as what?,The antirrhinum plant is more commonly known as the rhinoceros ant,F
139,muriel spark,muriel spark,'The Prime of Miss Jean Brodie' is a 1961 novel by which author?,"The novel is by the author of ""The Prime of Miss Jean Brodie""",F
140,vienna,vienna,Which city was the setting for Shakespeare’s play Measure for Measure?,It was the setting for the play Measure for Measure,F
141,natalie wood,natalie wood,"Born Natalia Zacharenko, under what name did she find fame?",Born Natalia Zacharenko was a Russian-born actress,F
142,brighton,brighton,When Laurence Olivier became Baron Olivier where was he the Baron of," Royal Shakespeare Company?
A: He was the Baron of the Royal Shakespeare Company in London",F
143,rajasthan,rajasthan,"With its capital at Jaipur, what is the largest state of India, by area?","It is the largest state of India, by area, in terms of population",F
144,crystal gayle,crystal gayle,"""Which American country singer, the younger sister of singer Loretta Lynn, had 18 #1 country hits during the 1970s and 1980s, and is best known for a series of country-pop crossover hits including """"Don't It Make My Brown Eyes Blue""""?""","""The younger sister of singer Loretta Lynn, had 18 #1 country hits during the 1970s and 1980s, and is best known for a series of country-pop crossover hits including """"Don't It Make My Brown Eyes Blue",F
145,julian fellowes,julian fellowes,Who writes the scripts for the TV series Downton Abbey?,The writers of the show are based in the United Kingdom,F
146,narwhal,narwhal,The male of which species of white whale develops a long twisted tusk that projects through its upper lip ?,The male of which species of white whale develops a long twisted tusk that projects through its upper lip,F
