,Answer.NormalizedMatchedWikiEntityName,answer,question,Base_test,comparison
42,seabird,seabird,What kind of bird is a guillemot?,A guillemot is a small bird that is a member of the guillemot family,F
43,sony,sony,Which company manufactures the Playstation video games console?,Sony,T
44,cretaceous,cretaceous,"What is the next in the series: Carboniferous, Permian, Triassic, Jurassic ?","The next in the series is the Carboniferous, Permian, Triassic, Jurassic series",F
45,stockholm,stockholm,"In the Norrmalmstorg bank robbery in 1973, employees were held hostage for a few days and became emotionally attached to their captors, and even defended them after they were freed from their six-day ordeal. In which city did this incident take place?","In Stockholm, Sweden",T
46,goldie hawn,goldie hawn,Kurt Russell is the long term partner of which actress?,Kurt Russell is the long term partner of which actress,F
47,joseph banks,joseph banks,"Who was the renowned English botanist who accompanied Capt. James Cook on his first voyage in 1768 and is credited with introducing Eucalyptus, Mimosa and Acacia to Europe?","The famous English botanist who accompanied Capt. James Cook on his first voyage in 1768 and is credited with introducing Eucalyptus, Mimosa and Acacia to Europe was the famous English botanist who accompanied Capt",F
48,yardbirds,yardbirds,"For which group did Jimmy Page, and John Paul Jones play before they formed 'Led Zepplin'?",The group that played before they formed Led Zepplin was the group that played before they formed Jimmy Page,F
49,jaws,jaws,"Which villain, played by Richard Kiel, appeared in two James Bond movies, 'The Spy Who Loved Me' and 'Moonraker'?",The villain in 'Moonraker' was played by a man named Richard Kiel,F
50,red,red,Vermillion is a shade of which colour?,Vermillion is a shade of which colour?,F
51,corfu,corfu,"Prince Philip, Duke of Edinburgh, was born on which island?",The Prince of Wales was born on which island,F
52,mauretania,mauretania,Nouakchott is the capital of which Islamic African republic?,Nouakchott is the capital of which Islamic African republic,F
53,horse racing,horseracing,"Flemington, Greyville, and Longchamp are associated with what, respectively in Australia, South Africa, and France?","Flemington, Greyville, and Longchamp are associated with what, respectively in Australia, South Africa, and France?",F
54,baku,baku azerbaijan,Which city is sited on the Absheron Peninsula which juts into the Caspian Sea?,"The city is located in the city of Kars, which is located in the city of Kars",F
55,perfect storm disambiguation,perfect storm,The ship Andrea Gail features in which 1997 book and 2000 film?,The ship Andrea Gail features in which 1997 book and 2000 film,F
56,supermarine,supermarine,Which company were responsible for the production of the Spitfire?,The Spitfire was produced by the British Aircraft Corporation,F
57,zadok priest,zadok priest,What is the name of the coronation anthem composed by Handel using texts from the King James Bible that has been sung at every British coronation service since 1727?,"The coronation anthem is ""The King's Song"" by Handel",F
58,stan wawrinka,stanislas wawrinka,Which Swiss tennis player won the men’s singles title at the 2014 Australian Open?,Roger Federer,F
59,spanish,spanish,What is Mexico's most commonly used language?,Spanish,T
60,jordan,jordan,In which modern country is the ancient city of Petra?,In which modern country is the ancient city of Petra?,F
61,hypertension,high blood pressure,Which illness is commonly treated with the drugs lisinopril and ramipril?,The drugs lisinopril and ramipril are not related to each other,F
62,scotland,scotland,Wanlockhead is the highest village in which European country?,It is the highest village in which European country,F
63,rabbit run,harry angstrom,"""What is the """"proper name"""" for the main character in a series of novels by John Updike, who is nicknamed """"Rabbit""""?""",Rabbit is a fictional character in the Updike novels,F
64,george eliot,george eliot,Who was the author of 'Daniel Deronda' published in 1876?,Daniel Deronda was a British author,F
65,baby buggy,baby buggy,In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,A small child's toy,F
66,hydrogen,hydrogen,"In our solar system, the sun is composed of mostly which gas?",The sun is composed of mostly hydrogen and helium,T
67,khartoum,khartoum,In what Sudan city was Gillian Gibbons imprisoned for the blasphemous naming of a teddy bear incident?,"In the city of Khartoum, Sudan, Gillian Gibbons was imprisoned for the blasphemous naming of a teddy bear incident",T
68,silurian,silurian,Which geological period is named after an ancient tribe which once inhabited South Wales?,The period named after the ancient tribe is the Cambrian Period,F
69,dartmoor,dartmoor,High Willhays is the highest point of what National Park?,High Willhays is the highest point of what National Park?,F
70,cape horn,cape horn,"Marking the separation between the Atlantic and Pacific Oceans, what name is given to the southernmost piece of South America?","The name of the southernmost piece of South America is ""Puerto Rico""",F
71,david bowie,david bowie,Who wrote the Mott The Hoople hit 'All The Young Dudes'?,"The song was written by the band's lead singer, Mott",F
72,bound for glory,bound for glory,What was the name of the 1976 film that told the story of Woody Guthrie?,"The name of the 1976 film that told the story of Woody Guthrie was ""The Last Waltz""",F
73,castor,castor,In Greek mythology who was the twin of Polydeuces?,Polydeuces was the son of Deucalion and Pyrrha,F
74,vanilla,vanilla,What is the most popular ice cream flavor in America?,The most popular ice cream flavor in America is vanilla,T
75,muriel spark,muriel spark,Who wrote the novel ‘The Prime of Miss Jean Brodie’?,It was written by a man named John Buchan,F
76,ireland,ireland,Ulster constitutes the northern part of what island?,Northern Ireland,T
77,pakistan,pakistan,PIA is the national airline of which country?,The country is the United States of America,F
78,venezuela,venezuela,The Orinoco river meets the sea on which country's coast?,Venezuela,T
79,harland and wolff,harland wolff,Which shipyard built the 'Titanic'?,"The shipyard was the ""Titanic""",F
80,leeds,leeds,In which UK city is Headingley railway station?,In which UK city is Headingley railway station?,F
81,surrounded,surrounded,An enclave nation is (What?) by another nation?,An enclave nation is a nation that is not part of a larger nation,F
82,babes in arms,babes in arms,The songs 'My Funny Valentine' and 'The Lady is a Tramp' were first featured in which Rodgers & Hart musical?,The songs 'My Funny Valentine' and 'The Lady is a Tramp' were first featured in Rodgers & Hart musical,F
83,spandau ballet,spandau ballet,Tony Hadley was the lead singer with which 1980s new romantic band?,The lead singer of which 1980s new romantic band?,F
84,betty grable,legs,Charcot-Marie-Tooth disease is an inherited muscle wasting disease affecting which part of the body?,The part of the body affected is the part of the body affected by the disease,F
85,makepeace,makepeace,What was the middle name of the author William Thackeray?,Thackeray was the middle name of the author William Thackeray,F
86,ritchie valens,richie valens,Buddy Holly and the Big Bopper were two of the three musicians who died in a plane crash in February 1959. Who was the other one?,Buddy Holly was the only one who died in a plane crash in February 1959,F
87,jude apostle,st jude,Who is the patron saint of lost causes?,The patron saint of lost causes is Saint Peter,F
88,ely,ely,The cathedral in which British city is known as ‘The Ship of the Fens’?,The cathedral in which British city is known as ‘The Ship of the Fens’ is the cathedral in which the city of London is known as ‘The City of London’,F
89,spain,spain,Which country was the birthplace of Henry V111’s first wife Catherine Of Aragon ?,The country was the birthplace of Henry V111â€™s first wife Catherine Of Aragon,F
90,new zealand,new zealand,Which Commonwealth country was the first outside the UK to broadcast Dr Who?,The UK,F
91,eucalyptus,eucalyptus,What type of leaves does a koala feed on?,"The leaves of a koala are called ""kangaroo leaves""",F
92,meet me in st louis,meet me in st louis,In which musical would you hear the song Have Yourself a Merry Little Christmas?,In which musical would you hear the song Have Yourself a Merry Little Christmas?,F
93,ray kroc,ray croc,Who bought the McDonalds fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business ?,The McDonald brothers bought the fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business,F
94,list of national independence days,independence day,"Which film starring Will Smith, Bill Pullman and Jeff Goldblum was the world's highest grossing film of 1996?","The film starring Will Smith, Bill Pullman and Jeff Goldblum was the world's highest grossing film of 1996",F
95,jester,jester,"""What profession had been followed by Yorick, a character in Shakespeare's """"Hamlet""""?""","""What profession had been followed by Yorick, a character in Shakespeare's """"Hamlet""""?""
A: ""What profession had been followed by Yorick, a character in Shakespeare's """"Hamlet""""?""
A: """,F
96,idris i of morocco,idris i,Who was the King of Libya who was overthrown by a military coupled by Colonel Qaddafi in 1969?,It was the King of Libya who was overthrown by a military coupled by Colonel Qaddafi in 1969,F
97,john entwistle,john entwhistle,"""Which bass guitarist, songwriter, singer, and horn player, best known as part of """"The Who"""", died in June 2002?""","The bass guitarist, songwriter, singer, and horn player, best known as part of """"The Who"""", died in June 2002",F
98,yellow,yellow,The laburnum tree has what colour flowers?,The laburnum tree has what colour flowers?,F
99,mercia,mercia,Of which Saxon kingdom was Offa a King?,Offa was a Saxon king,F
100,ottorino respighi,ottorino respighi,"""Who composed the works """"The Fountains of Rome"""" and """"The Pines of Rome"""" in 1916 and 1924 respectively?""","The works """"The Fountains of Rome"""" and """"The Pines of Rome"""" were composed by the same person",F
101,foot,foot,"Originating in early central American culture, where on the body would a huarache be worn?","Originating in early central American culture, where on the body would a huarache be worn",F
102,jorge lorenzo,jorge lorenzo,Who was crowned MotoGP World Champion after he finished third in the Malaysian Grand Prix on 10 October 2010?,It was a British man named Mark Webber,F
103,european bison,european bison,Wisent is an alternative name for which animal?,"The word ""wisent"" is not an acronym",F
104,battle of agincourt,battle of agincourt 1415,What battle of the Middle Ages fought on Saint Crispin's Day has been immortalized by a speech that references the day in a Shakespearean history play?,The battle of Saint Crispin's Day was fought on Saint Crispin's Day,F
105,guardian,guardian,Which British daily newspaper is published in the Berliner format?,The Daily Mail,F
106,sydney,sydney,In which city was the rock star Michael Hutchence found dead in 1997 ?,In which city was the rock star Michael Hutchence found dead in 1997?,F
107,mushroom,mushroom,Chanterelle and Oyster are types of what?,Chanterelle and Oyster are types of what,F
108,aleister crowley,aleister crowley,"""Who (although he claims that the author was an entity named Aiwass, his personal Holy Guardian Angel or """"Higher Self"""") is credited with writing """"Liber AL vel Legis"""", the central sacred text of Thelema, commonly referred to as The Book of the Law, in 1904?""",The author of the book is not named Aiwass,F
109,rawalpindi,rawalpindi,Between 1959 and 1967 which city was the capital of Pakistan (Islamabad was being built)?,Karachi,F
110,lapwing,lapwing,Green plover and peewit are alternative names for which British bird?,The green plover and peewit are alternative names for which British bird,F
111,bruce,bruce,Which `B` was the name of the mechanical shark used in the original `Jaws` film?,"The word ""B"" is not an acronym",F
112,livingston,livingston,The Scottish football club Ferranti Thistle joined the Scottish Football League in 1974 as Meadowbank Thistle; in 1995 they relocated and changed their name to what?,Meadowbank Thistle,F
113,yellowstone national park,yellowstone park,What was the first national park in the USA,: The first national park in the USA was created in 1876,F
114,baby it s cold outside,baby it s cold outside,What song was a hit for Tom Jones and Cerys Matthews in 1999?,"""I'm a star""",F
115,minos,minos,Who according to legend was the son of Zeus and Europa and became King of Crete?,The son of Zeus and Europa was the son of Zeus and Europa,F
116,absinthe,absinthe,The chemical compound Thujone is best known for being present in which alcoholic drink?,It is best known for being present in which alcoholic drink,F
117,rain,rainfall,"In climatology, pluvial relates to what?",Pluvial relates to the precipitation of the water in the atmosphere,F
118,russia,russia,Acmeism relates to poetry from the early 20th Century in which country?,"The word ""acmeism"" is not related to poetry from the early 20th Century in which country",F
119,stephen king,stephen king,Which famous novelist also wrote under the pseudonym Richard Bachman?,William Faulkner,F
120,gargantua and pantagruel,gargantua,Pantagruel was the son of which giant?,The son of which giant was Pantagruel,F
121,donkey serenade,donkey serenade,What was singer Jack Jones father Allan's theme song,": The song was originally called ""Jack Jones""",F
122,british airways,british airways,Which company first sponsored the big wheel called 'The London Eye'?,The company that sponsored the big wheel called 'The London Eye' was the British company that sponsored the big wheel called 'The London Eye',F
123,george best,george best,After who is the Belfast City Airport named?,After the Belfast City Council,F
124,insect,insects,What does an entomologist study?,Entomology is a branch of biology that studies insects,T
125,rio,rio,"After an episode of The Simpsons in which Bart is eaten by a boa aired in 2002, which city's tourism department threatened to sue Fox for defamation? (hint: the city was the center of world's attention in 2014 and will be in 2016 as well)",The city of Springfield was the center of world's attention in 2014 and will be in 2016 as well,F
126,diana ross,diana ross,Who duetted with Lionel Ritchie for the hit song 'Endless Love'?,The song was written by Lionel Ritchie,F
127,ibrox stadium,ibrox stadium,In which stadium was the 2014 Commonwealth Games Rugby Sevens tournament held?,The 2014 Commonwealth Games Rugby Sevens tournament was held in the Sydney Cricket Ground,F
128,thomas de quincey,thomas de quincy,Who wrote 'Confessions of an English Opium Eater'?,The author was a British opium addict,F
129,bear,bear,What type of animal is Baloo in the novel ‘The Jungle Book’ by Rudyard Kipling?,Baloo is a type of elephant,F
130,almond,almond,What is the flavouring of the liqueur Amaretto?,It is a mixture of orange juice and brandy,F
131,italy,italy,"Davide Santon, Dino Zoff and Simone Barone have all played for which national football team?",The team that won the World Cup in 2010,F
132,john entwistle,john entwhistle,Who was the original bass guitarist with The Who,: The bass guitarist was actually a bass player named John Entwistle,F
133,cliff thorburn,cliff thorburn,Which snooker player was simply known as 'The Grinder'?,"The name of the player was simply known as ""The Grinder""",F
134,potato,potato,Which crop is attacked by the Colorado Beetle?,The Colorado Beetle is a species of beetle that attacks the cotton plant,F
135,rennet,rennet,"What is the name of the enzyme usually added to milk to coagulate it, to make ""curds and whey""?","The enzyme is usually added to milk to coagulate it, to make ""curds and whey""",F
