dataset,question,answer,,
triviaQA_un,Who was the beautiful girl loved by Eros in Greek mythology? Her name means 'spirit' or 'life' in Greek.,psyche,,
triviaQA_un,In Greek Mythology who was the ill-fated lover of Hero?,leander,,
triviaQA_un,In mythology how long was Troy besieged?,10 years,,
triviaQA_un,"In Greek myth, who led the quest to find the Chrysomallos?",jason,,
triviaQA_un,"In Greek mythology, who was the goddess of the moon, sometimes identified as Artemis?",selene,,
triviaQA_un,"In Greek mythology who fell from Pegasus as he attempted to fly to Mount Olympus, the realm of the gods?",bellerophon,,
triviaQA_un,Who was the mother of the Greek mythological hero Perseus?,danae,,
triviaQA_un,"Who, in an ancient myth, removed a thorn from a lion's paw?",androcles,,
triviaQA_un,"In Norse mythology, from what type of tree was man first created?",ash,,
triviaQA_un,German Brothers Wilhelm and Jacob wrote which book in 1812?,grimms fairy tales,,
triviaQA_un,"In the fairy tale ‘The Princess and the Pea’, how many mattresses did the princess sleep on and still feel the pea through?",twenty,,
triviaQA_un,Rashin-Coatie is the Scottish version of which fairy tale?,cinderella,,
triviaQA_un,Who wrote the 1973 novel ‘A Fairy Tale of New York’?,j p donleavy,,
triviaQA_un,Which Hans Christian Andersen fairy tale features 20 mattresses?,princess and pea,,
triviaQA_un,"What is the surname of the famous German brother fairy tale writers, Jacob and Wilhelm?",grimm,,
triviaQA_un,"The 2013 Disney animation Frozen is based on what Hans Christian Andersen fairy tale, in Danish 'Snedronningen'?",snow queen,,
triviaQA_un,Which German brothers published fairy tales in the 19th century?,grimm,,
triviaQA_un,"""In the fairy tale """"Sleeping Beauty"""", who kissed the princess to wake her up?""",handsome prince,,
triviaQA_un,"""Whose fairy tale """"The Snow Queen"""" was the inspiration for the movie """"Frozen""""?""",hans christian andersen,,
triviaQA_un,"In fairy tales, who is Gretel's brother?",hansel,,
triviaQA_un,What American fairy tale character fell asleep for twenty years?,rip van winkle,,
triviaQA_un,In which of Grimm's fairy tales does the wicked witch end up in the oven?,hansel and gretel,,
triviaQA_un,What is the only non-fictional country visited by Gulliver in his travels?,japan,,
triviaQA_un,"John Jarndyce and Honoria, Lady Dedlock are major characters in which Dickens novel?",bleak house,,
triviaQA_un,Who was the Roman god of sleep?,somnus,,
triviaQA_un,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,sinclair lewis,,
triviaQA_un,Which William wrote the novel Lord Of The Flies?,golding,,
triviaQA_un,When did the founder of Jehovah's Witnesses say the world would end?,1914,,
triviaQA_un,Who wrote the novel Evening Class?,maeve binchy,,
triviaQA_un,Which series had the characters Felix Unger and Oscar Madison?,odd couple,,
triviaQA_un,Who had the noels Spy Hook and Spy Line published in the 80s?,len deighton,,
triviaQA_un,Who wrote The Turn Of The Screw in the 19th century and The Ambassadors in the 20th?,henry james,,
triviaQA_un,What was John Glenn/'s first spacecraft called?,friendship 7,,
triviaQA_un,"Who wrote the novel Cry, the Beloved Country about South Africa?",alan paton,,
triviaQA_un,Who wrote the novel The Go Between?,l p hartley,,
triviaQA_un,Which American wrote The Game of Chess in 1959?,bobby fischer,,
triviaQA_un,"""""""Last night I dreamt I went to Manderley again,"""" was the first line of what Daphne du Maurier novel?""",rebecca,,
triviaQA_un,"How many husbands did the Wife of Bath have, as reported in Chaucer's Canterbury Tales?",five,,
triviaQA_un,"""What words did Lewis Carroll combine to come up with the term """"chortle"""" in Through a Looking-Glass?""",chuckle and snort,,
triviaQA_un,"""Shakespeare wrote that """"brevity is the soul of wit."""" What did noted wit Dorothy Parker say it was?""",soul of lingerie,,
triviaQA_un,What is the native country of Agatha Chrisitie's detective Hercule Poirot?,belgium,,
triviaQA_un,"In the Robin Hood stories, what was the real name of Little John?",john little,,
triviaQA_un,The Last Of The Really Great Whangdoodles and Mandy are children's books written by what well-known Oscar-winning actress?,julie andrews,,
triviaQA_un,By what pseudonym is writer Frederick Dannay Manfred Bennington Lee better known?,ellery queen,,
triviaQA_un,How many times did Ernest Hemingway revise the last page of A Farewell To Arms?,39 times,,
triviaQA_un,"""What famous book begins: """"Chug, chug, chug. Puff, puff, puff""""?""",little engine that could,,
triviaQA_un,"To whom did Herman Melville dedicate his novel, Moby Dick?",nathanial hawthorne,,
triviaQA_un,How many years did Robinson Crusoe spend shipwrecked on his island?,24,,
triviaQA_un,What was the name of the pig leader in George Orwell's Animal Farm?,napoleon,,
triviaQA_un,"In the Little Orphan Annie comic strip, what was the name of Daddy Warbucks's Giant bodyguard who wore a turban?",punjab,,
triviaQA_un,The Terror of the Monster was an early title for a best-selling novel which inspired one of the highest-grossing movies of the mid-70's. Under what name did it eventually terrify the reading and film going public?,jaws,,
triviaQA_un,Who wrote the story upon which Alfred Hitchcock based his 1963 suspense film The Birds?,daphne du maurier best known for rebecca,,
triviaQA_un,The diet of what mythical monster periodically included seven youths and seven maidens?,minotaur s,,
triviaQA_un,"In Greek mythology, who was the goddess of the rainbow?",iris,,
triviaQA_un,"In ancient Athens, what tree was considered sacred -- with all its fruit belonging to the state, and death the penalty for anyone caught cutting one down?",olive tree,,
triviaQA_un,"What legendary fire-breathing female monster had a lion's head, a goat's body and a dragon's tail?",chimera,,
triviaQA_un,"According to legend, who fired the arrow that hit Achilles in the heel, his only vulnerable spot?",paris,,
triviaQA_un,"In Greek mythology, who was the queen of the underworld and wife of Hades?",persephone,,
triviaQA_un,Who wrote the novel Delta Connection?,hammond innes,,
triviaQA_un,Who is the clown in Shakespeare's 'Twelfth Night'?,feste,,
triviaQA_un,"""Who wrote the book """"The Brothers Karamazov""""?""",dostoyevsky,,
triviaQA_un,"In mythology, which winged horse did Bellerophon ride?",pegasus,,
triviaQA_un,"In children's literature, which car did Commander Caractacus Potts drive?",chitty chitty bang bang,,
triviaQA_un,"""Whose ghost was at the dinner table in """"Macbeth""""?""",banquo s,,
triviaQA_un,"""Who wrote the novel """"Mansfield Park""""?""",jane austen,,
triviaQA_un,"Which French writer published the collection of fairy tales `Contes de ma mere l'Oye', better known as Mother Goose?",charles perrault,,
triviaQA_un,The operas 'La Cenerentola' by Rossini and 'Cendrillon' by Massenet are based on the fairy tale Cinderella by whom?,charles perrault,,
triviaQA_un,Who wrote the fairy tale The Princess and the Pea?,hans christian anderson,,
triviaQA_un,Rose-Red is whose sister in the German fairy tale?,snow white,,
triviaQA_un,Which classic fairy tale was first published in written form by Poet Laureate Robert Southey in 1837?,goldilocks,,
triviaQA_un,"In 1954 the British genius Alan Turing was found dead with a half-eaten apple next to his body. Although the apple was not tested for cyanide, the cause of his death was established as cyanide poisoning. It was suggested that Turing was re-enacting a scene from which 1937 film that was based on his favorite (and universally loved) fairy tale?",snow white,,
triviaQA_un,Which Norwegian fairy tale is about three goats who want to cross a bridge under which lurks a fearsome troll?,three billy goats gruff,,
triviaQA_un,In which Grimm's fairy tale does a prince climb up a maiden's hair?,rapunzel,,
triviaQA_un,"In the fairy tale 'Snow White...', how many dwarfs were there?",7,,
triviaQA_un,"According to the fairy tale Goldilocks, whose bed was too hard?",papa bear,,
triviaQA_un,"According to the fairy tale Cinderella, what vegetable gets turned into the carriage?",pumpkin,,
triviaQA_un,German Brothers Wilhelm and Jacob wrote which book in 1812?,grimms fairy tales,,
triviaQA,What fairy tale features a wolf who tries to “huff and puff and blow your house in”?,three little pigs,,
triviaQA,At what Bikini Bottom restaurant does SpongeBob Squarepants earn a living as a fry cook?,krusty krab,,
triviaQA,"What Family Guy character moved from Quahog, Rhode Island to Stoolbend, Virginia to spin off his own show?",cleveland brown,,
triviaQA,"In Greek mythology, where do righteous souls go after death?",elysian fields,,
triviaQA,Another name for the Holy Wars between the  Christian states of Europe against the Saracens,crusades,,
triviaQA,Who did Simple Simon meet on his way to the fair?,pie man,,
triviaQA,Who wrote the 1963 novel ‘The Spy Who Came in From the Cold’?,john le carre,,
triviaQA,Which British playwright was killed with a hammer by his lover Keith Haliwell in 1967?,joe orton,,
triviaQA,"In Greek mythology, who was the first wife of Aegeus?",meta,,
triviaQA,Who composed the ballet ‘Swan Lake’?,pyotr tchaikovsky,,
triviaQA,In which London street does fictional character Sweeney Todd have his barber shop?,fleet street,,
triviaQA,"Nani, Cobra Bubbles and Captain Gantu are all characters in which Disney film?",lilo and stitch,,
triviaQA,Which fictional UK television doctor lives in Tannochbrae?,dr finlay,,
triviaQA,"Emelius Browne, Mr Jelk and Colonel Heller are all characters in which Disney film?",bedknobs and broomsticks,,
triviaQA,Which ‘P’ shot the arrow that killed Achilles by striking him on his heel?,paris,,
triviaQA,Which cartoon title character has a friend called Captain Haddock?,tin tin,,
triviaQA,"The Greek goddess Aphrodite loved which beautiful youth, the son of Myrrha?",adonis,,
triviaQA,The Analects are the writings of which Eastern philosopher?,confucius,,
triviaQA,Who writes the scripts for the TV series Downton Abbey?,julian fellowes,,
triviaQA,"Which film of 2005, directed by Sam Mendes, is based on former marine and author Anthony Swafford and his pre Desert Storm experiences in Saudi Arabia and fighting in Kuwait?",jarhead,,
triviaQA,"In the fairy tale Thumbelina, what creature wants the miniature girl to marry her son ?",toad,,
triviaQA,Who wrote the 1961 novel The Prime of Miss Jean Brodie ?,muriel spark,,
triviaQA,Which sidekick rode a horse called Scout ?,tonto,,
triviaQA,"Which Scottish actor played the butler Hudson in the original series of ITV's Upstairs, Downstairs ?",gordon jackson,,
triviaQA,Which mime artist is associated with the character Bip?,marcel marceau,,
triviaQA,"""In the 1956 film """"The Ten Commandments"""", who played Moses?""",charlton heston,,
triviaQA,Mrs Lovett made meat pies from material supplied by whom?,sweeney todd,,
triviaQA,"""How many films were made by director Sir Peter Jackson from Tolkien's short book, """"The Hobbit""""?""",3,,
triviaQA,What is the only book written by Emily Bronte?,wuthering heights,,
triviaQA,Who was the wife of Zeus and the mother of Ares?,hera,,
triviaQA,"""What movie series features """"minions"""" that resemble Twinkies?""",despicable me,,
triviaQA,Which Greek God gave Cassandra the give of prophecy?,apollo,,
triviaQA,Who wrote the Thursday Next books?,jasper fforde,,
triviaQA,Which tree has the Lath name Taxus?,yew,,
triviaQA,In Greek mythology who was the god of the north winds?,boreas,,
triviaQA,Which literary character is the best known creation of the writer Earl Derr Biggers?,charlie chan,,
triviaQA,'The Prime of Miss Jean Brodie' is a 1961 novel by which author?,muriel spark,,
triviaQA,Who wrote the operas Oedipus Rex and The Rake's Progress?,igor stravinsky,,
triviaQA,Who wrote the 1911 opera ‘Der Rosenkavalier’?,richard strauss,,
triviaQA,The top American fiction bestseller in both 1936 and 1937 was the only novel published during the lifetime of its author. Who was she?,margaret mitchell,,
triviaQA,"""""""At night they fly, you better run, these winged things are not much fun."""" """"In the jungle you must wait, until the dice read five or eight."""" """"A tiny bite can make you itch, make you sneeze, make you twitch."""" """"This will not be an easy mission, monkeys slow the expedition."""" Clues from what 1995 movie game?""",jumanji,,
triviaQA,Who wrote the plays 'The Real Inspector Hound' and 'Arcadia'?,tom stoppard,,
triviaQA,"In Shakespeare's 'Hamlet', what was the name of 'Hamlet's' mother?",gertrude,,
triviaQA,"""Which work of literature starts with the lines: """"The past is a foreign country: they do things differently there""""?""",go between,,
triviaQA,What was the name of Sebastian's teddy bear in Brideshead Revisited,aloysius,,
triviaQA,Who in verse sailed to the land where the bong tree grows,owl and pussycat,,
triviaQA,"Martin, Mandy and Mathew were flatmates in which comedy series",game on,,
triviaQA,What was the name of the TV comedy series starring Windsor Davies and Donald Sinden as Antique dealers?,never twain,,
triviaQA,The Sharks face off against what gang in Leonard Bernsteins musical West Side Story?,jets,,
aqa,The parents in __ are named Black Jumbo and Black Mumbo,Little Black Sambo,,
aqa,What book had even more complaints?,Little Black Sambo,,
aqa,Which calendar day is Apollo celebrated in Greek mythology?,seventh day of the month,,
aqa,How does Apollo protect public places and houses?,wards off evil,,
aqa,How is the protector god displayed in Troy?,tapered stone or column,,
aqa,Who developed the story of the Trojan horse during the time of Apollo?,Homer,,
aqa,What is the objective of the god Apollo?,protector,,
aqa,How did the Romans call the Light of the Sun?,"Apollo was called Sol (/\u02c8s\u0252l/ SOL, literally \""sun\"" in Latin)",,
aqa,Who had an epithet that became associated with the patron goddess of Lycia?,Apollo,,
aqa,What celestial body did Apollo become associated with?,sun,,
aqa,In what way was the Light of the Sun's mother associated as a goddess?,was the patron goddess of Lycia,,
aqa,What kind of being was Apollo said to be?,sun-god,,
aqa,Who was the one who had a mother that was born of a wolf?,Apollo,,
aqa,What was the role of the person associated with one of Apollo's names?,patron goddess of Lycia,,
aqa,The one whose mother is Leto may not be?,Greek,,
aqa,Apellon was culturally?,Doric,,
aqa,What's popular in Sparta?,assembly,,
aqa,What superseded all other forms by the beginning of the common era?,Apellon,,
aqa,Why did Zephyrus change the discus' course?,jealous,,
aqa,Who threw the object that killed Hyacinthus?,Apollo,,
aqa,How was not an adjective to describe Hyacinthus: jealous or athletic?,jealous,,
aqa,Where was Hyacinthus from?,Sparta,,
aqa,Whose lover was Apollo?,Hyacinthus,,
aqa,Who was Hyacinthus other than a lover of Apollo?,Spartan prince,,
aqa,How was the hyacinth flower made?,out of Hyacinthus' blood,,
aqa,What type of body did Hyacinthus have?,athletic,,
aqa,Who will be the god of healing?,god of the plague,,
aqa,Who else was given the title Aplu was given?,title that was given to the god Nergal,,
aqa,Apollo is parallel to what other god?,"Shamash, Babylonian god of the sun",,
aqa,"Which of the following is not a god: Aplu, Chryses or Apollo?",Chryses,,
aqa,Who appeared at the duel other than Apollo and PanMidas?,Midas,,
aqa,What weapon did Apollo obtain?,bow and arrows,,
aqa,Name a characteristic of All Quiet on the Western Front?,serious,,
aqa,What people were the source of the original concept of One Thousand and One Nights?,Indian,,
aqa,What exactly does Arabian Nights come from originally?,"a compilation of folk tales from Sanskrit, Persian, and later Arabian fables",,
aqa,What type of book is One Thousand and One Nights?,a compilation,,
aqa,What from One Thousand and One Nights have been popular on their own?,Various characters,,
aqa,What studies lead people such as Dawkins to conclude that the idea of God is myth?,"cosmology, evolutionary biology and neuroscience",,
aqa,What was presented as stories using historical content and myths?,"Tragedy, as a dramatic genre",,
aqa,What kind of text is the account of Kathmandu?,myths and legends,,
aqa,What is the basis of the legend of Argos?,The myth of Danaus,,
aqa,What could not be blindly believed?,myths,,
aqa,What was one of the Greeks' religious practices the Romans picked up?,the cult of Apollo,,
aqa,__ culture was influenced by Ancient Greek culture,Etruscan,,
aqa,How does the pigment relate to mythology?,it was the color of Venus,,
aqa,Rex Stout's fictional detective hero is in?,New York,,
aqa,Who from the cartoon adaptation of the comic from the Land of the Rising Sun that blended elements of Black American culture with warrior culture from the Land of the Rising Sun was vocally portrayed by one of the stars of Pulp Fiction?,Afro,,
aqa,On what venue in the land formerly known as the New World was the cartoon adaptation of the comic from the Land of the Rising Sun that blended elements of Black American culture with warrior culture from the Land of the Rising Sun first aired?,Spike TV,,
aqa,How were the relations between Chopin and George Sand portrayed?,fictionalized,,
aqa,Superman is a popular pop fiction character that first appeared under which medium?,comics,,
aqa,A text or narrative telling a fictional story about a character that can be read by a person is called a?,novel,,
aqa,"Which of the following is not a fictional character: Link, Midna or chime?",chime,,
aqa,What was the name of the story type book?,Hayy ibn Yaqdhan,,
aqa,who wrote the story that claims John attempted conversion to Islam in exchange for military aide from the Almohad ruler?,Roger of Wendover and Matthew Paris,,
aqa,who wrote the story that is considered to be untrue by modern historians?,Roger of Wendover and Matthew Paris,,
aqa,What is the origin of the story of the great flood?,biblical,,
aqa,What is unique about Samoan dance?,tells a story,,
aqa,What describes how the story of God has been passed on through the times?,trans-generational,,
aqa,What goes against popular opinion?,"God is an imaginary entity only, with no basis in reality",,
aqa,Who do the atheists credit with passing down the myth of a creator?,humans,,
aqa,What accomplishment have people credited a God with over the years?,to have created the universe,,
aqa,What piece of literature is like a small retelling of the Aeneid?,Metamorphoses,,
aqa,"Which of the following was NOT worshipped, Silius or Virgil?",Silius,,
aqa,"Which of these three -- the Eclogues, Georgics and Aeneid -- became most standard?",the Aeneid,,
aqa,What is Virgil's most well known work?,Aeneid,,
aqa,What way of viewing theories in transition from myth to actual science to be detrimental to the advancement of theories?,dogmas,,
aqa,What elected office does the head of the society hold?,Senator,,
aqa,What overall thing is idealism concerned with?,society,,
aqa,How did the mayor pay his debt to society?,house arrest and probation,,
aqa,Why did Mayor Bob Filner resign?,"pleaded guilty to one felony count of false imprisonment and two misdemeanor battery charges, and was sentenced to house arrest and probation",,
aqa,Who was the defendant in the case in the 1990s that dealt with religious institutions and government?,Grumet,,
aqa,Who ran initially ran universities?,they were self-regulating,,
aqa,How were people ranked within a community?,they were self-regulating and determined the qualifications of their members,,
aqa,What started the society?,The department had bought an early AMPEX Type A 1-inch videotape recorder,,
aqa,What group of people were below men in society?,Women,,
aqa,What many people could actually vote?,Less than a quarter of adult males had voting rights; far fewer could actually exercise them,,
aqa,What happened to some of the slaves that were sold or traded?,they were sometimes acculturated and absorbed into the conquerors' society,,
aqa,What is the current name of the largest slave trading post?,Bight of Bonny,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
