dataset,question,answer,
triviaQA,"Edward Stanley served three terms as Prime Minister in the 19th century, he was known by what title?",earl of derby,
triviaQA,Who lead the enquiry into the Iraq war?,sir john chilcot,
triviaQA,Which Aztec ruler was deposed by Cortez?,montezuma,
triviaQA,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",queen victoria,
triviaQA,Libya was a colony of which country from 1911 to 1947?,italy,
triviaQA,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,george iii,
triviaQA,Robert Gordon Menzies was which country's longest-serving Prime Minister?,australia,
triviaQA,The revolutionary group the Sandinistas were active in which country?,nicaragua,
triviaQA,"The Prime Minister of Greece, Alexis Tsipras, is the leader of which political party?",syriza,
triviaQA,The 1810 betrothal of Princess Theresa to Crown Prince Ludwig not only resulted in the meadow where the event took place to be named Theresienwiese but also started what?,octoberfest,
triviaQA,"Which coral atoll, the largest island in the Chagos Archipelago, was forcibly depopulated in 1971 to make way for a joint UK/USA military base?",diego garcia,
triviaQA,"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?",george blake,
triviaQA,"An American aided coup in Chile in 1973, deposed which President?",salvador allende,
triviaQA,Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?,south carolina,
triviaQA,When Laurence Olivier became Baron Olivier where was he the Baron of,brighton,
triviaQA,What name is given to the Spanish method of execution by strangulation,garotte,
triviaQA,"June 5, 2004 saw the death of what man, the 40th President of the United States?",ronald reagan,
triviaQA,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",jfk assassination,
triviaQA,"What was the 42nd state to join the Union on Nov 11, 1889?",washington,
triviaQA_un,Who succeeded Theodore Roosevelt as President?,william howard taft,
triviaQA_un,From which country did Angola achieve independence in 1975?,portugal,
triviaQA_un,Which was the first European country to abolish capital punishment?,norway,
triviaQA_un,Which prince is Queen Elizabeth II's youngest son?,edward,
triviaQA_un,Who became US Vice President when Spiro Agnew resigned?,gerald ford,
triviaQA_un,The US signed a treaty with which country to allow the construction of the Panama Canal?,columbia,
triviaQA_un,Which Amendment to the Constitution brought in prohibition in 1920?,18th,
triviaQA_un,Which oil scandal hit the US in 1924?,teapot dome scandal,
triviaQA_un,Where did Idi Amin rule from 1971-1979?,uganda,
triviaQA_un,What is the former name of the People's Republic of Venin?,dohomey,
triviaQA_un,Who was the Egyptian president who was assassinated in 1981?,sadat,
triviaQA_un,From which European country did Angola achieve independence in 1975?,portugal,
triviaQA_un,Who was the woman sentenced to six years in jail after the murder of Stompei Seipi?,winnie mandela,
triviaQA_un,In which country did General Jaruzelski impose marital law in 1981?,poland,
triviaQA_un,Who was President Reagan's Secretary for Defense from 1987 to 1989?,frank carlucci,
triviaQA_un,In which decade of the 20th century was the FBI set up?,1900s,
triviaQA_un,Richard Nixon was Vice President to which US state?,dwight eisenhower,
triviaQA_un,Thomas Marshal was Vice President to which US President?,woodrow wilson,
triviaQA_un,Who preceded Hosni Mubarak as President of Egypt?,anwar el sadat,
triviaQA_un,Which South African President repealed key parts of apartheid law in 1991?,fw de klerk,
triviaQA_un,,"In March 2012, a Florida law firm sacked 14 employees for wearing what colour shirts on a Friday, because employers thought they were making a protest?",
triviaQA_un,Which general introduced martial law in Poland in 1981?,jaruzelski,
triviaQA_un,In what decade were Zebra crossings introduced into law in the UK ?,1950 s,
triviaQA_un,"In March 2010, which country passed a law banning all strip clubs and made it illegal for any business to profit from the nudity of employees such as topless waitresses?",iceland,
triviaQA_un,Raines Law of 1896 related to the sale of what in New York State?,liquor,
triviaQA_un,Under which Puritan leader did the English parliament pass a law banning Christmas in 1647?,oliver cromwell,
triviaQA_un,"In relation to spiritual diety Pachamama, in 2011 Bolivia announced an new unusual Law of what?",mother earth,
triviaQA_un,What country announced a sales ban on the yeast extract Marmite in 2011 due to its law forbidding vitamin additives?,denmark,
triviaQA_un,"Upon the change to British regal succession law removing gender inequality, the Princess Royal (Anne) advances how many positions closer to the Crown?",six,
triviaQA_un,What significant law relating to literary and artistic works was first introduced in 1709?,copyright,
triviaQA_un,Which law enforcement agency was established in 1908 as a branch of the U S Department of Justice?,f b i,
triviaQA_un,What is the name of the English law that prevents anyone building so as to completely cut out light from a window that had provided light for at least 20 years?,ancient lights,
triviaQA_un,When was English law changed to enable a child to be made legitimate by the later marriage of its parents?,1926,
triviaQA_un,"""What is the name given to the code of Roman law that was """"published"""" with the approval of the Roman Republic in 450 BC?""",twelve tables,
triviaQA_un,"What is prohibited by an unusual law that has been passed in Lanjarn, Spain, in three settlements in southern France: (Cugnaux, Le Lavandou & Sarpourenx), and has been proposed for Biritiba-Mirim, Brazil?",death,
triviaQA_un,"In which country do these laws apply: the 1975 State Protection Act (Article 10 b), which grants the government the power to imprison persons for up to five years without a trial, and the Law to Safeguard the State Against the Dangers of Those Desiring to Cause Subversive Acts (Article 10 a)?",myanmar,
triviaQA_un,"The Volstead Act, that became law in the USA on 28 October 1919, concerned what?",prohibition of alcohol,
triviaQA_un,"""The """"Support Our Law Enforcement and Safe Neighborhoods Act"""" signed into law in the US state of Arizona on 23 April 2010 to take effect on 28 July 2010, concerns what?""",illegal immigration,
triviaQA_un,"What was the name of the English law court, subsequently abolished in 1641, that had a mandate from Henry VII to deal with nobles who were too powerful to be punished by ordinary courts?",star chamber,
triviaQA_un,"""Who wrote, in 1894: """"In its majestic equality, the law forbids rich and poor alike to sleep under bridges, beg in the streets and steal a loaf of bread""""?""",anatole france,
triviaQA_un,What is the name for a system of law based on Islamic texts?,sharia,
triviaQA_un,What exam must be passed to practice law in the United States?,bar exam,
triviaQA_un,"""Who said """"A week in politics is a long time""""?""",harold wilson,
triviaQA_un,"The Guardian cartoonist, Steve Bell, always portrayed which politician with his Y-fronts outside his trousers?",john major,
triviaQA_un,Which politician was portrayed as a bulldog by cartoonist Steve Bell?,john prescott,
triviaQA_un,"""Paula Dobriansky, the U.S. Under Secretary of State for Global Affairs, coined the phrase """"Cedar Revolution"""" to describe events in 2005 in which country?""",lebanon,
triviaQA_un,To which political party does Australian Prime Minister Kevin Rudd belong?,labour party,
triviaQA_un,In which country did General Jaruzelski impose martial law in 1981?,poland,
triviaQA_un,What was the subject of French sociologist Émile Durkheim's 1897 work that studied Catholic and Protestant populations and that resulted in sociology getting established on its own?,suicide,
triviaQA_un,"In American politics, what is the symbol of the Republican Party?",elephant,
triviaQA_un,What is the symbol of the democratic Party in American politics?,donkey,
triviaQA_un,"""Politics. Who in his speech to the House of Commons on the 4th April 1940 said, """"Hitler has missed the bus""""?""",neville chamberlain,
triviaQA_un,"In UK politics, who first challenged Margaret Thatcher for leadership of the Conservative Party in 1990?",michael heseltine,
triviaQA_un,Which political commentator has presented both Weekend World and A Week in Politics?,peter jay,
triviaQA_un,"In the world of politics, what was broadcast live on British television for the first time on 20th March 1990?",budget,
triviaQA_un,"In British politics, who succeeded Jeremy Thorpe as acting leader of the Liberal Party in 1976?",jo grimond,
triviaQA_un,"In UK politics, what position did Labour politician Manny Shinwell hold from 1950-51?",minister of defence,
triviaQA_un,"In politics, psephology is the study of what?",elections,
triviaQA_un,"In UK politics, who defeated Ted Heath in the Tory leadership campaign of 1975?",margaret thatcher,
triviaQA_un,"In British politics, what is the only one of the 'Four Great Offices of State' never (at at Feb 2011) held by a woman?",chancellor of exchequer,
triviaQA_un,"In UK politics, what flower is the emblem of the Labour Party?",rose,
triviaQA_un,In US politics who replaced Spiro Agnew as Richard Nixon's vice-president in 1973?,gerald ford,
triviaQA_un,Bernard and Phyllis Coard and Maurice Bishop were involved with the politics of which country in 1983?,grenada,
triviaQA_un,What career did Adolf Hitler pursue before getting into politics?,painting,
triviaQA_un,"Which board game is based around European power politics leading up,to the First World War?",diplomacy,
triviaQA_un,In German politics who was known as the Iron Chancellor?,bismarck,
triviaQA_un,"According to von Clausewitz, War is the continuation of what, by other means?",politics,
triviaQA_un,Sir William Vernon Harcourt was Home Secretary in which British Prime Minister’s government?,william gladstone,
triviaQA_un,Juan Velasco Alvarado became President of the Revolutionary Government in October 1968 in which south American country?,peru,
triviaQA_un,Who was deported from the US aged 89 to face a war crime trial in Germany?,john demjanjuk,
triviaQA_un,What is a legal defence for being somewhere other than at the scene of a crime?,alibi,
triviaQA_un,"Possession of what was made illegal in California, the first part of the USA to do so, on 6 October 1966?",lsd,
triviaQA_un,"Prior to the Law Resform Act (1996), the charge of murder could apply only if the victim died within what period from the time of the offence?",year and day,
triviaQA_un,The establishment of which law officers dates from 1194?,coroners,
triviaQA_un,Prohibition in the USA was enacted into law by the 'National Prohibition Act'. By what name was this popularly known?,volstead act,
triviaQA_un,In law what name is given to a written voluntary statement given under oath?,affidavit,
triviaQA_un,Which European country recently passed a law legalizing divorce?,malta,
triviaQA_un,What type of law court has replaced the Assize Court?,crown court,
triviaQA_un,"What is the legal term, used in law to describe the state of those related through marriage?",affinity,
triviaQA_un,A formal agreement enforceable by law is what?,contract,
triviaQA_un,"Public Law 62-5, which was passed on August 8, 1911 set the membership of the House of Representatives to what number?",435,
triviaQA_un,How long does a US president have to consider a bill before he must either sign it into law or return it to Congress as a veto?,10 days,
triviaQA_un,"September 22, 1961 saw the passage of Public Law 87-293, which declares ""To promote world peace and friendship through a [blank], which shall make available to interested countries and areas men and women of the United States qualified for service abroad and willing to serve, under conditions of hardship if necessary, to help the peoples of such countries and areas in meeting their needs for trained manpower.""",peace corps,
triviaQA_un,What degree does a US law school graduate get?,jd,
triviaQA_un,For what profession did Mahatma Ghandi train?,lawyer,
triviaQA_un,"The 1974 book Helter Skelter, co-written by lawyer Vincent Bugliosi, recounts whose famous crime?",charles manson,
triviaQA_un,"Who was the Government Chief Whip who resigned in October 2012, following accusation that he swore at police officers and called them 'plebs'?",andrew mitchell,
triviaQA_un,In what year did Britain have a Labour government for the first time?,1924,
triviaQA_un,"Which country was the first to experience civil uprisings in 'The Arab Spring', the then existing government being overthrown in January 2011 after 23 years in power?",tunisia,
triviaQA_un,Who became Leader of the Opposition when the coalition government was formed in May 2010?,harriet harman,
triviaQA_un,Who is Secretary of State for the Depsrtment of Communities and Local Government?,eric pickles,
triviaQA_un,"Currently held by John Kerry, what American governmental role is equivalent to that of Foreign Secretary in the UK?",secretary of state,
triviaQA_un,"Which government agency has its headquarters at Explorer House, Southampton?",ordnance survey,
triviaQA_un,Labour Party politician Aneurin Bevan is known for his role in establishing what seminal institution in Great Britain?,national health service,
triviaQA_un,British politician Norman Tebbit created controversy in 1990 commenting on the perceived lack of loyalty of South Asian and Caribbean immigrants towards the English team playing which game?,cricket,
triviaQA_un,Name the Russian politician shot and killed near the Kremlin on 27th February 2015?,boris nemtsov,
triviaQA_un,"Which Chancellor, executed in 1535, became the patron saint of politicians?",sir thomas more,
triviaQA_un,"The son-in-law of a British Prime Minister and the father of a former Minister of Defence, which Conservative politician served as the last Governor of Southern Rhodesia?",christopher soames,
triviaQA_un,Which Soviet politician and diplomat was the principal Soviet signatory of the Nazi-Soviet Non-Aggression Pact of 1939?,vyacheslav molotov,
triviaQA_un,"October 11, 1950 saw the birth of what US politician, known as ""a mom in tennis shoes"", who is currently facing off against Dino Rossi?",patty murray,
aqa,What were Bonner's political views?,Liberal,
aqa,What did Bonner do after he served in 1971?,went on to win election at the 1972 election,
aqa,The Obama Administration maintained that most Puerto Ricans favored statehood and what?,the issue of status resolved,
aqa,Who won the referendum?,Puerto Rico,
aqa,What was the White House stance in regards to the Puerto Rico voting?,"that the results were clear""",
aqa,What did the citizens of Puerto Rico want to decide for themselves?,the issue of status,
aqa,What was the major issue that the Puerto Rican people had voted on?,the statehood of Puerto Rico,
aqa,"Which event happened last: Andrew Johnson's election as Vice President, Lincoln's assassination, or the Reconstruction period?",Reconstruction period,
aqa,How did Johnson come to power?,elected,
aqa,What happened after Johnson's ascension?,Tennessee was the first of the seceding states to have its elected members readmitted to the U.S. Congress,
aqa,Which president was not assassinated?,Andrew Johnson,
aqa,What type of government did Johnson lead?,Democrat,
aqa,How was Tennessee returned to the union?,Johnson's lenient re-admission policy,
aqa,Who else is responsible for an non-profit organization other than the board?,"Many have paid staff including management, whereas others employ unpaid volunteers and even executives",
aqa,What resource must nonprofit organizations fight for?,employees,
aqa,"""What were France and the UK waiting for to begin the war?","casus belli (\""cause for war\"")",
aqa,What happened during the incident that instigated the war?,destroyed a patrol squadron of Ottoman frigates and corvettes while they were anchored in port,
aqa,What resulted from the attack?,Public opinion in the UK and France was outraged and demanded war,
aqa,Which republic lost their autonomous status?,The Kazakh ASSR and Kirghiz ASSR,
aqa,"Which happened earlier, the Soviet famine or the adoption of the 1936 Soviet Constitution?",the Soviet famine,
aqa,The political system of the soviets was?,Socialist,
aqa,"Which happened earlier, the Soviet famine or the size of the RSFSR was significantly reduced?",the Soviet famine,
aqa,What is peculiar about Bush Jr winning the elections concerning the popular vote back when he got elected against Kerry?,marked the first time since his father's victory 16 years prior that a candidate won a majority of the popular vote,
aqa,What state that previously voted as republican voted as a democrat back in the year 2004?,New Hampshire,
aqa,How big of a presidential win did Bush Jr have back when he got elected?,margin of victory in the popular vote was the smallest ever for a reelected incumbent president,
aqa,What was the conclusion of the campaign?,the Democrats did not flock to support his campaign,
aqa,What does the United States require in the senate?,equal representation,
aqa,"If a new law were to impact Tasmania, how would it be passed or not?",referendum,
aqa,How do citizens have a direct impact on changes to laws that may affect them?,referendum,
aqa,How did the parents of the majority African students at Harvard University come to the United States?,immigrants,
aqa,What kind of technical services does the FBI Laboratory offer to law enforcement?,"Chemistry, Combined DNA Index System (CODIS), Computer Analysis and Response, DNA Analysis, Evidence Response, Explosives, Firearms and Tool marks, Forensic Audio, Forensic Video, Image Analysis, Forensic Science Research, Forensic Science Training, Hazardous Materials Response, Investigative and Prospective Graphics, Latent Prints, Materials Analysis, Questioned Documents, Racketeering Records, Special Photographic Analysis, Structural Design, and Trace Evidence""",
aqa,What describes a politician that acts dishonestly or conducts illegal actions while elected?,corruption,
aqa,What can be treated in the same way legally?,public and private sector corruption,
aqa,What would a normal citizen face extreme sanctions for?,Violation of these laws rights,
aqa,"Of the crimes mentioned, which holds a heavier weight?",felonies,
aqa,"In the 18th century, what method did judges use to determine their judgments?",natural law theories of law,
aqa,How does practice of law differ now than years ago?,English judges in the eighteenth century subscribed to now-obsolete natural law theories of law,
aqa,"Which of the following of is not part of Canada's defense strategy: the Canadian Armed Forces, Afghanistan or the Canadian Special Operations Regiment?",Afghanistan,
aqa,What century did Prime Minister Theresa May serve in?,21st,
aqa,What might suggest the plan of the parliament didn't work?,title became honorific,
aqa,Who has more power the first minister or the prime minister,Prime Minister,
aqa,What did political science studies create?,diplomats,
aqa,What type of political leadership was disappearing?,empires,
aqa,How is pain a political topic concerning animals?,rights,
aqa,What was Gorbachev's end goal in expanding the scope of Glasnost?,political reform,
aqa,"Which of the following is not a political title: general secretary, minister of defense, or Brezhnev-era?",Brezhnev-era,
aqa,"For a political party, spectrum, or system the conservative and rightist section is described as?",right-wing,
aqa,"Which of the following is not a political and geographic entity: the Kingdom of Prussia, the Holy Roman Empire, or the Teutonic Order?",Teutonic Order,
aqa,What features of court politics was in later Eastern Han?,violent power struggles of the imperial consort clans,
aqa,What was a consequence of his stranglehold on power?,Sassou had to rely more on political repression and less on patronage,
aqa,What type of government did Sassou run?,dictatorship,
aqa,The Kien Eo Am is a political party where?,the Marshall Islands,
aqa,What is the party of the presidential cabinet?,the AKA and the UDP,
aqa,"In the debate of 20008 that took place at Washington University, what political party did the candidate Sarah Palin not belong to?",Democrat,
aqa,"Which of the following is not an illiberal political movement: Islamism, modernizers or militarism?",modernizers,
aqa,"Which occurred second, the Sichuan reclaimed it's governmental and social status or they took a strong hold of a Chinese central government?",regained its previous political and cultural prominence,
aqa,How did religion change?,redefining the borders between what was religious and what was political,
aqa,"Where in adolescence can the use of psychology, biology, history, sociology, education, and anthropology help us learn about in the human life?",society,
aqa,"Which of the following is not an example of a field of research: sociology, psychology, or changes in pulse rate?",changes in pulse rate,
aqa,Sociology is a?,disciplines,
aqa,What was the first thing Jean Blackall listed as a priority shared by both authors?,What was the first thing Jean Blackall listed as a priority shared by both authors?,
aqa,How does society factor in?,"They favor biologically-based theories, which point to genetic factors, the early uterine environment, both, or the inclusion of genetic and social factors",
aqa,the Classical Mandolin Society of America is a,national organization,
aqa,What type of Senator was Bonner?,Liberal,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
