question,answer
"Which film of 2005, directed by Sam Mendes, is based on former marine and author Anthony Swafford and his pre Desert Storm experiences in Saudi Arabia and fighting in Kuwait?",jarhead
"In the fairy tale Thumbelina, what creature wants the miniature girl to marry her son ?",toad
Who wrote the 1961 novel The Prime of Miss Jean Brodie ?,muriel spark
Which sidekick rode a horse called Scout ?,tonto
"Which Scottish actor played the butler Hudson in the original series of ITV's Upstairs, Downstairs ?",gordon jackson
Which mime artist is associated with the character Bip?,marcel marceau
"""In the 1956 film """"The Ten Commandments"""", who played Moses?""",charlton heston
Mrs Lovett made meat pies from material supplied by whom?,sweeney todd
"""How many films were made by director Sir Peter Jackson from Tolkien's short book, """"The Hobbit""""?""",3
What is the only book written by Emily Bronte?,wuthering heights
Who was the wife of Zeus and the mother of Ares?,hera
"""What movie series features """"minions"""" that resemble Twinkies?""",despicable me
Which Greek God gave Cassandra the give of prophecy?,apollo
Who wrote the Thursday Next books?,jasper fforde
Which tree has the Lath name Taxus?,yew
In Greek mythology who was the god of the north winds?,boreas
Which literary character is the best known creation of the writer Earl Derr Biggers?,charlie chan
'The Prime of Miss Jean Brodie' is a 1961 novel by which author?,muriel spark
Who wrote the operas Oedipus Rex and The Rake's Progress?,igor stravinsky
Who wrote the 1911 opera ‘Der Rosenkavalier’?,richard strauss
The top American fiction bestseller in both 1936 and 1937 was the only novel published during the lifetime of its author. Who was she?,margaret mitchell
"""""""At night they fly, you better run, these winged things are not much fun."""" """"In the jungle you must wait, until the dice read five or eight."""" """"A tiny bite can make you itch, make you sneeze, make you twitch."""" """"This will not be an easy mission, monkeys slow the expedition."""" Clues from what 1995 movie game?""",jumanji
Who wrote the plays 'The Real Inspector Hound' and 'Arcadia'?,tom stoppard
"In Shakespeare's 'Hamlet', what was the name of 'Hamlet's' mother?",gertrude
"""Which work of literature starts with the lines: """"The past is a foreign country: they do things differently there""""?""",go between
What was the name of Sebastian's teddy bear in Brideshead Revisited,aloysius
Who in verse sailed to the land where the bong tree grows,owl and pussycat
"Martin, Mandy and Mathew were flatmates in which comedy series",game on
What was the name of the TV comedy series starring Windsor Davies and Donald Sinden as Antique dealers?,never twain
The Sharks face off against what gang in Leonard Bernsteins musical West Side Story?,jets
