Answer.NormalizedMatchedWikiEntityName,Answer.NormalizedValue,Question
margaret mitchell,margaret mitchell,The top American fiction bestseller in both 1936 and 1937 was the only novel published during the lifetime of its author. Who was she?
canada,canada,The Gilles Villeneuve Formula One racing circuit is in which country?
george iii of united kingdom,george iii,"In the year 1800, who was King of Great Britain and King of Ireland?"
assassination of john f kennedy,jfk assassination,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?"
,1948,In what year did Elvis Presley and his parents move from Tupelo to Memphis?
tittle,tittle,What is the name for the dot on the lower case letters I and J?
vindaloo,vindaloo,"Taking its name from the Portuguese words for wine and garlic, which hot curry originated in Goa?"
sweeney todd,sweeney todd,Mrs Lovett made meat pies from material supplied by whom?
dick turpin,dick turpin,Which famous English highwayman was hanged for horse-stealing in April 1739?
alloway,alloway,In which Ayrshire village will you find the cottage birthplace of poet Robert Bums which is now a museum?
washington,washington,"What was the 42nd state to join the Union on Nov 11, 1889?"
kazz am,kent,In which UK County is Lydd Airport?
black eyed peas,black eyed peas,Which group had a number one hit in 2009 with 'I Gotta Feeling'?
bowie,bowie,What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?
red disambiguation,red,What colour is the heraldic colour gules?
umami,umami,"""What has been described as the """"fifth"""" taste, after sweet, sour, bitter, and salty?"""
annie leibovitz,annie leibovitz,"Who was the Vanity Fair photographer responsible for the cover featuring a naked, pregnant Demi Moore?"
renzo piano,renzo piano,Which architect designed the new London building known as the 'Shard'?
zambezi,zambezi,On which river are the Victoria Falls?
joseph priestley,joseph priestley,Which English clergyman/chemist discovered oxygen?
perspiration,sweating,Hidrosis is the medical term for which bodily function?
s l benfica,benfica,Jose Mourinho was appointed manager of which football club September to December 2000 - his first managerial post?
white,white,What colour are the berries of the mistletoe plant?
tom stoppard,tom stoppard,Who wrote the plays 'The Real Inspector Hound' and 'Arcadia'?
thomas beecham,sir thomas beecham,Who founded the 'London Philharmonic Orchestra' in 1931?
south carolina,south carolina,Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?
rio de janeiro,rio de janeiro,What city will host the 2016 Olympics?
god bless america,god bless america,Which patriotic Irving Berlin song includes the line  From the mountains to the prairie to the oceans white with foam ?
george blake,george blake,"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?"
nowhere boy,nowhere boy,Which 2009 film is a biopic of John Lennon?
australia,australia,Robert Gordon Menzies was which country's longest-serving Prime Minister?
joseph marie jacquard,joseph marie jacquard,Which 19th century Frenchman invented a loom which enabled complex patterns to be woven; his name is remembered as one of these patterns?
arturo toscanini,arturo toscanini,For which conductor was the NBC Symphony orchestra created in 1937?
eye,eye,The nictitating membrane is found on which part of animal’s body?
antirrhinum,snapdragon,The antirrhinum plant is more commonly known as what?
muriel spark,muriel spark,'The Prime of Miss Jean Brodie' is a 1961 novel by which author?
vienna,vienna,Which city was the setting for Shakespeare’s play Measure for Measure?
natalie wood,natalie wood,"Born Natalia Zacharenko, under what name did she find fame?"
brighton,brighton,When Laurence Olivier became Baron Olivier where was he the Baron of
rajasthan,rajasthan,"With its capital at Jaipur, what is the largest state of India, by area?"
crystal gayle,crystal gayle,"""Which American country singer, the younger sister of singer Loretta Lynn, had 18 #1 country hits during the 1970s and 1980s, and is best known for a series of country-pop crossover hits including """"Don't It Make My Brown Eyes Blue""""?"""
julian fellowes,julian fellowes,Who writes the scripts for the TV series Downton Abbey?
narwhal,narwhal,The male of which species of white whale develops a long twisted tusk that projects through its upper lip ?
