Answer.NormalizedMatchedWikiEntityName,Answer.NormalizedValue,Question
united states,usa,"""Which country launched the space station """"Skylab"""" in 1973?"""
pauline quirke,pauline quirke,Which actress played The Sculptress on TV?
monkey puzzle,monkey puzzle,Araucaria araucana is the national tree of Chile. Although it is not a true pine it became known as the 'Chile Pine'. What is its current common English name?
charlie chan,charlie chan,"What fictional Chinese-American detective, created by Earl Derr Biggers in 1923 for a novel published in 1925, was the subject of over 45 films made between 1926 and 1981?"
,quelch,"In the Billy Bunter stories, what is the surname of Bunter’s form teacher?"
countess from hong kong,countess from hong kong,"From which film, for which Chaplin film wrote the music, did Petula Clark have a Number One with 'This Is My Song'?"
steve miller band,steve miller band,"""""""Abracadabra"""" (1982) and """"The Joker"""" (1990) were big hits for which group?"""
franz schubert,franz schubert,Which Austrian composer who lived from 1797 to 1828 was nicknamed ‘The Little Mushroom’?
milky way,local galaxy,What is the Milky Way?
business,business,What is a group of ferrets called?
james woods,james woods,"The American legal drama Shark ran from Sept 06 to May 08. Who starred in the title role, playing Sebastian Stark?"
seabird,seabird,What kind of bird is a guillemot?
sony,sony,Which company manufactures the Playstation video games console?
cretaceous,cretaceous,"What is the next in the series: Carboniferous, Permian, Triassic, Jurassic ?"
,administrative affairs,"What is the name of 'Jim Hacker's' department in the TV comedy, 'Yes Minister'?"
stockholm,stockholm,"In the Norrmalmstorg bank robbery in 1973, employees were held hostage for a few days and became emotionally attached to their captors, and even defended them after they were freed from their six-day ordeal. In which city did this incident take place?"
goldie hawn,goldie hawn,Kurt Russell is the long term partner of which actress?
joseph banks,joseph banks,"Who was the renowned English botanist who accompanied Capt. James Cook on his first voyage in 1768 and is credited with introducing Eucalyptus, Mimosa and Acacia to Europe?"
yardbirds,yardbirds,"For which group did Jimmy Page, and John Paul Jones play before they formed 'Led Zepplin'?"
jaws,jaws,"Which villain, played by Richard Kiel, appeared in two James Bond movies, 'The Spy Who Loved Me' and 'Moonraker'?"
red,red,Vermillion is a shade of which colour?
corfu,corfu,"Prince Philip, Duke of Edinburgh, was born on which island?"
mauretania,mauretania,Nouakchott is the capital of which Islamic African republic?
,first daily newspaper,"""What was special about """"The Daily Courant"""" that appeared in the early 18th century?"""
horse racing,horseracing,"Flemington, Greyville, and Longchamp are associated with what, respectively in Australia, South Africa, and France?"
baku,baku azerbaijan,Which city is sited on the Absheron Peninsula which juts into the Caspian Sea?
perfect storm disambiguation,perfect storm,The ship Andrea Gail features in which 1997 book and 2000 film?
supermarine,supermarine,Which company were responsible for the production of the Spitfire?
zadok priest,zadok priest,What is the name of the coronation anthem composed by Handel using texts from the King James Bible that has been sung at every British coronation service since 1727?
stan wawrinka,stanislas wawrinka,Which Swiss tennis player won the men’s singles title at the 2014 Australian Open?
spanish,spanish,What is Mexico's most commonly used language?
jordan,jordan,In which modern country is the ancient city of Petra?
hypertension,high blood pressure,Which illness is commonly treated with the drugs lisinopril and ramipril?
scotland,scotland,Wanlockhead is the highest village in which European country?
,henry gondorf,What was the name of the character played by Paul Newman in the film The Sting
rabbit run,harry angstrom,"""What is the """"proper name"""" for the main character in a series of novels by John Updike, who is nicknamed """"Rabbit""""?"""
george eliot,george eliot,Who was the author of 'Daniel Deronda' published in 1876?
baby buggy,baby buggy,In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?
hydrogen,hydrogen,"In our solar system, the sun is composed of mostly which gas?"
khartoum,khartoum,In what Sudan city was Gillian Gibbons imprisoned for the blasphemous naming of a teddy bear incident?
,15 years,What is the minimum legal age for a female to marry in Kuwait?
silurian,silurian,Which geological period is named after an ancient tribe which once inhabited South Wales?
dartmoor,dartmoor,High Willhays is the highest point of what National Park?
cape horn,cape horn,"Marking the separation between the Atlantic and Pacific Oceans, what name is given to the southernmost piece of South America?"
david bowie,david bowie,Who wrote the Mott The Hoople hit 'All The Young Dudes'?
bound for glory,bound for glory,What was the name of the 1976 film that told the story of Woody Guthrie?
,1972,"In what year did Kurt Waldheim become UN General Secretary; Bloody Sunday happened in Derry, NI; President Nixon visited China."
castor,castor,In Greek mythology who was the twin of Polydeuces?
vanilla,vanilla,What is the most popular ice cream flavor in America?
,1955,The Guinness Book of Records was first published in what year?
muriel spark,muriel spark,Who wrote the novel ‘The Prime of Miss Jean Brodie’?
ireland,ireland,Ulster constitutes the northern part of what island?
pakistan,pakistan,PIA is the national airline of which country?
venezuela,venezuela,The Orinoco river meets the sea on which country's coast?
harland and wolff,harland wolff,Which shipyard built the 'Titanic'?
leeds,leeds,In which UK city is Headingley railway station?
surrounded,surrounded,An enclave nation is (What?) by another nation?
babes in arms,babes in arms,The songs 'My Funny Valentine' and 'The Lady is a Tramp' were first featured in which Rodgers & Hart musical?
spandau ballet,spandau ballet,Tony Hadley was the lead singer with which 1980s new romantic band?
betty grable,legs,Charcot-Marie-Tooth disease is an inherited muscle wasting disease affecting which part of the body?
makepeace,makepeace,What was the middle name of the author William Thackeray?
ritchie valens,richie valens,Buddy Holly and the Big Bopper were two of the three musicians who died in a plane crash in February 1959. Who was the other one?
jude apostle,st jude,Who is the patron saint of lost causes?
ely,ely,The cathedral in which British city is known as ‘The Ship of the Fens’?
spain,spain,Which country was the birthplace of Henry V111’s first wife Catherine Of Aragon ?
new zealand,new zealand,Which Commonwealth country was the first outside the UK to broadcast Dr Who?
eucalyptus,eucalyptus,What type of leaves does a koala feed on?
meet me in st louis,meet me in st louis,In which musical would you hear the song Have Yourself a Merry Little Christmas?
ray kroc,ray croc,Who bought the McDonalds fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business ?
list of national independence days,independence day,"Which film starring Will Smith, Bill Pullman and Jeff Goldblum was the world's highest grossing film of 1996?"
jester,jester,"""What profession had been followed by Yorick, a character in Shakespeare's """"Hamlet""""?"""
idris i of morocco,idris i,Who was the King of Libya who was overthrown by a military coupled by Colonel Qaddafi in 1969?
john entwistle,john entwhistle,"""Which bass guitarist, songwriter, singer, and horn player, best known as part of """"The Who"""", died in June 2002?"""
yellow,yellow,The laburnum tree has what colour flowers?
mercia,mercia,Of which Saxon kingdom was Offa a King?
ottorino respighi,ottorino respighi,"""Who composed the works """"The Fountains of Rome"""" and """"The Pines of Rome"""" in 1916 and 1924 respectively?"""
foot,foot,"Originating in early central American culture, where on the body would a huarache be worn?"
jorge lorenzo,jorge lorenzo,Who was crowned MotoGP World Champion after he finished third in the Malaysian Grand Prix on 10 October 2010?
european bison,european bison,Wisent is an alternative name for which animal?
battle of agincourt,battle of agincourt 1415,What battle of the Middle Ages fought on Saint Crispin's Day has been immortalized by a speech that references the day in a Shakespearean history play?
guardian,guardian,Which British daily newspaper is published in the Berliner format?
sydney,sydney,In which city was the rock star Michael Hutchence found dead in 1997 ?
mushroom,mushroom,Chanterelle and Oyster are types of what?
aleister crowley,aleister crowley,"""Who (although he claims that the author was an entity named Aiwass, his personal Holy Guardian Angel or """"Higher Self"""") is credited with writing """"Liber AL vel Legis"""", the central sacred text of Thelema, commonly referred to as The Book of the Law, in 1904?"""
rawalpindi,rawalpindi,Between 1959 and 1967 which city was the capital of Pakistan (Islamabad was being built)?
lapwing,lapwing,Green plover and peewit are alternative names for which British bird?
bruce,bruce,Which `B` was the name of the mechanical shark used in the original `Jaws` film?
,692,How many episodes of Prisoner: Cell Block H were made?
livingston,livingston,The Scottish football club Ferranti Thistle joined the Scottish Football League in 1974 as Meadowbank Thistle; in 1995 they relocated and changed their name to what?
yellowstone national park,yellowstone park,What was the first national park in the USA
baby it s cold outside,baby it s cold outside,What song was a hit for Tom Jones and Cerys Matthews in 1999?
minos,minos,Who according to legend was the son of Zeus and Europa and became King of Crete?
absinthe,absinthe,The chemical compound Thujone is best known for being present in which alcoholic drink?
rain,rainfall,"In climatology, pluvial relates to what?"
russia,russia,Acmeism relates to poetry from the early 20th Century in which country?
stephen king,stephen king,Which famous novelist also wrote under the pseudonym Richard Bachman?
gargantua and pantagruel,gargantua,Pantagruel was the son of which giant?
donkey serenade,donkey serenade,What was singer Jack Jones father Allan's theme song
british airways,british airways,Which company first sponsored the big wheel called 'The London Eye'?
,40,Lent (Latin Quadragesima) is traditionally a Christian religious fast of how many days?
george best,george best,After who is the Belfast City Airport named?
insect,insects,What does an entomologist study?
rio,rio,"After an episode of The Simpsons in which Bart is eaten by a boa aired in 2002, which city's tourism department threatened to sue Fox for defamation? (hint: the city was the center of world's attention in 2014 and will be in 2016 as well)"
diana ross,diana ross,Who duetted with Lionel Ritchie for the hit song 'Endless Love'?
ibrox stadium,ibrox stadium,In which stadium was the 2014 Commonwealth Games Rugby Sevens tournament held?
thomas de quincey,thomas de quincy,Who wrote 'Confessions of an English Opium Eater'?
bear,bear,What type of animal is Baloo in the novel ‘The Jungle Book’ by Rudyard Kipling?
almond,almond,What is the flavouring of the liqueur Amaretto?
italy,italy,"Davide Santon, Dino Zoff and Simone Barone have all played for which national football team?"
john entwistle,john entwhistle,Who was the original bass guitarist with The Who
cliff thorburn,cliff thorburn,Which snooker player was simply known as 'The Grinder'?
potato,potato,Which crop is attacked by the Colorado Beetle?
rennet,rennet,"What is the name of the enzyme usually added to milk to coagulate it, to make ""curds and whey""?"
,120,Generally the standard steps per minute for a military 'quick march' pace is?
